year,stock_days,stock_days_with_missing_rows,stock_days_with_internal_gaps,missing_rows,internal_missing_rows,maximum_missing_rows,stock_day_missing_rate,internal_gap_stock_day_rate,missing_row_rate
2025,532024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2026,349163,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
