strategy,name,start,end,days,average_one_way_turnover,gross_annualized_return,net_annualized_return,net_sharpe,gross_sharpe,net_cagr,net_cumulative_return,net_max_drawdown
baseline_daily,每日五分位,2025-01-02,2026-08-28,402,1.2917652008450247,0.38609200183535314,0.02735854071074378,0.19863007321137013,2.8008136728603255,0.018085584570584734,0.02900572974055482,-0.15243504632513194
buffer_20_30,排名缓冲区,2025-01-02,2026-08-28,402,1.0108856572359244,0.4172807801454563,0.1364822567880692,0.9526106743478148,2.909409136718191,0.13455715953409553,0.22309764840734014,-0.13939344931443487
rank_mean_5d,五日平均排名,2025-01-02,2026-08-28,402,0.4287148859318656,0.24069039880369378,0.12167827274151793,0.7231618050461364,1.4299172400673794,0.11356787549711389,0.18720098876803393,-0.19810456670192667
