,full_e3,k3,k15,k60
full_e3,1.0,0.8298572582095126,0.9131026209274857,0.9280212137411142
k3,0.8298572582095126,1.0,0.8421803332856848,0.837040945297159
k15,0.9131026209274857,0.8421803332856848,1.0,0.8935145562167618
k60,0.9280212137411142,0.837040945297159,0.8935145562167618,1.0
