variant,raw_next_open_to_close,neut_next_open_to_close,neut_next_open_to_close_t,raw_close_to_close,neut_close_to_close,neut_close_to_close_t,raw_close_to_next_open,neut_close_to_next_open,neut_close_to_next_open_t
m_raw,0.0417650266078288,0.03185499977203439,8.933865088667515,0.0664973920351558,0.05227654295227757,14.102922655438253,0.08962455295592915,0.0740002744359472,19.862961103757527
m_epoch6,0.037329546728195204,0.02857385334601093,8.753058508669623,0.060108901391524326,0.04794398056870108,13.812828015944614,0.08409960164737972,0.07129493561653999,20.227141783806708
e2a_k3,0.044361526243045846,0.03500548193167995,8.304726785393141,0.06828104894202901,0.05472934193453669,12.989922408479966,0.09060793451371305,0.0751941643574318,19.027413494876527
e2a_k15,0.04532435158106014,0.03409008561615433,9.223015941628445,0.07224302534785733,0.05656414875688339,14.54937831128253,0.09439715234891015,0.07755309452608276,21.09289503343738
e2a_k60,0.042465332828133,0.03232041473578794,8.80241551490008,0.06420625882464709,0.050409952114076374,13.177027992225526,0.07898673970569833,0.0646657066338368,17.598458500092786
e2b_2_10_45,0.045804818523409445,0.034940439934610726,9.392449573986253,0.07181064033796172,0.05627638598112917,14.819796570616363,0.09457125149264298,0.07791446187884035,20.756660354938294
e2b_5_30_120,0.04207208101440825,0.03160756645852512,9.26941686120816,0.06463302560727889,0.04971158216375282,13.951359072665914,0.08560491360901296,0.06964166935997564,19.43688085719093
e2c_full_seed12,0.042405599459747305,0.0331224165109658,10.82555243813806,0.06327929229180218,0.05086672033623135,15.451642905622892,0.08081657504570074,0.06918268645720864,20.09352791069511
e2c_full_seed23,0.04163461138477065,0.03308106018072059,10.16862048494237,0.06436119044323725,0.052824449752695346,14.974030475320186,0.08299355348237475,0.07231709266345564,20.020950268312966
e2c_k21045_seed12,0.04480301563961964,0.03476473990268526,10.847581288912195,0.06727042073439976,0.053962908634532625,16.034130509154142,0.08551105838289334,0.07326079794884896,21.34209729944568
e3_stats_only,0.03343559474146081,0.026844403261890838,8.34725131983426,0.05889869291787074,0.04838780024174312,14.843346724651218,0.09650212399150374,0.08267212508001617,22.041925278818898
e3_seq_only,0.04377101872078808,0.0332519716720054,8.784122848330087,0.06820533060722872,0.05343008230272956,13.827689731952633,0.09230164513006536,0.07630855082689242,19.6804726483305
e3_no_deepsets,0.04332346227938534,0.032575939243004344,8.272792413432345,0.06550999476207382,0.05061356223979939,12.809326835186083,0.08509243621568027,0.06915249963247712,18.472642166973067
e3_linear85,0.0433463667544324,0.03534746890965017,7.3014829590343835,0.07944197100793776,0.06591209393324252,12.91705822057881,0.13011562993302753,0.11020143792128362,23.21676040619067
