instrument,minute,cum
002581.SZ,0,0.0
002581.SZ,1,0.0044198966981512855
002581.SZ,2,0.0011068069751910474
002581.SZ,3,-0.003327790092674594
002581.SZ,4,-0.004439518945365023
002581.SZ,5,-0.002217295808647506
002581.SZ,6,-0.0033277900926746823
002581.SZ,7,-0.004439518945365112
002581.SZ,8,8.673617379884035e-18
002581.SZ,9,8.673617379884035e-18
002581.SZ,10,0.004419896698151294
002581.SZ,11,0.0033167526259940882
002581.SZ,12,5.0306980803327406e-17
002581.SZ,13,0.0011068069751910975
002581.SZ,14,-8.890457814381136e-18
002581.SZ,15,0.005521825184307938
002581.SZ,16,0.005521825184307938
002581.SZ,17,0.007722046093910275
002581.SZ,18,0.008820343842972866
002581.SZ,19,0.008820343842972866
002581.SZ,20,0.013201511858535962
002581.SZ,21,0.014293811257144826
002581.SZ,22,0.012108018037164619
002581.SZ,23,0.011013327177983093
002581.SZ,24,0.008820343842972768
002581.SZ,25,0.011013327177983076
002581.SZ,26,0.012108018037164651
002581.SZ,27,0.012108018037164651
002581.SZ,28,0.009917436657345843
002581.SZ,29,0.0077220460939102275
002581.SZ,30,0.00662254076049334
002581.SZ,31,0.00662254076049334
002581.SZ,32,0.0077220460939102075
002581.SZ,33,0.00662254076049332
002581.SZ,34,0.0077220460939101876
002581.SZ,35,0.0077220460939101876
002581.SZ,36,0.0077220460939101876
002581.SZ,37,0.00882034384297278
002581.SZ,38,0.012108018037164488
002581.SZ,39,0.011013327177982963
002581.SZ,40,0.012108018037164539
002581.SZ,41,0.011013327177983014
002581.SZ,42,0.012108018037164589
002581.SZ,43,0.012108018037164589
002581.SZ,44,0.011013327177983064
002581.SZ,45,0.011013327177983064
002581.SZ,46,0.009917436657345841
002581.SZ,47,0.009917436657345841
002581.SZ,48,0.008820343842972742
002581.SZ,49,0.008820343842972742
002581.SZ,50,0.008820343842972742
002581.SZ,51,0.008820343842972742
002581.SZ,52,0.008820343842972742
002581.SZ,53,0.008820343842972742
002581.SZ,54,0.007722046093910176
002581.SZ,55,0.007722046093910176
002581.SZ,56,0.009917436657345832
002581.SZ,57,0.009917436657345832
002581.SZ,58,0.011013327177983163
002581.SZ,59,0.012108018037164738
002581.SZ,60,0.012108018037164738
002581.SZ,61,0.014293811257144963
002581.SZ,62,0.014293811257144963
002581.SZ,63,0.013201511858536037
002581.SZ,64,0.013201511858536037
002581.SZ,65,0.011013327177983253
002581.SZ,66,0.011013327177983253
002581.SZ,67,0.011013327177983253
002581.SZ,68,0.00991743665734603
002581.SZ,69,0.012108018037164712
002581.SZ,70,0.012108018037164712
002581.SZ,71,0.012108018037164712
002581.SZ,72,0.012108018037164712
002581.SZ,73,0.012108018037164712
002581.SZ,74,0.011013327177983187
002581.SZ,75,0.009917436657345964
002581.SZ,76,0.009917436657345964
002581.SZ,77,0.008820343842972865
002581.SZ,78,0.008820343842972865
002581.SZ,79,0.005521825184307928
002581.SZ,80,0.0066225407604934205
002581.SZ,81,0.007722046093910288
002581.SZ,82,0.006622540760493401
002581.SZ,83,0.005521825184307884
002581.SZ,84,0.005521825184307884
002581.SZ,85,0.003316752625994014
002581.SZ,86,0.003316752625994014
002581.SZ,87,0.0011068069751910587
002581.SZ,88,0.0011068069751910587
002581.SZ,89,0.0022123902829409344
002581.SZ,90,8.283304597789254e-17
002581.SZ,91,-0.00110803335436165
