config,ic_mean,delta_vs_baseline,drop_pct
group_trade(6),0.030664502418415576,-0.025790327218870972,45.68311937981177
group_price(3),0.0372552836447545,-0.019199545992532048,34.00868644168467
minute_log_return,0.04683157472721573,-0.009623254910070815,17.045937383743293
group_book(5),0.047222491726319205,-0.009232337910967343,16.35349529931039
log_deal_number,0.04991842691191049,-0.0065364027253760545,11.578110796492382
relative_spread,0.05204329535963577,-0.004411534277650779,7.814272589243821
log_amount,0.05332527946098472,-0.003129550176301829,5.5434587198450505
depth_imbalance_l3,0.05353498099054896,-0.0029198486467375898,5.172008604927445
log_amount_per_deal,0.053541563217557035,-0.0029132664197295127,5.160349324312541
bar_range,0.053812347621133315,-0.002642482016153233,4.680701426486921
close_location,0.05385629920893848,-0.002598530428348067,4.60284876430098
signed_log_amount,0.05417964168502281,-0.002275187952263738,4.030103300074528
log_volume,0.054386637212689666,-0.002068192424596882,3.6634464011045553
depth_shape,0.05605378732464073,-0.00040104231264581625,0.7103773321475778
time_sin,0.05645482963728655,0.0,0.0
baseline,0.05645482963728655,0.0,0.0
time_cos,0.05645482963728655,0.0,0.0
group_clock(3),0.05645482963728655,0.0,0.0
pm_session,0.05645482963728655,0.0,0.0
log_volume_per_deal,0.057238809098594454,0.0007839794613079057,-1.3886844869515171
microprice_gap,0.05781635571769746,0.0013615260804109089,-2.4117087752429702
depth_imbalance_l1,0.05946088107544153,0.00300605143815498,-5.324701991784211
