group,rank,route,family,years,J,A,B,score_proxy,a_proxy,b_proxy,a_rank_ic_mean,a_rank_ic_ir,a_long_short_sharpe,a_stress_ic_ir,a_rank_ic_mean_percentile,a_rank_ic_ir_percentile,a_long_short_sharpe_percentile,a_stress_ic_ir_percentile,b_model_score,b_mean_abs_weight,b_std_abs_weight,b_nonzero_window_ratio,score,score_days,score_weight_windows,reference_factor_count,joint_route_count,joint_common_rows
full_history_2019_2024_in_sample_inclusive,1,x_tree_frozen,X_tree,"[2019, 2020, 2021, 2022, 2023, 2024]",1.0,1.0,1.0,1.0,1.0,1.0,0.22943435885395483,2.566561982162636,30.696820176195832,2.2396110838149665,1.0,1.0,1.0,1.0,3.8824311590396805,0.37710475292722334,0.09713108551720406,1.0,1.0,1394.0,67.0,454.0,10.0,1391994.0
full_history_2019_2024_in_sample_inclusive,2,m_raw_frozen,M,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9984913793103447,1.0,0.9978448275862069,0.9984913793103447,1.0,0.9978448275862069,0.07495695735685957,1.3773730467737393,13.814225990214029,1.1125766367001606,1.0,1.0,1.0,1.0,3.370645289163226,0.03616478032867898,0.010729334362645546,1.0,0.9984913793103447,1394.0,67.0,454.0,10.0,1391994.0
full_history_2019_2024_in_sample_inclusive,3,x_mlp_frozen,X,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9954992421371731,0.9950549450549451,0.9956896551724138,0.9954992421371731,0.9950549450549451,0.9956896551724138,0.07454817507917803,1.1076856629608935,7.4403378449534445,0.7622605143119059,1.0,0.9956043956043956,0.989010989010989,0.9956043956043956,3.1979559557406407,0.1245228749868808,0.038938270791426075,0.9701492537313433,0.9954992421371731,1394.0,67.0,454.0,10.0,1391994.0
full_history_2019_2024_in_sample_inclusive,4,t_frozen,T,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9909733800682076,0.9950549450549451,0.9892241379310345,0.9909733800682076,0.9950549450549451,0.9892241379310345,0.07969642686981787,1.0287909907042763,7.332432678212561,0.7363526012939515,1.0,0.9956043956043956,0.989010989010989,0.9956043956043956,2.446580695541995,0.033235836477963854,0.013584606686416482,1.0,0.9909733800682076,1394.0,67.0,454.0,10.0,1391994.0
full_history_2019_2024_in_sample_inclusive,5,m_l5_frozen,M_l5,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9777254641909814,0.9961538461538462,0.9698275862068966,0.9777254641909814,0.9961538461538462,0.9698275862068966,0.06631507409863312,1.003649930151243,8.464456866897649,0.7321634665274633,1.0,0.9956043956043956,0.9934065934065934,0.9956043956043956,1.7667917276522045,0.027343390822695015,0.015476295475564287,0.9253731343283582,0.9777254641909814,1394.0,67.0,454.0,10.0,1391994.0
full_history_2019_2024_in_sample_inclusive,6,en454_existing_causal,EN454,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9740848806366047,0.9538461538461538,0.9827586206896551,0.9740848806366047,0.9538461538461538,0.9827586206896551,0.04023308797019246,0.5830822038602654,5.062684125159467,0.40538096068282353,0.9714285714285714,0.9406593406593406,0.9758241758241758,0.9274725274725275,1.9655029544578289,0.029453389033135696,0.01498516650120972,0.9402985074626866,0.9740848806366047,1394.0,67.0,454.0,10.0,1391994.0
full_history_2019_2024_in_sample_inclusive,7,t_residual_frozen,T_res,"[2019, 2020, 2021, 2022, 2023, 2024]",0.5061045850701023,0.8824175824175824,0.3448275862068966,0.5061045850701023,0.8824175824175824,0.3448275862068966,0.03686749960827583,0.4489715840419952,1.9623999151448746,0.3573823965196094,0.9538461538461539,0.8593406593406593,0.8153846153846154,0.9010989010989011,0.9100569966595897,0.004765836086344402,0.005236854507934764,0.6417910447761194,0.5061045850701023,1394.0,67.0,454.0,10.0,1391994.0
full_history_2019_2024_in_sample_inclusive,8,x_en_tres_w020,X_EN_T_res,"[2019, 2020, 2021, 2022, 2023, 2024]",0.3100909435392194,0.9934065934065934,0.017241379310344827,0.3100909435392194,0.9934065934065934,0.017241379310344827,0.06843711272521333,0.9130808116651454,6.263310548443818,0.639815346543087,1.0,0.9956043956043956,0.9846153846153847,0.9934065934065934,0.47658468482860145,0.004007146652479192,0.008408047466828973,0.26865671641791045,0.3100909435392194,1394.0,67.0,454.0,10.0,1391994.0
full_history_2019_2024_in_sample_inclusive,9,x_en_w050,X_EN,"[2019, 2020, 2021, 2022, 2023, 2024]",0.3085823228495642,0.9934065934065934,0.015086206896551725,0.3085823228495642,0.9934065934065934,0.015086206896551725,0.06709040320974756,0.942412442277052,6.785909631702328,0.6476337545920576,1.0,0.9956043956043956,0.9846153846153847,0.9934065934065934,0.4640792317818903,0.005416442079899042,0.011671373568340594,0.26865671641791045,0.3085823228495642,1394.0,67.0,454.0,10.0,1391994.0
full_history_2019_2024_in_sample_inclusive,10,x_en_tres_w010,X_EN_T_res,"[2019, 2020, 2021, 2022, 2023, 2024]",0.30103921940128836,0.9934065934065934,0.004310344827586207,0.30103921940128836,0.9934065934065934,0.004310344827586207,0.06799578137153943,0.9316916208006226,6.45549991684646,0.6455486554037653,1.0,0.9956043956043956,0.9846153846153847,0.9934065934065934,0.24845969937540122,0.0015763469761008266,0.006344477514120478,0.07462686567164178,0.30103921940128836,1394.0,67.0,454.0,10.0,1391994.0
