date,rank_ic,block
2025-01-02,0.16189202878209474,0
2025-01-03,0.12635339093285422,0
2025-01-06,0.024643869357580006,0
2025-01-07,0.11029202484577925,0
2025-01-08,0.021828817865328462,0
2025-01-09,0.11660534112240241,0
2025-01-10,0.09966854231472011,0
2025-01-13,-0.01905714326200482,0
2025-01-14,0.05162599968976304,0
2025-01-15,0.10259163118151951,0
2025-01-16,0.17584372489158792,0
2025-01-17,0.09812932256672954,0
2025-01-20,0.010746903227065029,0
2025-01-21,0.09051205636185931,0
2025-01-22,0.12296123350714169,0
2025-01-23,0.021763541825939793,0
2025-01-24,0.08584082571903828,0
2025-01-27,-0.031276225179388176,0
2025-02-05,0.032415608282571,0
2025-02-06,0.037160052236451836,0
2025-04-07,0.5563080356126376,1
2025-04-08,0.05329527909722096,1
2025-04-09,0.07477190357138608,1
2025-04-10,0.12171499654345685,1
2025-04-11,0.08282484310960796,1
2025-04-14,0.14485096445781862,1
2025-04-15,0.07471967866251021,1
2025-04-16,0.12286864642290518,1
2025-04-17,0.17158833746636393,1
2025-04-18,0.10583301779699773,1
2025-04-21,0.12076040909896599,1
2025-04-22,0.12786792239191516,1
2025-04-23,0.08626841452916666,1
2025-04-24,0.12071211968607033,1
2025-04-25,0.09916687630874252,1
2025-04-28,0.13626746176286128,1
2025-04-29,0.06920035847605216,1
2025-04-30,-0.02305977277780791,1
2025-05-06,0.10824401833866355,1
2025-05-07,0.05561008789824718,1
2025-07-04,0.10429477494249335,2
2025-07-07,0.10709443458666733,2
2025-07-08,0.10237961298211284,2
2025-07-09,0.06706290514103729,2
2025-07-10,0.10872572441374745,2
2025-07-11,0.09244311163401539,2
2025-07-14,0.09940479785901583,2
2025-07-15,0.12121918346080705,2
2025-07-16,0.08220558735024915,2
2025-07-17,0.06980988842917225,2
2025-07-18,0.09312036740532915,2
2025-07-21,0.08739643747998167,2
2025-07-22,0.18699736058906835,2
2025-07-23,0.047792219575821165,2
2025-07-24,0.07860567856357925,2
2025-07-25,0.059220444932764994,2
2025-07-28,0.06968285269741034,2
2025-07-29,0.1266775647399733,2
2025-07-30,0.07600783845007805,2
2025-07-31,0.14530793283460125,2
2025-09-26,0.1549140344292582,3
2025-09-29,0.06652385400638952,3
2025-09-30,0.040881690735835564,3
2025-10-09,0.05992085328999062,3
2025-10-10,0.06548966201879472,3
2025-10-13,0.10453842468324455,3
2025-10-14,0.24454845600804642,3
2025-10-15,0.08755514331980953,3
2025-10-16,0.07839781074632245,3
2025-10-17,0.12606172931027523,3
2025-10-20,0.1883836084928416,3
2025-10-21,0.1110639504784318,3
2025-10-22,0.15364838961398222,3
2025-10-23,0.04371847444347762,3
2025-10-24,0.0682217107605978,3
2025-10-27,0.14640984865441367,3
2025-10-28,0.08057787616155268,3
2025-10-29,0.0849016670145606,3
2025-10-30,0.10839227341057497,3
2025-10-31,0.07634492491306018,3
2025-12-29,0.04732800896657052,4
2025-12-30,0.1168069828902097,4
2025-12-31,0.14243179344248524,4
2026-01-05,0.01680318387236758,4
2026-01-06,0.07757850008900595,4
2026-01-07,0.09237451369362469,4
2026-01-08,0.07985046814372088,4
2026-01-09,5.247881580044144e-05,4
2026-01-12,0.1531561203615037,4
2026-01-13,0.10525417544139626,4
2026-01-14,0.13042913812675158,4
2026-01-15,0.161058405410048,4
2026-01-16,0.032487193469055695,4
2026-01-19,0.0637569408200796,4
2026-01-20,0.09810613078672378,4
2026-01-21,0.04039238242193412,4
2026-01-22,-0.01135428311343861,4
2026-01-23,0.05137226384875903,4
2026-01-26,0.2133142725282505,4
2026-01-27,-0.026021013868789147,4
2026-04-02,0.09942709374412532,5
2026-04-03,0.1661654013440195,5
2026-04-07,0.07913654868937786,5
2026-04-08,0.0010029430259568006,5
2026-04-09,0.08725718381033835,5
2026-04-10,0.06241936125092896,5
2026-04-13,0.031488472868306604,5
2026-04-14,0.14131130345227982,5
2026-04-15,0.06877413825432838,5
2026-04-16,0.03647647799225471,5
2026-04-17,0.03466205976956817,5
2026-04-20,0.05272686116381275,5
2026-04-21,0.05266518447183208,5
2026-04-22,0.07293047720258788,5
2026-04-23,0.049105779173732454,5
2026-04-24,0.11285157298727345,5
2026-04-27,0.011922820575188956,5
2026-04-28,0.12504320222950224,5
2026-04-29,0.056844953702208885,5
2026-04-30,-0.019776000171293898,5
2026-07-02,0.059547965420019965,6
2026-07-03,0.07871190807857847,6
2026-07-06,0.14456011686821554,6
2026-07-07,0.16256903213240642,6
2026-07-08,0.1342706743867206,6
2026-07-09,0.0719821207133375,6
2026-07-10,0.03268929441880096,6
2026-07-13,0.1343214328550262,6
2026-07-14,0.1358357870536983,6
2026-07-15,0.03999601270097734,6
2026-07-16,0.0889703823269449,6
2026-07-17,0.006343491902191857,6
2026-07-20,0.07449374533743108,6
2026-07-21,0.09878538157586042,6
2026-07-22,0.01743204759641747,6
2026-07-23,0.16631822051569806,6
2026-07-24,0.0796109580130801,6
2026-07-27,0.06621820819164864,6
2026-07-28,0.024112821686184525,6
2026-07-29,0.055580047752079545,6
