block,start,end,mid_date,days,stress_days,rank_ic,rank_ic_ir,long_short_sharpe,stress_ic_ir
0,2025-01-02,2025-02-06,2025-01-16,20,1,0.07202707731345166,1.241240797387733,24.281148026315346,
1,2025-04-07,2025-05-07,2025-04-21,20,1,0.1204906799226891,1.0880387477494904,8.792021355231492,
2,2025-07-04,2025-07-31,2025-07-18,20,0,0.09627243590339626,2.9994585544417283,25.702771052863024,
3,2025-09-26,2025-10-31,2025-10-20,20,2,0.10452471912457299,2.0251782694735514,26.470378831332933,3.7437656324837483
4,2025-12-29,2026-01-27,2026-01-14,20,9,0.07925888280730298,1.2652980841427686,15.574298360212307,0.9962473109681237
5,2026-04-02,2026-04-30,2026-04-17,20,6,0.06612179177681646,1.415309243599397,11.922050415932592,1.076066384703082
6,2026-07-02,2026-07-29,2026-07-16,20,16,0.08361748247626591,1.7138987186677948,19.29418879612235,1.7273432017208512
