block,train_start,train_end,prediction_start,prediction_end,prediction_days,rank_ic_mean,train_rows,nonzero_features,coefficient_l1,iterations
0,2019-10-08,2019-12-30,2020-01-02,2020-02-06,20,0.062413503892612444,59871,294,1.3392958641052246,451
1,2019-11-05,2020-02-05,2020-02-07,2020-03-05,20,0.015378977268176757,59884,314,1.5936775207519531,537
2,2019-12-03,2020-03-04,2020-03-06,2020-04-02,20,0.033494238311390534,59903,311,1.95102858543396,499
3,2019-12-31,2020-04-01,2020-04-03,2020-05-06,20,0.04924563047981367,59933,331,2.0654468536376953,546
4,2020-02-06,2020-04-30,2020-05-07,2020-06-03,20,0.0036325927465762084,59899,316,2.135056495666504,575
5,2020-03-05,2020-06-02,2020-06-04,2020-07-03,20,0.026346899262384576,59857,325,1.8375194072723389,581
6,2020-04-02,2020-07-02,2020-07-06,2020-07-31,20,0.0608173205849182,59808,318,1.5798568725585938,480
7,2020-05-06,2020-07-30,2020-08-03,2020-08-28,20,0.06130365762690182,59832,302,1.5973159074783325,676
8,2020-06-03,2020-08-27,2020-08-31,2020-09-25,20,0.03871053145656208,59847,305,1.661261796951294,482
9,2020-07-03,2020-09-24,2020-09-28,2020-11-02,20,0.03972867389906901,59890,321,1.9149631261825562,446
10,2020-07-31,2020-10-30,2020-11-03,2020-11-30,20,0.05797140137210386,59883,312,1.7979450225830078,441
11,2020-08-28,2020-11-27,2020-12-01,2020-12-28,20,0.0005169311468319782,59918,313,1.7831604480743408,535
12,2020-09-25,2020-12-25,2020-12-29,2020-12-31,3,0.0712094363770429,59914,296,1.6010411977767944,451
