run,config,seed,reproduced,raw_ic,raw_ir,raw_sharpe,raw_stress_ic,raw_stress_ir,raw_days,old_ic,old_ir,old_sharpe,old_stress_ic,old_stress_ir,old_days,new_ic,new_ir,new_sharpe,new_stress_ic,new_stress_ir,new_days
o2o_no_deepsets_20260801,− DeepSets,20260801,True,0.0651457391120331,0.4871729518845456,3.9089319019765374,0.0381251710694204,0.2773644922067451,240,0.04639223522205,0.811537068680207,7.42773987963499,0.0338091046201723,0.6320821946619044,240,0.0381401793969817,0.8166696003535969,6.245019645342134,0.0300024405880926,0.6068539148922331,240
o2o_no_deepsets_20260812,− DeepSets,20260812,True,0.0618714857908147,0.5344533530166645,4.480097207609762,0.0371454193347537,0.3183844258069534,240,0.0441997403190068,0.8845421130062341,7.60754932641388,0.0318315277669002,0.623962850366072,240,0.0378603328211125,0.8451553803569541,6.584213733703463,0.0288349791866662,0.5673835875684032,240
o2o_no_deepsets_20260823,− DeepSets,20260823,True,0.0615191065446192,0.5737496469998761,4.852968562136217,0.0408924449468594,0.3775867499225177,240,0.0452987033102252,0.9477967844236456,8.97324126078112,0.0344683416281807,0.7469360166150187,240,0.0391417229627831,0.9436180367265607,9.361839143988492,0.0316759399360947,0.7172296408079762,240
o2o_stats_only_20260801,− 序列通路,20260801,True,0.0654515494904779,0.4593587210104588,3.730371639626279,0.0417205620430671,0.2740516612042363,240,0.0478111956940057,0.8077520464434982,6.9470180892826745,0.0366359867887814,0.6351960864871553,240,0.0391241900035003,0.7954838293310775,6.436228333045592,0.0328670195379456,0.6271710861202532,240
o2o_stats_only_20260812,− 序列通路,20260812,True,0.0604166282524684,0.5396603865152971,4.168727148387765,0.0398121158828785,0.3383661206062372,240,0.0432388836367202,0.8771692141748425,6.480935391970024,0.0327091561784616,0.6223313050423984,240,0.0366986880422078,0.8368175680027917,5.7368414941295685,0.0300838642184235,0.5935301579923377,240
o2o_stats_only_20260823,− 序列通路,20260823,True,0.0645949552410726,0.4949402684516144,3.909607864448711,0.0403787358802589,0.2934238747664146,240,0.0464241832122243,0.8395757856581164,7.001699705153044,0.0333231759113952,0.6082820536310849,240,0.0380021985123757,0.8029040598901585,6.1943828365094165,0.0296656998916109,0.556601290794999,240
o2o_seq_only_20260801,− 统计通路,20260801,True,0.0645820529639066,0.4750772069271492,3.8111684370303465,0.0372767275588447,0.2695303149264269,240,0.0456788031632122,0.7801275785382639,6.48984608354145,0.0326867220266088,0.6158312586558408,240,0.0372210320234361,0.7878631918047645,5.854534592769133,0.0280695560784755,0.5918853566638812,240
o2o_seq_only_20260812,− 统计通路,20260812,True,0.0655800915129886,0.5359878779213721,4.448680685401825,0.0406930425387542,0.3170092613098142,240,0.0465763666564115,0.8503690940134605,7.700171060865093,0.0342344029448464,0.6669459493164109,240,0.0387798266043532,0.8549486826098986,6.766463261625246,0.0306428773883958,0.6347968878693779,240
o2o_seq_only_20260823,− 统计通路,20260823,True,0.0633649959020687,0.4929941023460106,4.41856572391976,0.0378127880903416,0.2856640398905512,240,0.0463686743838051,0.8500603445032638,7.999037067005812,0.0333556287282733,0.6522962125471132,240,0.0387640972603914,0.8788035203037021,7.205360880302594,0.0297519451772343,0.6460212704568598,240
o2o_seq_only_20260904,− 统计通路,20260904,True,0.0652539712313285,0.4499872544933002,3.75346159718716,0.038334994440952,0.2502711500004643,240,0.0465213858172998,0.7595055462520697,6.743193488325812,0.0336431925410215,0.5866712715802305,240,0.0372963651051971,0.7632671227811411,6.017344442570415,0.0288693587335714,0.5736947916773749,240
o2o_seq_only_20260915,− 统计通路,20260915,True,0.0643416192689766,0.4818671675725596,3.8904049274900174,0.0385870303951585,0.2814721874525418,240,0.0451094884391386,0.8146498205646759,7.239057397416194,0.0333814862658683,0.6703885537897708,240,0.0377012362133274,0.8233084668826767,6.638460765941639,0.0303031252476153,0.6441570046191177,240
o2o_k15_20260801,只有 k=15,20260801,True,0.0673291093520568,0.494703190091785,3.700674320488967,0.0391734431528878,0.2705993824213584,240,0.04901541358664,0.8635302022402267,7.7991939100365695,0.0367285160434484,0.6626092626526591,240,0.0409289638605867,0.8717707914919676,6.730282459108103,0.0323158644829634,0.6384828024868716,240
o2o_k15_20260812,只有 k=15,20260812,True,0.0625344283257304,0.4927863074187446,4.120854386234271,0.0329831158535094,0.2541801696090741,240,0.0449984522408406,0.8571580759691356,7.511312686004122,0.0296571303385417,0.5828099235872751,240,0.0378732660519715,0.8484230995611747,6.500554736720243,0.0265711703958291,0.5464156711998633,240
o2o_k15_20260823,只有 k=15,20260823,True,0.0648101568110801,0.5369195406429289,4.446848895710921,0.0395339680937972,0.3294724255937279,240,0.048206855605347,0.9392873049272272,8.636967303906777,0.0356087506598179,0.7669233868765867,240,0.0411063268677633,0.9805364252216024,8.361292344221397,0.0320166288517482,0.7507356178888117,240
o2o_k3_20260801,只有 k=3,20260801,True,0.0662381926083961,0.4538359682202413,3.2678730122670605,0.0311662650945156,0.2038897472783621,240,0.0484149792156744,0.7832508799051605,6.337459418841024,0.0307518389549906,0.527597945790086,240,0.0395116750622673,0.8185007081152152,5.42871611199796,0.0271135773656582,0.5184832790848742,240
o2o_k3_20260812,只有 k=3,20260812,True,0.0578716558241341,0.5330265294797081,3.963171169509689,0.0338187347401852,0.3074576858855831,240,0.0419413054955485,0.8712931338677226,6.595414651352012,0.0308633829770487,0.6075721058709013,240,0.0369294327945016,0.8501942167124539,6.167676178741271,0.0290443849369682,0.5998059426258107,240
o2o_k3_20260823,只有 k=3,20260823,True,0.0637168255770555,0.5261056860116576,4.075585438703936,0.03973412041985,0.3027484719829934,240,0.0472625072142373,0.9080649317152168,7.650954513489812,0.0370458516307473,0.7101481648554083,240,0.039587073687257,0.8839470020318012,6.299002760294762,0.0328654246813275,0.6886202979174612,240
o2o_k60_20260801,只有 k=60,20260801,True,0.0620568446431146,0.4790401916545225,3.6398513592300006,0.0326055415940448,0.2359657165849117,240,0.0442758757617064,0.7886364289696138,6.642550983952217,0.0289960544633327,0.5208311092890561,240,0.0368923127453926,0.7717167344394411,5.717678023283585,0.0253309404445422,0.4766625469904896,240
o2o_k60_20260812,只有 k=60,20260812,True,0.0621971097455848,0.5352748856101701,4.132769628152492,0.0336914661692868,0.2835060598548047,240,0.045129969927511,0.8917012052273913,7.544384793543222,0.0301016693344013,0.5944129841224435,240,0.0384947137567343,0.8672656292131842,6.694417135327928,0.0277255004026889,0.5648440133958937,240
o2o_k60_20260823,只有 k=60,20260823,True,0.0603984640370619,0.517350186234421,4.417734371959643,0.0333563928124516,0.277928200033445,240,0.0433738563041066,0.8909293830121555,8.03189998192621,0.029846083885983,0.6715169508324711,240,0.0366696734041714,0.8890498191332608,7.376691626614064,0.0265701800245359,0.6223256770975374,240
BASE_full_o2o_20260801,完整双通路,20260801,True,0.0651489842880812,0.5065288080836021,4.100346519093795,0.0397417228901698,0.3003067347918253,240,0.0465400080992255,0.8246916370997635,7.475769019474533,0.036075668297703,0.7100759987228713,240,0.0381783102146146,0.8227725315359111,5.916359539042393,0.0312942764472061,0.6554046652889247,240
BASE_full_o2o_20260812,完整双通路,20260812,True,0.0629508640315211,0.533520125256059,4.782801745023376,0.0387098330094363,0.3278845682335087,240,0.0449806134232198,0.8827340781330366,7.752447637036273,0.0334321154886167,0.6819124085271643,240,0.0378554593403659,0.8475671517926067,6.300409549816782,0.0296408201446955,0.6066274179900144,240
BASE_full_o2o_20260823,完整双通路,20260823,True,0.0620135194680336,0.5532294476963638,4.8806017087532005,0.0381657517339832,0.3396393380563791,240,0.0456014607774518,0.9419372255034152,8.970184985499142,0.0336852749706624,0.7263448377536296,240,0.0390022882713664,0.9283578397815792,8.00705586110982,0.0301931850763038,0.6751623961525257,240
o2o_full_20260904,完整双通路,20260904,True,0.0653811339173138,0.5005384765149896,4.30362771847178,0.0395860247206931,0.29565373162439,240,0.0478909478183277,0.868102475589971,7.844572337568813,0.034776194725193,0.6767433255024576,240,0.0389946706077842,0.8762508238039756,6.265978152609591,0.0297020875838529,0.6378601702201534,240
o2o_full_20260915,完整双通路,20260915,True,0.0631577079740761,0.5133487245915507,4.176429177936799,0.0411461513878559,0.3257773000756016,240,0.0448828787976423,0.8662730550584496,7.316218422579119,0.0359960761986175,0.7122543529652627,240,0.0386629951183529,0.8584608847770262,6.543328049971674,0.0332957967147834,0.6841262698501205,240
o2o_k21045_20260801,"核组 (2,10,45)",20260801,True,0.0658607783947559,0.486784840215133,3.975752496227463,0.0409277617061705,0.2798310156080783,240,0.0469790602081073,0.8174381489158409,7.158566779261252,0.0362464770389843,0.6494985876577801,240,0.0391110411225001,0.8056162767718208,6.354673125935173,0.0317072017613923,0.5955141647046487,240
