arm,seed,raw_ic,raw_ir,raw_sharpe,raw_stress_ic,raw_stress_ir,raw_days,old_ic,old_ir,old_sharpe,old_stress_ic,old_stress_ir,old_days,new_ic,new_ir,new_sharpe,new_stress_ic,new_stress_ir,new_days
daily6,s01,0.054417827977067054,0.42213739157827357,3.231152898024455,0.03558943636088832,0.26192738743928334,240,0.0379255732801473,0.6380605233909804,6.041385389066932,0.03237326894715011,0.5428754038363613,240,0.03167307779962416,0.6746912274776362,5.830127673100392,0.028414720681293686,0.5681968506532725,240
FULL17,s01,0.06514898428808123,0.5065288080836021,4.100346519093795,0.03974172289016984,0.3003067347918253,240,0.046540008099225566,0.8246916370997635,7.475769019474533,0.03607566829770303,0.7100759987228713,240,0.03817831021461467,0.8227725315359111,5.916359539042393,0.03129427644720612,0.6554046652889247,240
daily6,s12,0.053725090373236355,0.4236813482322537,3.327184103581838,0.03185664043920054,0.24955261190931713,240,0.03725313391963468,0.6280080474325869,5.5112750639957735,0.028985871779051087,0.5028765053889407,240,0.03096110238992183,0.6704107184528942,5.509632988869745,0.025990096778619555,0.5488097308575449,240
FULL17,s12,0.0629508640315211,0.533520125256059,4.782801745023376,0.03870983300943632,0.3278845682335087,240,0.04498061342321986,0.8827340781330366,7.752447637036273,0.03343211548861672,0.6819124085271643,240,0.03785545934036598,0.8475671517926067,6.300409549816782,0.029640820144695577,0.6066274179900144,240
daily6,s23,0.05856094574008329,0.4261072794216402,3.259355178605677,0.03483803462224554,0.24622118205150134,240,0.04187452794095153,0.6378828292706427,6.3816524914114625,0.03257071819825856,0.5217650226147376,240,0.034751757008897766,0.6995097058886192,6.268295404084036,0.02861967785813706,0.5779278755369177,240
FULL17,s23,0.062013519468033663,0.5532294476963638,4.8806017087532005,0.038165751733983254,0.33963933805637914,240,0.04560146077745184,0.9419372255034153,8.970184985499142,0.03368527497066245,0.7263448377536296,240,0.03900228827136641,0.9283578397815792,8.00705586110982,0.030193185076303815,0.6751623961525257,240
trade,s01,0.05673163881625236,0.4465770776431908,3.296236510154706,0.034315559561861206,0.27195419463331194,240,0.03709717847484052,0.6889676604143234,5.153547558510308,0.029085215381011595,0.5331063382078189,240,0.031395016253063276,0.6896491921244388,4.685498151865498,0.02636365074104658,0.5231733494192504,240
trade,s12,0.05312314600240864,0.5367628369550203,4.223367594314187,0.03280364042941972,0.34959109494414925,240,0.03413196694445417,0.7337583101777236,5.01874526538073,0.025531880535360308,0.47669598259272244,240,0.03062409054365584,0.7372714214499774,5.012847523597724,0.02451063772709483,0.4964680060266259,240
trade,s23,0.05918710313132521,0.4927498675963698,4.034874804599839,0.03315762537827631,0.3006956604366004,240,0.03978914070733835,0.7230996907142275,5.748094698244481,0.028385537490247657,0.5427776991405446,240,0.03448075475589492,0.769686430609916,5.455040116083127,0.027129245864290684,0.5668108613877405,240
book,s01,0.06088884269549467,0.4259767624813754,2.609828133402569,0.03377142221402142,0.21759802357818436,240,0.04270889813780483,0.7108815110523671,4.994738404636318,0.03159171217491372,0.5321948007869598,240,0.0342067072140833,0.703642316165864,4.694485288721081,0.027108627501023785,0.5310802813295898,240
book,s12,0.06424248170521644,0.4899831358677503,3.91511030937198,0.041431183227967815,0.29519730908830816,240,0.04680874075276134,0.8030325123439835,7.4995306926688095,0.03687551836809761,0.6597467318589538,240,0.0374588027921074,0.7972941353329178,6.693284522358248,0.03210693902981971,0.6719320589309569,240
book,s23,0.05728505451542719,0.428947750252985,2.9868797410980674,0.03162495531888887,0.2174367909878751,240,0.04128878726024922,0.7592748784528651,6.4192580914177775,0.030939810562606425,0.5492687871924625,240,0.033418785576023756,0.7262736879369377,5.624265457991031,0.026665114075669225,0.5461744280100247,240
