seed,epoch,rank_ic,rank_ic_ir,long_short_sharpe,stress_ic_ir,days
20260801,1,0.0806165056584046,1.6995487712236348,14.819190755991977,1.118924037019727,241
20260801,2,0.08531367890312447,1.7174809949933123,14.915714885559945,1.1337444842034445,241
20260801,3,0.08553346536784566,1.5957262126248581,12.855967945922142,1.0840824629964831,241
20260801,4,0.08642442396377417,1.7997575433432855,15.162497524805916,1.1865971056511402,241
20260801,5,0.08714668788649935,1.6833923811164409,14.717745469337332,1.1201596000047926,241
20260801,6,0.0848823529154474,1.6961669615368369,14.110053060615913,1.095135637496291,241
20260812,1,0.08113879938776196,1.5763087639371465,13.417971465536795,1.0690318118346611,241
20260812,2,0.08212563391999751,1.6902043130709934,14.303670928782072,1.0846105622945275,241
20260812,3,0.08435638076101919,1.6493006028274924,13.738191090933146,1.0465387212034423,241
20260812,4,0.08194195627578782,1.5379079176893815,12.818911188348109,1.01968039352298,241
20260812,5,0.07722519888387139,1.4800235561927524,11.89077963712899,1.0075750820640998,241
20260812,6,0.08403673267634441,1.6901980428926866,14.086774785929048,1.0816216615624616,241
20260823,1,0.08206362252524,1.5921100270685817,14.318089039085235,1.0538001914737798,241
20260823,2,0.0846149429602137,1.637015345824226,13.596460631403616,1.0979979775792372,241
20260823,3,0.08627246649313969,1.6940148363206522,13.729250500025245,1.0865747188277304,241
20260823,4,0.08685616869511036,1.6931020230362772,14.127126192412101,1.122239284105477,241
20260823,5,0.08715276589898335,1.6767730803083007,14.55056521896752,1.1472342416689114,241
20260823,6,0.08579425561864175,1.661571551770391,14.371930339162736,1.1290550669417831,241
