candidate,selection_role,selection_reason,active_days,evaluation_years,evaluation_protocol,i_trial_passed,i_quality_passed,i_linear_signal_passed,i_residual_signal_passed,i_redundancy_passed,i_trial_reasons,i_coverage,i_active_days,i_rank_ic_mean,i_residual_rank_ic,i_max_abs_rank_correlation,individual_passed,individual_reasons,force_refreshed,evaluation_status,frozen_after_validation,feature,benchmark,passed
self__FR-012,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,431,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__FR-012,incremental_entry,False
self__FR-013,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,168,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__FR-013,incremental_entry,False
self__FR-014,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__FR-014,incremental_entry,False
self__FR-015,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,682,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__FR-015,incremental_entry,False
self__HF-001,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__HF-001,incremental_entry,False
self__HF-002,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,730,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",False,True,False,False,True,I linear/residual signal gate failed,1.0,730.0,-0.0314705782190214,-0.009473783286066894,0.3759550581158286,False,I linear/residual signal gate failed,False,i_entry_failed,False,self__HF-002,incremental_entry,False
self__HF-003,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,728,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__HF-003,incremental_entry,False
self__HF-004,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,700,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__HF-004,incremental_entry,False
self__INT-002,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,343,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__INT-002,incremental_entry,False
self__INT-003,residual_entry_elastic_net_candidate,quality plus linear/residual signal and non-redundancy,239,"2019,2020,2021","screened15_residual_entry_v10_lightweight_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=quality_linear_or_residual_signal_and_redundancy|admission_metric=entry_gate_only|admission=residual_entry_only_v1",True,,,,,,,,,,,True,,,promoted_to_frozen_I,True,self__INT-003,incremental_entry,False
