run,train_label,config,seed,raw_ic_o2o,neut_ic_o2o,neut_ir_o2o,neut_t_o2o,days
o2c_no_deepsets_20260812,o2c,− DeepSets,20260812,0.05100610039288309,0.038220380501036336,0.813056279411391,12.595813718758727,240
o2c_no_deepsets_20260823,o2c,− DeepSets,20260823,0.04883191887566284,0.037130010116152586,0.8121641060534149,12.581992228529241,240
o2c_stats_only_20260812,o2c,− 序列通路,20260812,0.044466341704822755,0.03160311094333304,0.7524974061273784,11.657639687982462,240
o2c_stats_only_20260823,o2c,− 序列通路,20260823,0.04459922618027901,0.03331877175358407,0.630918522514182,9.774147722044864,240
o2c_seq_only_20260812,o2c,− 统计通路,20260812,0.05117504265178645,0.03792054488692522,0.7971916708011487,12.350040258992458,240
o2c_seq_only_20260823,o2c,− 统计通路,20260823,0.04911594624079277,0.03637083048146403,0.7309454828069681,11.32375872758771,240
o2c_k15_20260812,o2c,只有 k=15,20260812,0.04955424066678128,0.037458480345804235,0.7933921446129207,12.291178252390514,240
o2c_k15_20260823,o2c,只有 k=15,20260823,0.05198717547757424,0.03948007955686292,0.8846033002532216,13.704215399523386,240
o2c_k3_20260812,o2c,只有 k=3,20260812,0.05060944768713318,0.038140848078620324,0.7805688983646999,12.09252137573581,240
o2c_k3_20260823,o2c,只有 k=3,20260823,0.054844385151133816,0.04224815990134138,0.8983239004760852,13.916774024175869,240
o2c_k60_20260812,o2c,只有 k=60,20260812,0.0499275324747556,0.03698307227942778,0.8095888665664024,12.542096789946461,240
o2c_k60_20260823,o2c,只有 k=60,20260823,0.048191318438317525,0.03678075985169191,0.8417390365934745,13.04016508231681,240
BASE_full_o2c_s01,o2c,完整双通路,,0.05339330500160043,0.038709663345762216,0.7321925596816502,11.343078359456046,240
BASE_full_o2c_s12,o2c,完整双通路,,0.05080119974302051,0.037871451568919724,0.84512598908369,13.09263552467281,240
BASE_full_o2c_s23,o2c,完整双通路,,0.049802671299740746,0.037882858755038974,0.7945388412584278,12.308942800435318,240
o2c_k21045_20260823,o2c,"核组 (2,10,45)",20260823,0.0512074406668969,0.0382267962107241,0.7494894771991196,11.611041053399576,240
o2c_k53012_20260812,o2c,"核组 (5,30,120)",20260812,0.05089114260438098,0.03626205058622232,0.7287419903684554,11.289622369516294,240
o2c_k53012_20260823,o2c,"核组 (5,30,120)",20260823,0.04842392795297335,0.03629596268551043,0.7461152981224798,11.558768495915785,240
o2o_no_deepsets_20260801,o2o,− DeepSets,20260801,0.06422978944858894,0.04590195459829253,0.803302538153199,12.444709408933951,240
o2o_no_deepsets_20260812,o2o,− DeepSets,20260812,0.06104421799854197,0.04377234800274641,0.8770840559146217,13.58772776712554,240
o2o_no_deepsets_20260823,o2o,− DeepSets,20260823,0.060774124357667006,0.04489732967806275,0.940278826486736,14.566736943098329,240
o2o_stats_only_20260801,o2o,− 序列通路,20260801,0.06443656913487218,0.0472890219984751,0.7990223489281811,12.378401002585509,240
o2o_stats_only_20260812,o2o,− 序列通路,20260812,0.059564415823503684,0.04281179923005423,0.8687744291045536,13.45899558213117,240
o2o_stats_only_20260823,o2o,− 序列通路,20260823,0.06363996272530412,0.04594425481861283,0.8306578729924713,12.868496433983669,240
o2o_seq_only_20260801,o2o,− 统计通路,20260801,0.0636662782866813,0.04519094477520289,0.7717362757894111,11.955686975186094,240
o2o_seq_only_20260812,o2o,− 统计通路,20260812,0.06468381780007305,0.04605843274847974,0.8411253769950074,13.030658308696397,240
o2o_seq_only_20260823,o2o,− 统计通路,20260823,0.06246205569299084,0.045880059011757304,0.8413103733548899,13.033524259980132,240
BASE_full_o2o_20260801,o2o,完整双通路,20260801,0.06424267202348521,0.04604326360858419,0.8160125007022699,12.641611302067838,240
BASE_full_o2o_20260812,o2o,完整双通路,20260812,0.06211025038857039,0.0445320632891512,0.8748532362237951,13.553168057081686,240
BASE_full_o2o_20260823,o2o,完整双通路,20260823,0.0612214994364753,0.045184398246807936,0.9343406592145487,14.474743251289626,240
o2o_k21045_20260801,o2o,"核组 (2,10,45)",20260801,0.06491357405126595,0.04647714016699072,0.8091181930234859,12.534805146773596,240
o2o_k21045_20260812,o2o,"核组 (2,10,45)",20260812,0.06529592411905291,0.04715021492863173,0.8303188998872456,12.863245085218264,240
o2o_k21045_20260823,o2o,"核组 (2,10,45)",20260823,0.06111828678469123,0.0450191993696484,0.8953287767432183,13.870373766826972,240
