variant,raw_open_to_open,neut_open_to_open,neut_open_to_open_ir,neut_open_to_open_t,neut_sharpe_q5,neut_stress_ic,neut_stress_ir,stress_days,days
m_raw,0.05398312682080017,0.03906833549071386,0.7384633304792505,11.440224722924006,8.237588165739767,0.029662502308667852,0.6825545319281783,60,240
m_epoch6,0.0458184906799476,0.03354619945306885,0.6851565657190409,10.614399874298053,7.2315946840709255,0.022708820596423835,0.5601604918828823,60,240
e2c_full_seed12,0.05121654134166667,0.03811044004696808,0.8497884991169316,13.16486681951389,9.188166900097592,0.028030053984735105,0.7042185671742685,60,240
e2c_full_seed23,0.050213390501269946,0.038122288954966874,0.7980415022007094,12.363205790422787,10.051115140223859,0.03053307897856484,0.6713336009958067,60,240
e3_seq_only,0.054900835355874554,0.03931533839092825,0.7039385849159677,10.905369664529434,7.942719766051249,0.029311351333273238,0.6256003729885975,60,240
e3_stats_only,0.04579537838312857,0.03347080793044321,0.7020056132532347,10.875424196295612,6.671719337274418,0.028533473219516596,0.6055554865127215,60,240
e3_no_deepsets,0.05381877001673708,0.03805498451152892,0.6523180832917821,10.105668292076059,7.28788436188816,0.026046689124674314,0.5328842545742303,60,240
e3_linear85,0.06124666495043856,0.04599346121016715,0.6363778976382414,9.858723997789589,5.338450923369198,0.03894105149660281,0.48329855314323267,60,240
e2a_k3,0.05453784886266411,0.04011783421843407,0.6388799018082207,9.897484879719475,6.79302370234211,0.0247516443872802,0.45213420831874696,60,240
e2a_k15,0.0592487359377236,0.04314968323357467,0.7927957167934878,12.281938432343,9.631660002657581,0.03455939888802348,0.7267919026188939,60,240
e2a_k60,0.05452549908481626,0.03959970621650842,0.7301052878069872,11.310742482617739,8.904964605282757,0.029235695876510783,0.6372179315557315,60,240
e2b_2_10_45,0.058564848030696996,0.0422757085406638,0.7701818941213238,11.931606597929484,8.497444224497896,0.03363546140049792,0.7116589784930928,60,240
e2c_k21045_seed12,0.05327154476776622,0.03943502002249281,0.8344040546897651,12.926532031285612,9.598438834403956,0.02958214350528756,0.72923073667661,60,240
e2b_5_30_120,0.05321988396851662,0.037791041324550786,0.7584657937036406,11.750101550728763,8.49123929373376,0.028444041771819518,0.7073629355066876,60,240
BASE_full_o2o_20260801,0.06515632550762271,0.046540008099225566,0.8246916370997635,12.776067904975658,7.475769019474533,0.03607566829770303,0.7100759987228713,60,240
BASE_full_o2o_20260812,0.06296162031463663,0.04498061342321986,0.8827340781330366,13.67525753495603,7.752447637036273,0.03343211548861672,0.6819124085271643,60,240
BASE_full_o2o_20260823,0.062020674746445556,0.04560146077745184,0.9419372255034153,14.59242875019019,8.970184985499142,0.03368527497066245,0.7263448377536296,60,240
o2c_k15_20260812,0.04996758947403991,0.03769156817115739,0.7979150907450474,12.361247432572593,8.016465924506507,0.02444688846007478,0.5964308403694296,60,240
o2c_k15_20260823,0.05245264100728047,0.03970707074085003,0.8880585093565084,13.757743268782162,10.467004444914217,0.030729358436907488,0.7049702426341251,60,240
o2c_k21045_20260823,0.051618423776915036,0.03845299979694346,0.7527510759768123,11.661569524391632,9.016668853658476,0.031026737356009863,0.69805738910584,60,240
o2c_k3_20260812,0.05108052068656727,0.03840523781455893,0.7856708329930295,12.171560207131648,8.080119017070798,0.02531649045943154,0.5616001096788006,60,240
o2c_k3_20260823,0.055337236259477805,0.042509619737868216,0.9026808975817946,13.984272333095413,10.517298161817473,0.032686999715495026,0.7357948332465174,60,240
o2c_k53012_20260812,0.05125701392429148,0.036471220409647995,0.7319795578245273,11.339778548874653,7.997666868014816,0.026075099526236507,0.5737706195612362,60,240
o2c_k53012_20260823,0.04885370623356936,0.03653638602671273,0.7496592107740268,11.613670554635206,9.11316674719115,0.02397013412938067,0.5931271224694473,60,240
o2c_k60_20260812,0.05037433363498489,0.03724466315529902,0.8145395388529343,12.618792275219535,9.188834176006068,0.027691626064761048,0.6657062333938605,60,240
o2c_k60_20260823,0.04860260489478244,0.03700625998950218,0.8445386414373995,13.083536374062742,9.120163911911403,0.028424247792147563,0.6398234370398591,60,240
o2c_no_deepsets_20260812,0.051476476416979035,0.03850515947346749,0.8185667149751661,12.681181019434128,9.406478715954634,0.027411590859870636,0.694858434990824,60,240
o2c_no_deepsets_20260823,0.04918999064976384,0.03733226141643988,0.8152009043647243,12.62903810567121,9.435943500311549,0.02846230054616332,0.6507492179983688,60,240
o2c_seq_only_20260812,0.05155770285577142,0.03817146728558825,0.8020269059686433,12.424947400107271,9.063531664151585,0.027759278523879084,0.6821994907529785,60,240
o2c_seq_only_20260823,0.04957667715548474,0.03662562891891076,0.7348659205371377,11.38449388774287,9.111083091854507,0.027161743758424735,0.5808171048788457,60,240
o2c_stats_only_20260812,0.04496483573775325,0.03184138763912207,0.7572606667082613,11.731431803596086,6.237047492505683,0.02701257861027532,0.5657717707049601,60,240
o2c_stats_only_20260823,0.04504702531154387,0.03355083104382196,0.6349619254440493,9.836787850882393,6.307607152110556,0.025419350354600155,0.531605806569018,60,240
o2o_full_20260904,0.06539243000135478,0.04789094781832779,0.868102475589971,13.448585723045554,7.844572337568813,0.03477619472519304,0.6767433255024576,60,240
o2o_full_20260915,0.06316881952185,0.04488287879764233,0.8662730550584496,13.420244462038385,7.316218422579119,0.035996076198617534,0.7122543529652627,60,240
o2o_k15_20260801,0.06733494190726604,0.049015413586640084,0.8635302022402267,13.377752368894082,7.7991939100365695,0.0367285160434484,0.6626092626526591,60,240
