variant,raw_open_to_open,neut_open_to_open,neut_open_to_open_ir,neut_open_to_open_t,days
m_raw,0.05339330500160043,0.038709663345762216,0.7321925596816502,11.343078359456046,240
e2c_full_seed12,0.05080119974302051,0.037871451568919724,0.84512598908369,13.09263552467281,240
e2c_full_seed23,0.049802671299740746,0.037882858755038974,0.7945388412584278,12.308942800435318,240
e3_seq_only,0.05430006781225716,0.03896384888470394,0.6979852581018656,10.813141122107245,240
e3_stats_only,0.04532753457392011,0.03321664143529828,0.697301377054024,10.802546482470934,240
e3_no_deepsets,0.053175548368970045,0.037682195109444754,0.6460716225609823,10.008898538543553,240
e3_linear85,0.06032034252978121,0.04544882632920429,0.6291495054801516,9.746742227997036,240
e2a_k3,0.05386857091360073,0.039738368610684104,0.632995126740827,9.806318336390705,240
e2a_k15,0.058630309144465424,0.04280226757900194,0.7866788216005942,12.187175899492708,240
e2a_k60,0.05391721571511187,0.03924208963666724,0.7239037795489456,11.214669129798686,240
e2b_2_10_45,0.05793711632976843,0.041901813530222945,0.7641506471947507,11.838170922315555,240
e2c_k21045_seed12,0.05281885195298463,0.03916744261296361,0.8294429519225776,12.84967495770105,240
e2b_5_30_120,0.052676592229648565,0.03747842183557538,0.7530434127985264,11.66609838695956,240
m_epoch6,0.04535500073898655,0.03324786445159599,0.6797495778425664,10.530635178303127,240
