date,instrument,open,close,closing_nav,daily_return
2025-01-02,000852.SH,5948.68,5797.089,1.0,0.0
2025-01-03,000852.SH,5808.542,5625.209,0.9703506363279915,-0.029649363672008544
2025-01-06,000852.SH,5614.028,5608.034,0.9673879424656064,-0.0030532198892521123
2025-01-07,000852.SH,5610.946,5692.041,0.9818791810855414,0.014979759395182146
2025-01-08,000852.SH,5664.312,5661.779,0.9766589748751486,-0.005316546384679932
2025-01-09,000852.SH,5629.895,5672.78,0.9785566514504089,0.0019430288607165114
2025-01-10,000852.SH,5662.767,5544.916,0.9565000640838877,-0.022539918699473582
2025-01-13,000852.SH,5487.125,5559.473,0.9590111519764488,0.002625287741058635
2025-01-14,000852.SH,5580.878,5811.055,1.0024091401736286,0.045252850405065326
2025-01-15,000852.SH,5805.898,5775.571,0.9962881370287743,-0.006106292230928845
2025-01-16,000852.SH,5810.051,5801.305,1.0007272615617944,0.004455663344801852
2025-01-17,000852.SH,5780.606,5841.572,1.0076733339784847,0.006941024476389224
2025-01-20,000852.SH,5877.972,5879.15,1.0141555528990498,0.006432857456862617
2025-01-21,000852.SH,5911.405,5908.023,1.0191361560948953,0.004911084085284623
2025-01-22,000852.SH,5879.843,5855.739,1.0101171467265726,-0.00884966087640493
2025-01-23,000852.SH,5911.219,5829.033,1.0055103518334807,-0.004560654086529392
2025-01-24,000852.SH,5815.458,5938.13,1.0243296247478693,0.018716140395842684
2025-01-27,000852.SH,5946.729,5846.069,1.0084490681443739,-0.015503365537635538
2025-02-05,000852.SH,5900.513,5881.437,1.0145500612462566,0.0060498772765082975
2025-02-06,000852.SH,5869.705,6041.834,1.0422186031644503,0.027271736482087583
2025-02-07,000852.SH,6046.365,6134.055,1.0581267598272168,0.015263742764200394
2025-02-10,000852.SH,6155.051,6210.547,1.0713216581632607,0.012470054474568393
2025-02-11,000852.SH,6209.521,6190.174,1.0678073081161943,-0.0032803873797266903
2025-02-12,000852.SH,6172.394,6284.611,1.0840977255998656,0.015255952417492669
2025-02-13,000852.SH,6290.79,6212.497,1.0716580338856279,-0.011474695888098685
2025-02-14,000852.SH,6203.477,6248.835,1.0779263523468416,0.005849177874854394
2025-02-17,000852.SH,6285.04,6281.566,1.083572461971862,0.005237936351335959
2025-02-18,000852.SH,6264.282,6142.138,1.05952108032152,-0.022196375871876506
2025-02-19,000852.SH,6134.991,6288.529,1.0847735820512676,0.023833883250425236
2025-02-20,000852.SH,6289.133,6334.414,1.0926887615491154,0.007296618970827673
2025-02-21,000852.SH,6347.67,6449.228,1.1124942190813354,0.018125433544444736
2025-02-24,000852.SH,6454.558,6464.024,1.115046534562433,0.0022942280843536444
2025-02-25,000852.SH,6369.276,6435.428,1.1101137139692008,-0.004423869713355066
2025-02-26,000852.SH,6451.402,6524.406,1.1254624519306156,0.013826275424105416
2025-02-27,000852.SH,6526.811,6499.53,1.121171332715437,-0.0038127608858186113
2025-02-28,000852.SH,6460.904,6270.419,1.0816496003425167,-0.03525039502856364
2025-03-03,000852.SH,6291.05,6273.67,1.082210399046832,0.000518466150348118
2025-03-04,000852.SH,6218.831,6357.628,1.096693185148615,0.013382597427024301
2025-03-05,000852.SH,6365.432,6398.237,1.1036982526919976,0.006387445128906544
2025-03-06,000852.SH,6438.159,6534.971,1.127284918344362,0.02137057442542356
2025-03-07,000852.SH,6512.732,6507.765,1.1225918732660478,-0.004163140127171117
2025-03-10,000852.SH,6519.028,6520.973,1.1248702581588794,0.002029575437957565
2025-03-11,000852.SH,6438.245,6551.734,1.130176542054124,0.004717240816669577
2025-03-12,000852.SH,6585.595,6566.968,1.1328044126974763,0.0023251859736672653
2025-03-13,000852.SH,6558.419,6466.851,1.1155341931096796,-0.015245544062343575
2025-03-14,000852.SH,6463.925,6571.171,1.1335294317544546,0.016131498932015154
2025-03-17,000852.SH,6585.821,6589.566,1.1367025760687821,0.0027993488527386923
2025-03-18,000852.SH,6605.043,6611.926,1.1405596843519221,0.0033932431968966004
2025-03-19,000852.SH,6590.555,6564.677,1.1324092143487878,-0.007146026740166289
2025-03-20,000852.SH,6551.82,6535.062,1.1273006158780725,-0.004511265367663886
2025-03-21,000852.SH,6507.95,6405.611,1.1049702704236557,-0.019808687354458177
2025-03-24,000852.SH,6403.565,6360.341,1.0971611786536313,-0.007067241516851341
2025-03-25,000852.SH,6355.814,6310.764,1.088609127788102,-0.007794707862361472
2025-03-26,000852.SH,6297.329,6334.908,1.0927739767321152,0.003825844224249364
2025-03-27,000852.SH,6315.097,6328.767,1.091714651957215,-0.0009693905578423978
2025-03-28,000852.SH,6326.813,6268.321,1.081287694565324,-0.009550991528049613
2025-03-31,000852.SH,6229.556,6226.649,1.074099259128159,-0.006648032224259026
2025-04-01,000852.SH,6242.071,6259.484,1.0797633087917058,0.005273301899625382
2025-04-02,000852.SH,6252.63,6277.253,1.0828284678741347,0.002838732393916077
2025-04-03,000852.SH,6208.288,6203.257,1.07006413046272,-0.01178795884123196
2025-04-07,000852.SH,5811.544,5496.443,0.9481384536273292,-0.11394240154808988
2025-04-08,000852.SH,5475.56,5530.019,0.9539303260653753,0.0061086779213392894
2025-04-09,000852.SH,5439.177,5652.33,0.9750290188748181,0.022117645527076846
2025-04-10,000852.SH,5766.505,5784.585,0.9978430553679615,0.023398315384982826
2025-04-11,000852.SH,5744.795,5862.188,1.0112296016155695,0.013415482701006232
2025-04-14,000852.SH,5933.992,5938.526,1.024397934894565,0.013022100280646098
2025-04-15,000852.SH,5938.573,5914.029,1.0201721933197851,-0.00412509770943148
2025-04-16,000852.SH,5897.2,5835.348,1.006599691672838,-0.013304128200927079
2025-04-17,000852.SH,5802.293,5839.564,1.007326953234632,0.0007224933285898683
2025-04-18,000852.SH,5833.108,5831.687,1.0059681678166403,-0.0013489020755660386
2025-04-21,000852.SH,5826.622,5952.637,1.0268320876219081,0.020740139174135974
2025-04-22,000852.SH,5947.149,5949.312,1.02625852389018,-0.000558575972295916
2025-04-23,000852.SH,5971.473,5984.583,1.0323427844561295,0.005928584683405402
2025-04-24,000852.SH,5979.406,5920.478,1.021284648208782,-0.010711690355033832
2025-04-25,000852.SH,5927.316,5939.502,1.0245662952561192,0.0032132540649589814
2025-04-28,000852.SH,5933.419,5877.057,1.0137945096237093,-0.010513507698120206
2025-04-29,000852.SH,5850.827,5903.381,1.0183354093752917,0.004479112589855783
2025-04-30,000852.SH,5907.188,5950.117,1.026397386688388,0.007916819192256064
2025-05-06,000852.SH,5993.334,6102.922,1.0527563057941667,0.025681007617160967
2025-05-07,000852.SH,6171.607,6111.495,1.0542351514699877,0.001404736944040863
2025-05-08,000852.SH,6093.56,6158.077,1.0622705637260357,0.007622030288824577
2025-05-09,000852.SH,6153.529,6082.082,1.0491613980741024,-0.01234070311235147
2025-05-12,000852.SH,6122.669,6167.461,1.0638893072022872,0.01403779166410457
2025-05-13,000852.SH,6219.454,6151.01,1.061051503608104,-0.002667386141558148
2025-05-14,000852.SH,6144.246,6160.37,1.0626661070754648,0.0015217013140931268
2025-05-15,000852.SH,6146.002,6057.036,1.0448409537959482,-0.016773992471231458
2025-05-16,000852.SH,6042.22,6068.117,1.0467524304008444,0.0018294426514882112
2025-05-19,000852.SH,6073.203,6095.337,1.051447890484345,0.004485740798999105
2025-05-20,000852.SH,6097.364,6146.017,1.0601902092584743,0.008314552583392754
2025-05-21,000852.SH,6137.096,6132.181,1.0578034941330037,-0.002251214078971886
2025-05-22,000852.SH,6113.207,6066.103,1.046405014654769,-0.01077561148309214
2025-05-23,000852.SH,6060.518,5989.675,1.0332211563424334,-0.012599192595311948
2025-05-26,000852.SH,5991.859,6028.786,1.0399678183308898,0.006529736588379187
