block,train_start,train_end,prediction_start,prediction_end,prediction_days,rank_ic_mean,train_rows,nonzero_features,coefficient_l1,iterations
0,2019-01-02,2019-04-02,2019-04-04,2019-05-07,20,0.06666880787247159,59849,300,2.334338903427124,351
1,2019-01-30,2019-05-06,2019-05-08,2019-06-04,20,0.05104697912864663,59781,326,2.17484712600708,522
2,2019-03-06,2019-06-03,2019-06-05,2019-07-03,20,0.09888471367787155,59776,299,1.7631973028182983,430
3,2019-04-03,2019-07-02,2019-07-04,2019-07-31,20,0.0767213968270181,59829,312,1.8009108304977417,360
4,2019-05-07,2019-07-30,2019-08-01,2019-08-28,20,0.07295622339182442,59874,310,1.7576638460159302,404
5,2019-06-04,2019-08-27,2019-08-29,2019-09-26,20,0.06128348187477599,59894,287,1.3997031450271606,477
6,2019-07-03,2019-09-25,2019-09-27,2019-10-31,20,0.05614601164473944,59915,277,1.3741236925125122,307
7,2019-07-31,2019-10-30,2019-11-01,2019-11-28,20,0.05038063631085955,59923,299,1.459883213043213,304
8,2019-08-28,2019-11-27,2019-11-29,2019-12-26,20,0.028009180646878816,59909,305,1.5050508975982666,534
9,2019-09-26,2019-12-25,2019-12-27,2019-12-31,3,0.036604024348840865,59870,286,1.3448883295059204,383
