quintile,mean,std,count,mean_excess,cumulative_excess_pp,scored_stock_days,mean_return_bp,mean_excess_bp,standard_error_bp
1,0.000900722159512678,0.013491484451127666,401,-0.00046608868132451924,-18.690156121113223,80177,9.00722159512678,-4.660886813245193,6.737325825248915
2,0.001254328265312801,0.013307152354084457,401,-0.0001124825755243961,-4.5105512785282835,80179,12.543282653128008,-1.124825755243961,6.6452747687228335
3,0.001514837488539643,0.012458593328034064,401,0.00014802664770244563,5.93586857286807,79834,15.14837488539643,1.4802664770244562,6.221524612750965
4,0.0015674490409590847,0.011647018138847288,401,0.0002006382001218875,8.045591824887689,80184,15.674490409590847,2.006382001218875,5.816243303563205
5,0.0015967172498617794,0.010118199612164844,401,0.00022990640902458207,9.21924700188574,80192,15.967172498617794,2.2990640902458206,5.052787763941269
