date,return_date,quintile,mean_o2c_return,scored_stocks,candidate_stocks,five_group_mean,excess_return,cumulative_excess_pp
2025-01-02,2025-01-03,0,-0.03471046090126038,200,200,-0.02970098262122183,-0.005009478280038546,-0.5009478280038546
2025-01-02,2025-01-03,1,-0.03624158203601837,200,200,-0.02970098262122183,-0.0065405994147965385,-0.6540599414796539
2025-01-02,2025-01-03,2,-0.02951162601962234,198,200,-0.02970098262122183,0.0001893566015994906,0.01893566015994906
2025-01-02,2025-01-03,3,-0.026335479319095613,200,200,-0.02970098262122183,0.0033655033021262187,0.3365503302126219
2025-01-02,2025-01-03,4,-0.021705764830112457,200,200,-0.02970098262122183,0.007995217791109375,0.7995217791109375
2025-01-03,2025-01-06,0,0.001240142285823822,200,200,0.0004907442930628035,0.0007493979927610184,-0.4260080287277528
2025-01-03,2025-01-06,1,8.791175918962488e-05,199,200,0.0004907442930628035,-0.0004028325338731786,-0.6943431948669717
2025-01-03,2025-01-06,2,-0.0023939582434567537,198,200,0.0004907442930628035,-0.0028847025365195574,-0.2695345934920067
2025-01-03,2025-01-06,3,0.0029846641421318056,200,200,0.0004907442930628035,0.002493919849069002,0.585942315119522
2025-01-03,2025-01-06,4,0.0005349615216255189,200,200,0.0004907442930628035,4.4217228562715345e-05,0.803943501967209
2025-01-06,2025-01-07,0,0.015150485336780548,200,200,0.0117948810500328,0.0033556042867477487,-0.09044760005297785
2025-01-06,2025-01-07,1,0.014868537783622742,200,200,0.0117948810500328,0.0030736567335899433,-0.38697752150797743
2025-01-06,2025-01-07,2,0.013063194474788627,198,200,0.0117948810500328,0.0012683134247558278,-0.1427032510164239
2025-01-06,2025-01-07,3,0.010093247890472412,200,200,0.0117948810500328,-0.0017016331595603867,0.4157789991634834
2025-01-06,2025-01-07,4,0.0057989397644996644,200,200,0.0117948810500328,-0.005995941285533135,0.20434937341389559
2025-01-07,2025-01-08,0,0.004092289507389069,200,200,-0.0016302005176616805,0.00572249002505075,0.4818014024520971
2025-01-07,2025-01-08,1,0.0009532147645950318,200,200,-0.0016302005176616805,0.0025834152822567123,-0.12863599328230618
2025-01-07,2025-01-08,2,-0.001975461008585044,197,200,-0.0016302005176616805,-0.0003452604909233636,-0.17722930010876026
2025-01-07,2025-01-08,3,-0.005993348360061645,200,200,-0.0016302005176616805,-0.004363147842399965,-0.02053578507651317
2025-01-07,2025-01-08,4,-0.005227697491645813,200,200,-0.0016302005176616805,-0.003597496973984133,-0.15540032398451772
2025-01-08,2025-01-09,0,0.010580636858940125,200,200,0.006558732193436115,0.00402190466550401,0.883991869002498
2025-01-08,2025-01-09,1,0.01181143343448639,200,200,0.006558732193436115,0.005252701241050275,0.39663413082272125
2025-01-08,2025-01-09,2,0.0063418089435790395,197,200,0.006558732193436115,-0.00021692324985707508,-0.19892162509446776
2025-01-08,2025-01-09,3,0.004529779553413391,200,200,0.006558732193436115,-0.0020289526400227237,-0.22343104907878555
2025-01-08,2025-01-09,4,-0.0004699978232383728,200,200,0.006558732193436115,-0.007028730016674488,-0.8582733256519666
2025-01-09,2025-01-10,0,-0.022480371594429015,200,200,-0.021521076373037348,-0.0009592952213916678,0.7880623468633312
2025-01-09,2025-01-10,1,-0.020492784678936005,200,200,-0.021521076373037348,0.001028291694101343,0.49946330023285557
2025-01-09,2025-01-10,2,-0.023993549008054782,197,200,-0.021521076373037348,-0.0024724726350174343,-0.4461688885962112
