strategy,date,closing_nav,gross_return,cost_amount,traded_notional,one_way_turnover,period_nav
baseline_daily,2025-01-02,1.0,0.0,0.0,0.0,0.0,1.0
baseline_daily,2025-01-03,1.0020318623492153,0.002031862349215263,0.0,2.0,1.0,1.0020318623492153
baseline_daily,2025-01-06,1.0027121536708936,0.0006789118662189342,0.0,2.9687762068930823,1.4804876726318617,1.0027121536708936
baseline_daily,2025-01-07,1.0017509178803445,-0.000958635822883025,0.0,2.9401827464288317,1.4673962347247502,1.0017509178803445
baseline_daily,2025-01-08,1.000635452033056,-0.0011135161719130204,0.0,2.638898615352629,1.3143681946071653,1.000635452033056
baseline_daily,2025-01-09,0.9957271155968259,-0.00490521940458688,0.0,2.831801593552919,1.4176701246566408,0.9957271155968259
baseline_daily,2025-01-10,0.9967299443857445,0.0010071321481663897,0.0,2.661585184582014,1.3344993085742056,0.9967299443857445
baseline_daily,2025-01-13,0.9983728241778271,0.0016482697257531598,0.0,2.8630427397525926,1.4334706313536827,0.9983728241778271
baseline_daily,2025-01-14,1.0009361103816823,0.00256746391906848,0.0,2.7444738672368554,1.3739844214911188,1.0009361103816823
baseline_daily,2025-01-15,1.0024419057465115,0.0015043870924538183,0.0,2.801128134682302,1.3999402052048646,1.0024419057465115
baseline_daily,2025-01-16,1.0023034832606623,-0.000138085294574819,0.0,2.7912374524970804,1.3944321619118136,1.0023034832606623
baseline_daily,2025-01-17,1.0045947205087342,0.0022859715508700695,0.0,2.7210421265278333,1.3583442850935035,1.0045947205087342
baseline_daily,2025-01-20,1.0094388559076706,0.004821979749687788,0.0,2.709530060665582,1.3463603157845687,1.0094388559076706
baseline_daily,2025-01-21,1.0108144425867547,0.0013627241224503095,0.0,2.6406840887115877,1.3069568101926705,1.0108144425867547
baseline_daily,2025-01-22,1.0111483536033017,0.00033033858884379264,0.0,2.8507436414329486,1.4067116231553707,1.0111483536033017
baseline_daily,2025-01-23,1.012781508476132,0.0016151486248388025,0.0,2.921601079372208,1.4452804035309712,1.012781508476132
baseline_daily,2025-01-24,1.014649214850267,0.001844135540098213,0.0,2.878850210534016,1.4194556515169183,1.014649214850267
baseline_daily,2025-01-27,1.0137222087208488,-0.0009136222803415306,0.0,3.1159772709500144,1.5352787958791403,1.0137222087208488
baseline_daily,2025-02-05,1.0178224548735115,0.004044743340324564,0.0,2.9577085952406326,1.4584319586284875,1.0178224548735115
baseline_daily,2025-02-06,1.0112119951325322,-0.006494708098968793,0.0,2.9324446389722505,1.4409146459429603,1.0112119951325322
baseline_daily,2025-02-07,1.0141448151497678,0.002900301847043707,0.0,3.01835598101146,1.4930289834268533,1.0141448151497678
baseline_daily,2025-02-10,1.0127041921869675,-0.0014205298309271086,0.0,2.9209602513606265,1.4405996925071127,1.0127041921869675
baseline_daily,2025-02-11,1.009788465246278,-0.0028791496699474006,0.0,2.9060687041880424,1.4376317700402654,1.009788465246278
