block,train_start,train_end,prediction_start,prediction_end,prediction_days,rank_ic_mean,train_rows,nonzero_features,coefficient_l1,iterations
0,2023-09-28,2023-12-28,2024-01-02,2024-01-29,20,-0.0025638918725335016,59968,305,1.733385443687439,440
1,2023-11-03,2024-01-26,2024-01-30,2024-03-05,20,-0.02400647573696401,59945,321,2.213533878326416,432
2,2023-12-01,2024-03-04,2024-03-06,2024-04-02,20,0.025516156939263103,59949,340,2.9132871627807617,656
3,2023-12-29,2024-04-01,2024-04-03,2024-05-07,20,0.05016523566021638,59960,337,2.9823408126831055,668
4,2024-01-29,2024-05-06,2024-05-08,2024-06-04,20,0.03083943123213388,59971,337,2.8238110542297363,734
5,2024-03-05,2024-06-03,2024-06-05,2024-07-03,20,0.02832362046970712,59943,340,2.5211496353149414,454
6,2024-04-02,2024-07-02,2024-07-04,2024-07-31,20,0.008364229125327204,59837,320,2.2632720470428467,349
7,2024-05-07,2024-07-30,2024-08-01,2024-08-28,20,0.07856865228720303,59819,322,2.0448341369628906,471
8,2024-06-04,2024-08-27,2024-08-29,2024-09-27,20,0.02297870894817654,59816,332,1.9861758947372437,517
9,2024-07-03,2024-09-26,2024-09-30,2024-11-01,20,0.018137374487036725,59935,315,1.9029059410095215,556
10,2024-07-31,2024-10-31,2024-11-04,2024-11-29,20,0.05559708241426027,59948,322,2.1344685554504395,468
11,2024-08-28,2024-11-28,2024-12-02,2024-12-27,20,-0.01156693277199431,59960,335,2.635429859161377,487
12,2024-09-27,2024-12-26,2024-12-30,2024-12-31,2,-0.08734011309178187,59836,320,2.3307528495788574,443
