arm,seed,delta_rank_ic,delta_rank_ic_ir,delta_long_short_sharpe,delta_stress_ic_ir
baseline,20260801,0.0,0.0,0.0,0.0
baseline,20260812,0.0,0.0,0.0,0.0
baseline,20260823,0.0,0.0,0.0,0.0
depth1,20260801,0.00041779552431927755,0.01337591916323555,0.06217002868652344,0.05024308303658864
depth1,20260812,-0.00027339338467134017,0.0026675543702541216,-0.0540618896484375,0.0026888678457485105
depth1,20260823,-0.00016451327662484957,0.009781804953696516,0.02006816864013672,0.02363886687507577
depth2,20260801,-0.0008792215079493522,-0.025609948735049848,-0.6802639961242676,-0.009606159036543549
depth2,20260812,8.603559721648973e-05,0.03914160108973097,0.029540538787841797,0.002221096105442799
depth2,20260823,-0.0001283357607343924,0.0024841289619846885,0.37970781326293945,0.0231467340083506
depth4,20260801,-0.002054263078704408,-0.03555016990748683,-0.7767720222473145,-0.030879550925769328
depth4,20260812,-0.0023223102964665433,-0.04762824063583515,-1.3394136428833008,-0.024977180527642473
depth4,20260823,-0.0013061922999695746,0.0048941932694951396,0.32903623580932617,-0.0014899701046895975
single15,20260801,-0.0008538238639265346,-0.03438219613395643,-1.0845141410827637,-0.03247502458546153
single15,20260812,0.0012218257011256083,0.019407417193275656,1.1259794235229492,0.01597290832809073
single15,20260823,0.0007680840447275156,0.05039879511318457,1.3076658248901367,0.023129599444926152
single60,20260801,-0.002024930757411645,-0.030904368724112508,-0.3435811996459961,0.0028206458440911963
single60,20260812,-0.0005554733416958529,0.05749924336942802,0.9201979637145996,-0.010746631765723658
single60,20260823,-0.002110788592578579,-0.01955807393088871,1.0498738288879395,-0.060595052852733255
branches2,20260801,-0.0010736974741449301,-0.02986130388816355,-0.6521162986755371,-0.000759107305662643
branches2,20260812,0.00022107070298993045,0.05798376425626639,1.1300272941589355,-0.01886668476311798
branches2,20260823,-0.0020262076576132507,-0.017699508473085657,0.13495492935180664,-0.023337592169189292
branches4,20260801,0.00043446434490809413,0.008858865960865714,0.0782623291015625,0.06434579051127776
branches4,20260812,0.00044720114152481394,0.055192634785328765,0.7381634712219238,0.028049679970270247
branches4,20260823,-0.0022539987461609665,-0.07102983614961844,-1.601945400238037,-0.05516859752940517
branches5,20260801,-0.0015506156492814047,-0.03574294611865625,-0.42754268646240234,0.0010170568600098573
branches5,20260812,-0.0005415366730772177,0.01414128492157074,-0.48612165451049805,-0.02154343764362754
branches5,20260823,-0.002543511175987497,-0.032348020352318096,-0.025451183319091797,-0.04994356087943391
kernels_2_10_45,20260801,1.8137752076246433e-05,-0.0056801341237596725,-0.2477717399597168,0.03516744552337375
kernels_2_10_45,20260812,-0.00033377047449870134,0.013894901427243478,-0.3600611686706543,0.006232842484587053
kernels_2_10_45,20260823,0.00015652295078865536,-0.0009722610888462935,-0.12636470794677734,0.022880186476045672
kernels_5_30_120,20260801,0.00024121597277218174,0.031017261214809633,-0.15774154663085938,0.044131898365070255
kernels_5_30_120,20260812,0.0011935264586302452,0.0826289448710884,0.7018613815307617,0.07611336707660532
kernels_5_30_120,20260823,-0.0014833572252949782,0.006058893976231605,-0.18312549591064453,-0.04975734263506287
kernels_5_60_120,20260801,-0.0005738351967616226,0.018869527863574098,-0.11505365371704102,0.04828888724882868
kernels_5_60_120,20260812,-8.98773148876493e-05,0.05583075770500634,0.2342543601989746,0.04459557393499547
kernels_5_60_120,20260823,-0.002683930074485641,-0.023225755056620168,-0.5986766815185547,-0.09505781377158612
same_scale60,20260801,-0.0012487532613773,-0.031507064865495926,-1.1312808990478516,0.002513769002369104
same_scale60,20260812,-0.0011263830303021756,0.042198887738076896,0.14588689804077148,-0.029427787979917353
same_scale60,20260823,-0.0020019101578412635,-0.013041615453137978,-0.2670173645019531,-0.0670085481304088
rf179_depth2,20260801,-0.0006030547708633302,-0.020463781260871783,-0.745750904083252,0.01119076502295252
rf179_depth2,20260812,0.00040524825368257883,0.047127782471350854,0.8147950172424316,0.010249145253223069
rf179_depth2,20260823,0.00037361668677777723,0.02254413819512069,-0.020011425018310547,0.006924371314967315
rf177_depth4,20260801,0.00042430261720131923,0.00307956974578949,0.2515878677368164,0.02772093713729623
rf177_depth4,20260812,0.0010120910617023374,0.0521397893736506,0.5573320388793945,0.042313092580073985
rf177_depth4,20260823,4.15858031898135e-05,0.027795618337284278,1.326329231262207,0.020762112796397336
