strategy,date,closing_nav,daily_return,one_way_turnover
long_only_buffer_20_30,2025-01-02,1.0,0.0,0.0
long_only_buffer_20_30,2025-01-03,0.9780008375397957,-0.02199916246020428,0.49985004498650404
long_only_buffer_20_30,2025-01-06,0.977249552281114,-0.0007681846782172652,0.6088150335255931
long_only_buffer_20_30,2025-01-07,0.9812135276169187,0.004056256998585361,0.5572168439704135
long_only_buffer_20_30,2025-01-08,0.9731013825765086,-0.008267461477128424,0.4485904935295618
long_only_buffer_20_30,2025-01-09,0.9663041393193201,-0.006985133696132628,0.3932498501773055
long_only_buffer_20_30,2025-01-10,0.9464701315577426,-0.02052563675816277,0.4475891092677309
long_only_buffer_20_30,2025-01-13,0.9507287071523219,0.004499429461731097,0.43839354572244954
long_only_buffer_20_30,2025-01-14,0.984603376037122,0.03563021567557745,0.43871711649544154
long_only_buffer_20_30,2025-01-15,0.9788479289454667,-0.005845447244777979,0.42356680261039753
long_only_buffer_20_30,2025-01-16,0.9858103846952643,0.0071129084957031186,0.4074598419007354
long_only_buffer_20_30,2025-01-17,0.9907452174143025,0.005005864003515992,0.3622229858694935
long_only_buffer_20_30,2025-01-20,0.9951920975476508,0.004488419479787176,0.3932625713258148
long_only_buffer_20_30,2025-01-21,0.9895365426691353,-0.00568287759966335,0.3897749424819415
long_only_buffer_20_30,2025-01-22,0.9818431341684551,-0.0077747593635382195,0.4146899575783851
long_only_buffer_20_30,2025-01-23,0.9817092842409446,-0.00013632516524531013,0.4469332249569203
long_only_buffer_20_30,2025-01-24,0.9932607526961145,0.011766689630628768,0.5068044060472329
long_only_buffer_20_30,2025-01-27,0.9875039409450587,-0.005795871562859434,0.5180219083397698
long_only_buffer_20_30,2025-02-05,0.9838328552211761,-0.0037175403273522756,0.4463805128867416
long_only_buffer_20_30,2025-02-06,0.9968220567310384,0.013202650674785765,0.5027138195115254
long_only_buffer_20_30,2025-02-07,1.0116278677601171,0.01485301306196285,0.4786357811037635
long_only_buffer_20_30,2025-02-10,1.0196412348189323,0.007921259698546956,0.44300371306341046
long_only_buffer_20_30,2025-02-11,1.0152165933190072,-0.004339410126651955,0.462821598048754
long_only_buffer_20_30,2025-02-12,1.020608709261543,0.005311296109638652,0.41306153040659765
long_only_buffer_20_30,2025-02-13,1.015098384635986,-0.005399057028960708,0.3930030482954964
long_only_buffer_20_30,2025-02-14,1.0175506721253822,0.0024158126212323605,0.5025381818361802
long_only_buffer_20_30,2025-02-17,1.0225630756835962,0.004925949827878862,0.4204585630328725
long_only_buffer_20_30,2025-02-18,1.0078736853191412,-0.01436526578532571,0.4323240370505717
long_only_buffer_20_30,2025-02-19,1.0204438974465506,0.01247201143408061,0.5135497658871944
long_only_buffer_20_30,2025-02-20,1.0235207105592403,0.0030151712606532044,0.37069749232290594
