experiment,arm,label,later_block,comparison,change_later_minus_first,bootstrap_ci_low,bootstrap_ci_high,bootstrap_repetitions,bootstrap_block_days,n_seeds,seed_mean_change,seed_sd_change,seed_t,seed_p_two_sided,seed_ci_low,seed_ci_high,primary_test,holm_p_across_5_arms
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,2,block2_minus_block1,0.009918825016986318,0.00036216049408663905,0.02342452716237129,20000,5,3,0.00991882501698632,0.0020640707785609647,8.323313841390206,0.01412948341712934,0.004791388956241162,0.015046261077731476,True,0.05651793366851736
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,3,block3_minus_block1,-0.0016828227540217635,-0.014509864385833253,0.009614957079542817,20000,5,3,-0.001682822754021764,0.0028885583099336563,-1.0090620293434973,0.4191775262186248,-0.008858399384317758,0.00549275387627423,False,
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,4,block4_minus_block1,0.0027999331504650333,-0.010958172733769023,0.014401413799028285,20000,5,3,0.0027999331504650333,0.0036343221057821644,1.3343964385231932,0.3137162536424344,-0.006228223449156313,0.01182808975008638,False,
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,2,block2_minus_block1,0.00901014978541989,0.0019406900078743892,0.019199119247361878,20000,5,3,0.00901014978541989,0.0011604940361483538,13.44775304830437,0.005484239503838691,0.006127322785962414,0.011892976784877368,True,0.027421197519193457
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,3,block3_minus_block1,-0.0007942431239796226,-0.010199613892460498,0.00860287220225786,20000,5,3,-0.0007942431239796227,0.003841336430418528,-0.35812261415099456,0.754517667804654,-0.010336651814302687,0.00874816556634344,False,
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,4,block4_minus_block1,0.00256723546552131,-0.007052698992045071,0.008276311810653343,20000,5,3,0.002567235465521308,0.002959669158175272,1.5023916605655678,0.2718478739990713,-0.004784990304606239,0.009919461235648854,False,
E10,e10_remove_book,E10 拿掉盘口（5通道）,2,block2_minus_block1,0.00211472895407827,-0.003075304634629517,0.009537272553960616,20000,5,3,0.0021147289540782706,0.005947183631630433,0.6158911880944201,0.6007201585833697,-0.01265889418395917,0.01688835209211571,True,1.0
E10,e10_remove_book,E10 拿掉盘口（5通道）,3,block3_minus_block1,0.005354675883236101,-0.00043166588979254826,0.0107305696791679,20000,5,3,0.005354675883236101,0.0028847833860410014,3.2149972620845024,0.08464454007529175,-0.001811523316259161,0.012520875082731364,False,
E10,e10_remove_book,E10 拿掉盘口（5通道）,4,block4_minus_block1,-0.001084942686734045,-0.006222444957490627,0.004881595009824922,20000,5,3,-0.001084942686734045,0.005887643926401888,-0.31917281007720005,0.779847901781832,-0.01571066099766676,0.01354077562419867,False,
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,2,block2_minus_block1,0.0001540799945809533,-0.0024979484548627007,0.0030438941356249376,20000,5,5,0.0001540799945809533,0.0011992906957199556,0.2872809262052861,0.7881653763163528,-0.0013350360856752607,0.0016431960748371673,True,1.0
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,3,block3_minus_block1,0.0007030021584184961,-0.002340101481842123,0.004224346261781316,20000,5,5,0.0007030021584184961,0.0021647092963456454,0.7261763125453099,0.5079443045431298,-0.001984839441430895,0.003390843758267887,False,
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,4,block4_minus_block1,0.0008395062246201281,-0.0026393559785299753,0.0038672171318627846,20000,5,5,0.000839506224620128,0.0034761620802328187,0.5400188318201455,0.6178450665580936,-0.003476719082326068,0.005155731531566324,False,
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,2,block2_minus_block1,0.0013161754631393445,-0.0015580822834601346,0.004496181513537776,20000,5,5,0.0013161754631393445,0.0016435987055681337,1.7906182305488814,0.1478441537656699,-0.0007246218770589157,0.0033569728033376045,True,0.4435324612970097
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,3,block3_minus_block1,0.0018535808289362361,-0.0011363695241599402,0.005616452587997727,20000,5,5,0.0018535808289362357,0.0030883172002072233,1.3420683390338677,0.2506887336299977,-0.0019810714535945196,0.005688233111466991,False,
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,4,block4_minus_block1,-0.0016804325183139759,-0.003980626175842661,0.002453897684030753,20000,5,5,-0.0016804325183139754,0.0040363496299114015,-0.9309305900325807,0.4045869762930123,-0.006692222537938049,0.003331357501310099,False,
