experiment,arm,label,n_seeds,block,age_start,age_end,date_start,date_end,with_ic,without_ic,effect_ic,effect_icir,effect_pct_of_without
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,3,1,1,60,2024-01-02,2024-04-02,0.04167512563535061,0.03855073594607358,0.0031243896892770404,0.10103021723491121,8.104617493288767
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,3,2,61,120,2024-04-03,2024-07-03,0.041135799275699055,0.028092584569435686,0.013043214706263358,0.29833086972295764,46.42938663769008
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,3,3,121,180,2024-07-04,2024-09-27,0.032818877600909194,0.03137731066565392,0.001441566935255277,0.03607174659408977,4.594297295316765
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,3,4,181,240,2024-09-30,2024-12-27,0.03775160792317056,0.03182728508342849,0.005924322839742074,0.16724717335293665,18.61397484646496
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,3,1,1,60,2024-01-02,2024-04-02,0.04167512563535061,0.03819217907584667,0.0034829465595039464,0.1421830598653068,9.119528248406796
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,3,2,61,120,2024-04-03,2024-07-03,0.041135799275699055,0.028642702930775206,0.012493096344923838,0.4396310279863979,43.61703005165971
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,3,3,121,180,2024-07-04,2024-09-27,0.032818877600909194,0.03013017416538487,0.002688703435524324,0.08114791185477145,8.923623941786728
E10,e10_remove_trade,E10 拿掉成交结构（6通道）,3,4,181,240,2024-09-30,2024-12-27,0.03775160792317056,0.0317014258981453,0.0060501820250252565,0.19653379307729946,19.084889255341743
E10,e10_remove_book,E10 拿掉盘口（5通道）,3,1,1,60,2024-01-02,2024-04-02,0.04167512563535061,0.03995398709161817,0.0017211385437324522,0.10854529840365168,4.307801721479569
E10,e10_remove_book,E10 拿掉盘口（5通道）,3,2,61,120,2024-04-03,2024-07-03,0.041135799275699055,0.03729993177788833,0.0038358674978107225,0.16853597677919266,10.28384588114623
E10,e10_remove_book,E10 拿掉盘口（5通道）,3,3,121,180,2024-07-04,2024-09-27,0.032818877600909194,0.025743063173940643,0.007075814426968553,0.32594766904497874,27.486295547498422
E10,e10_remove_book,E10 拿掉盘口（5通道）,3,4,181,240,2024-09-30,2024-12-27,0.03775160792317056,0.03711541206617215,0.0006361958569984071,0.044677908789258834,1.7141015593849511
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,5,1,1,60,2024-01-02,2024-04-02,0.040705764087042524,0.04142283314876318,-0.0007170690617206738,-0.08842194548957531,-1.7310961303526489
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,5,2,61,120,2024-04-03,2024-07-03,0.04154304433071348,0.0421060333978532,-0.0005629890671397205,-0.09225330680877995,-1.3370745750855382
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,5,3,121,180,2024-07-04,2024-09-27,0.032373500570078845,0.03238756747338103,-1.4066903302177695e-05,-0.0017736909654969659,-0.04343303433868296
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,5,4,181,240,2024-09-30,2024-12-27,0.038360981984889415,0.038238544821989955,0.00012243716289945427,0.01515787101120551,0.32019304989096753
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,5,1,1,60,2024-01-02,2024-04-02,0.041216981470868275,0.04142283314876318,-0.00020585167789491493,-0.018170426226194254,-0.4969521933848249
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,5,2,61,120,2024-04-03,2024-07-03,0.043216357183097624,0.0421060333978532,0.0011103237852444297,0.12231762400218171,2.6369707513247733
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,5,3,121,180,2024-07-04,2024-09-27,0.034035296624422354,0.03238756747338103,0.0016477291510413213,0.1569514064523876,5.087535988602945
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,5,4,181,240,2024-09-30,2024-12-27,0.036352260625781056,0.038238544821989955,-0.0018862841962088907,-0.1697061861879516,-4.932939276298348
