experiment,arm,label,seed,block,age_start,age_end,date_start,date_end,with_ic,with_icir,without_ic,without_icir,effect_ic
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260801,1,1,60,2024-01-02,2024-04-02,0.04120641357324204,1.0407380265556445,0.03805453708275539,0.9704134136006037,0.0031518764904866644
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260801,2,61,120,2024-04-03,2024-07-03,0.040714434120747156,1.0221648052486974,0.027801289653946796,0.6524620870842911,0.012913144466800367
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260801,3,121,180,2024-07-04,2024-09-27,0.03205372519143661,0.721749084640684,0.028803377878148028,0.5742500611390948,0.003250347313288576
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260801,4,181,240,2024-09-30,2024-12-27,0.038738667973032874,0.6509833309353512,0.03203310658364642,0.5855437270981921,0.006705561389386452
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260812,1,1,60,2024-01-02,2024-04-02,0.039730493347691874,1.0300010950586365,0.03731716118130167,0.9156105417817526,0.0024133321663902135
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260812,2,61,120,2024-04-03,2024-07-03,0.039911955883827246,0.9828572298647363,0.025441464399585483,0.6039592477301933,0.01447049148424177
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260812,3,121,180,2024-07-04,2024-09-27,0.033241628616997414,0.8127493047063101,0.030959632908059188,0.6267117660781824,0.0022819957089382265
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260812,4,181,240,2024-09-30,2024-12-27,0.03853775951294737,0.676927951392319,0.030126151070741,0.5807526410760153,0.008411608442206366
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260823,1,1,60,2024-01-02,2024-04-02,0.04408846998511794,1.1649202040543882,0.040280509574163695,0.9729418238709002,0.0038079604109542433
E10,e10_remove_book_and_trade,E10 拿掉盘口+成交（11通道）,20260823,2,61,120,2024-04-03,2024-07-03,0.04278100782252272,1.0986524367357235,0.031034999654774787,0.6497930507167972,0.01174600816774794
