arm,seed,epochs,days,neutral_rank_ic,neutral_rank_ic_ir,long_short_sharpe,stress_ic_ir
clock240,20260801,3,241,0.026237176514240016,0.5990467385207795,6.363302123615729,0.3086112595125472
clock242,20260801,3,241,0.02707870522573527,0.6292324688859754,6.298222399524195,0.34195897589102453
