block,train_start,train_end,prediction_start,prediction_end,prediction_days,rank_ic_mean,train_rows,nonzero_features,coefficient_l1,iterations
0,2021-10-08,2021-12-30,2022-01-04,2022-02-07,20,0.014275773220917132,59971,310,1.6094145774841309,496
1,2021-11-05,2022-01-28,2022-02-08,2022-03-07,20,-0.0009025918533060766,59947,303,1.6372318267822266,396
2,2021-12-03,2022-03-04,2022-03-08,2022-04-06,20,0.028895762729173664,59955,308,1.7784770727157593,421
3,2021-12-31,2022-04-01,2022-04-07,2022-05-09,20,0.02116384973693975,59953,311,1.892024040222168,599
4,2022-02-07,2022-05-06,2022-05-10,2022-06-07,20,0.005718783348015253,59921,315,1.809411883354187,558
5,2022-03-07,2022-06-06,2022-06-08,2022-07-05,20,0.024524022319728257,59911,306,1.6729520559310913,444
6,2022-04-06,2022-07-04,2022-07-06,2022-08-02,20,0.01475297451871661,59893,295,1.531121015548706,455
7,2022-05-09,2022-08-01,2022-08-03,2022-08-30,20,0.005577199606485584,59932,303,1.601932168006897,414
8,2022-06-07,2022-08-29,2022-08-31,2022-09-28,20,-0.00777136881902245,59953,301,1.578888177871704,500
9,2022-07-05,2022-09-27,2022-09-29,2022-11-02,20,0.02117897507204493,59964,325,1.7790875434875488,572
10,2022-08-02,2022-11-01,2022-11-03,2022-11-30,20,0.027275398028962183,59961,320,2.0632050037384033,488
11,2022-08-30,2022-11-29,2022-12-01,2022-12-28,20,0.02760390265619096,59952,314,2.106274366378784,591
12,2022-09-28,2022-12-27,2022-12-29,2022-12-30,2,0.05126307628690909,59942,309,1.9377180337905884,483
