seed,exposure,base_ic,base_ir,base_sharpe,base_stress_ic,base_stress_ir,base_days,e11_ic,e11_ir,e11_sharpe,e11_stress_ic,e11_stress_ir,e11_days
20260801,old,0.046540008099225566,0.8246916370997635,7.475769019474533,0.03607566829770303,0.7100759987228713,240,0.04769497829081774,0.84143309031141,7.3269038643889814,0.033555278556202044,0.6325101980618749,240
20260801,new,0.03817831021461467,0.8227725315359111,5.916359539042393,0.03129427644720612,0.6554046652889247,240,0.038734128946236804,0.8392744872355533,6.248513555076077,0.02779495846468304,0.5780796867532499,240
20260812,old,0.04498061342321986,0.8827340781330366,7.752447637036273,0.03343211548861672,0.6819124085271643,240,0.045203731726690725,0.884711420541958,6.86557180274348,0.034680087202760605,0.6798032834479871,240
20260812,new,0.03785545934036598,0.8475671517926067,6.300409549816782,0.029640820144695577,0.6066274179900144,240,0.03814547129281613,0.8309923125147537,5.865101255372329,0.030380335429565253,0.6028632720695473,240
20260823,old,0.04560146077745184,0.9419372255034153,8.970184985499142,0.03368527497066245,0.7263448377536296,240,0.04510798843546444,0.9067193737578696,8.712735486837754,0.033556861883807625,0.7383728029440718,240
20260823,new,0.03900228827136641,0.9283578397815792,8.00705586110982,0.030193185076303815,0.6751623961525257,240,0.03778712808394736,0.9093756254461137,7.855179459546547,0.029616430278250575,0.7009665062354261,240
20260904,old,0.04789094781832779,0.868102475589971,7.844572337568813,0.03477619472519304,0.6767433255024576,240,0.04724125411731458,0.8150253374372276,7.524830004405818,0.0367240474594638,0.6618959573682573,240
20260904,new,0.038994670607784214,0.8762508238039756,6.265978152609591,0.02970208758385299,0.6378601702201534,240,0.03789822904558428,0.8228591709227924,6.1790890573006125,0.03105093734227112,0.6310826934064508,240
20260915,old,0.04488287879764233,0.8662730550584496,7.316218422579119,0.035996076198617534,0.7122543529652627,240,0.04562256339021326,0.8745512898903353,6.50857508111323,0.03735264105175044,0.7086125233610788,240
20260915,new,0.03866299511835294,0.8584608847770262,6.543328049971674,0.033295796714783416,0.6841262698501205,240,0.03866415634732074,0.8386301822073725,5.842929711083783,0.03391616529568476,0.6540397848241885,240
