seed,epoch,rank_ic,rank_ic_ir,long_short_sharpe,stress_ic_ir,days
20260801,1,0.023673156854241956,0.6032413963880311,7.171992716841715,0.28423619681329937,241
20260801,2,0.029172046926406386,0.6124247007059787,6.170447361235075,0.3354927852130449,241
20260801,3,0.026161181426353507,0.6038220471954909,6.311006432094484,0.3143813196994598,241
20260801,4,0.026106661096931695,0.6742139323081476,7.104740057305161,0.37198207381014764,241
20260801,5,0.029703788291894427,0.6604079399702526,8.199003475496276,0.4413512189146272,241
20260801,6,0.02397545568659049,0.5858847964378531,5.86731647984255,0.2768884503891283,241
20260812,1,0.023813695847482743,0.5674417661104307,5.290775156332834,0.30130324493115707,241
20260812,2,0.02777772079471813,0.6482731128253841,7.487849439848784,0.3798072436686351,241
20260812,3,0.02849621404219413,0.7117605630612104,7.9561475430201005,0.4109402709423344,241
20260812,4,0.02461164707546173,0.598071704001087,6.196164451994024,0.3282027581764598,241
20260812,5,0.025653049332514374,0.5906529975660699,6.098683246788068,0.36191770949778385,241
20260812,6,0.026394657392065386,0.6440828810898592,6.699547916702056,0.4188994021030239,241
20260823,1,0.02638102644104454,0.5431736654384524,5.666901151089837,0.3299185351707283,241
20260823,2,0.025196641226224694,0.5660983015041278,4.9601615854265555,0.3609311913928609,241
20260823,3,0.028955543928502823,0.7044175608000606,7.910290704406916,0.43119228307903096,241
20260823,4,0.025258966919598454,0.5896075609115727,5.882802370528777,0.3272122947905086,241
20260823,5,0.027164825118995418,0.6053328010518406,7.342755732316064,0.31704507167572726,241
20260823,6,0.02774535248701104,0.6001037960827228,7.119502582370785,0.39357340122279566,241
