date,kind,n,ratio_med,ratio_p5,ratio_p95,spearman_vwap,spearman_close,med_pred,med_vwap
2019-01-02,incl_zero,998,0.9522834587618367,0.6361623992839267,0.9924562304392088,0.970200683715979,0.3783308074759583,6.508438383490591,7.380178418931655
2019-01-02,excl_zero,998,0.9994571280678096,0.9958768020811554,1.0020198998563903,0.9999817828976648,0.3485387466448887,7.379572647105755,7.380178418931655
2019-02-12,incl_zero,998,0.9789980520948229,0.8009045738977792,0.9935367819381313,0.9877891934060439,0.37895466777905673,7.152387594661192,7.5635223263511175
2019-02-12,excl_zero,998,0.9997728117115448,0.9953679373889267,1.0019753126093036,0.9999836661766337,0.3649641263424497,7.550458453595997,7.5635223263511175
2019-03-18,incl_zero,993,0.985112106437331,0.9216153383261682,0.993939410560689,0.9974464759515089,0.37460555409251145,9.407459903364352,9.587380576403532
2019-03-18,excl_zero,993,0.9991771048930013,0.9935596469935621,1.0035791692757554,0.9999727190744114,0.3680297725344367,9.582885810654666,9.587380576403532
2019-04-22,incl_zero,994,0.9838963746104676,0.8885479961516429,0.9939559454546635,0.9968679129079229,0.36859802791914303,10.13285210190371,10.52209946224171
2019-04-22,excl_zero,994,0.9990771808148665,0.9942623404737141,1.0025682238252682,0.999982771730964,0.35946155916506795,10.495374583530339,10.52209946224171
2019-05-29,incl_zero,997,0.9679583240253276,0.6724401785422883,0.9929244510459339,0.9738626023663381,0.4458469572950932,7.898629103489532,8.89758197970314
2019-05-29,excl_zero,997,0.9996634133691992,0.9956639198927066,1.0018723820104463,0.9999818491135092,0.4011159441092188,8.90044253971333,8.89758197970314
2019-07-03,incl_zero,996,0.9782637574072379,0.7763350577377164,0.9924203330980689,0.9895212549314709,0.3869879785266072,8.460973280693517,8.964900429547152
2019-07-03,excl_zero,996,0.9994649194253039,0.9949562864435142,1.0017592471884327,0.9999825473878801,0.36072156652800313,8.964778291085935,8.964900429547152
2019-08-06,incl_zero,997,0.9795453610283064,0.8135028985605512,0.9932976202981738,0.9928703463167348,0.4077339825449742,7.49186998540129,7.951119234683877
2019-08-06,excl_zero,997,0.9992848289137175,0.9944170966917083,1.00332424965401,0.999981897548163,0.38957296110268663,7.934340435912037,7.951119234683877
2019-09-09,incl_zero,997,0.9834200050021848,0.8590752046585806,0.9937004222269136,0.994818763458931,0.4280980421041961,8.66709990505669,8.978076421357615
2019-09-09,excl_zero,997,0.9993228176801872,0.9959592278589532,1.0030307108497099,0.9999833384791117,0.4184534674598681,8.987271868939754,8.978076421357615
2019-10-21,incl_zero,997,0.9680812772743974,0.6950665303906939,0.9927560619984087,0.9787352496197336,0.4409258511706257,7.536170428946696,8.279155042689506
2019-10-21,excl_zero,997,1.0000479585893578,0.9949465770754388,1.0031082959526356,0.9999784465790836,0.4155882307569303,8.284809424366749,8.279155042689506
2019-11-22,incl_zero,996,0.9726825585467733,0.7381218608330662,0.992054388560829,0.9863050919422917,0.45282909332222604,7.56596827061182,8.226993740048222
2019-11-22,excl_zero,996,0.9988993165309433,0.9943752364087495,1.0026814056739404,0.9999848063898663,0.43135188698625987,8.21918098908739,8.226993740048222
2019-12-26,incl_zero,997,0.976100043744479,0.736331400648419,0.9919552511191546,0.9902297737551938,0.45306007599542486,8.425303075487792,9.047838148969682
2019-12-26,excl_zero,997,0.9989926315945232,0.9941989511841163,1.001319778052539,0.9999846098887727,0.43328073168487774,9.03525284979558,9.047838148969682
2020-02-07,incl_zero,998,0.9817260902806366,0.8596238589186637,0.992888297797075,0.9938091912090059,0.5095619234167142,8.633796193505882,8.999541866323757
2020-02-07,excl_zero,998,0.9987683229048373,0.9918223167993109,1.002520011175885,0.9999812275718151,0.5039985845468425,8.963143566904112,8.999541866323757
