date,rank_ic,rolling60,stress
2024-01-02,0.154289158438627,,False
2024-01-03,0.07021947436761071,,False
2024-01-04,0.11622290398903062,,False
2024-01-05,0.12141691738876118,,False
2024-01-08,0.06061922994436949,,False
2024-01-09,0.04046121435631782,,False
2024-01-10,0.0508223762198537,,False
2024-01-11,0.06010639809728122,,False
2024-01-12,0.09870207145643364,,False
2024-01-15,0.022564346871134597,,False
2024-01-16,0.09901197584429997,,False
2024-01-17,0.048254143614255014,,False
2024-01-18,0.12273298967742585,,False
2024-01-19,0.06312400948478367,,False
2024-01-22,0.08770041305392472,,False
2024-01-23,0.14811422590573162,,False
2024-01-24,0.08492352780233382,,False
2024-01-25,0.21098531603591397,,False
2024-01-26,0.10855634139916093,,False
2024-01-29,0.11973280399436775,,False
2024-01-30,0.04499864288858593,,True
2024-01-31,0.05040768505857014,,False
2024-02-01,0.06359410436819526,,False
2024-02-02,0.0465029283248561,,True
2024-02-05,0.17926804671185964,,True
2024-02-06,0.008272497215561949,,True
2024-02-07,0.0021697767360885386,,True
2024-02-08,-0.04238949153749293,,True
2024-02-19,0.023885406113619157,,False
2024-02-20,0.026271621595166588,0.07638470184722093,False
2024-02-21,0.05551206904275621,0.07571139111159303,False
2024-02-22,0.04495657523951593,0.07475030311559062,False
2024-02-23,0.01284825390741911,0.07287448344261573,False
2024-02-26,0.06279225225517845,0.07257794723122052,False
2024-02-27,0.03607321958829484,0.0715349550128512,True
2024-02-28,0.1153019809873478,0.072750705734365,False
2024-02-29,0.032620806256062354,0.07166611385657304,False
2024-03-01,-0.04214212107870331,0.06867116030564471,False
2024-03-04,0.12106868275635878,0.07001468652232969,False
2024-03-05,0.10793652959327905,0.07096273259910342,False
2024-03-06,0.06406590470185938,0.07079451728453649,False
2024-03-07,0.07659947732067501,0.07093273061873027,False
2024-03-08,0.0852357445854804,0.07126535885051516,False
2024-03-11,-0.06975986203192552,0.06806024019409605,False
2024-03-12,-0.017227912199078575,0.06616494791869217,False
2024-03-13,0.1162857275714897,0.06725453008505733,False
2024-03-14,0.06072510866995218,0.06711560622516148,False
2024-03-15,0.024070282146011052,0.06621882864017918,False
2024-03-18,0.0858395063624607,0.06661925063451146,False
2024-03-19,0.07564078467646607,0.06679968131535055,False
2024-03-20,0.12191009172601233,0.06788027759791254,False
2024-03-21,-0.03257778117124864,0.06594839185235175,False
2024-03-22,0.05730209099464593,0.06578525410031956,False
2024-03-25,0.008943729658063502,0.06473263327731482,False
2024-03-26,0.02963713683997667,0.06409453334209049,True
2024-03-27,0.0812413039521548,0.06440072567441306,False
2024-03-28,0.06342744627262077,0.06438365059718865,False
2024-03-29,0.07333005978341255,0.06453789903143388,False
2024-04-01,0.07462811263715657,0.0647089196010224,False
2024-04-02,0.009576766416754314,0.0637900503812846,False
2024-04-03,0.07311677225194566,0.062437177278173245,False
2024-04-08,0.11348359566487351,0.06315824596646095,False
2024-04-09,0.1090861180290865,0.06303929953379522,False
2024-04-10,0.0918155902655698,0.06254594408174204,False
2024-04-11,0.05793208444518748,0.06250115832342233,False
2024-04-12,-0.011781583734155438,0.06163044502191444,True
2024-04-15,0.022061278524565377,0.06115109339365964,True
2024-04-16,0.024665282441182827,0.06056040813272467,True
2024-04-17,-0.02443587717932507,0.058508108988795354,False
2024-04-18,0.04321438559088923,0.05885227630079126,True
2024-04-19,0.044107079810015305,0.05793719470021985,True
2024-04-22,0.015447297231054253,0.05739041392716651,False
2024-04-23,0.10987001380365305,0.05717603099593696,False
2024-04-24,0.017227235850983007,0.056411084768706946,False
2024-04-25,0.092098441466331,0.056484385242247054,True
2024-04-26,0.0025567207142586012,0.05405842682238917,True
2024-04-29,0.063879295365576,0.053707689615109876,True
2024-04-30,-0.004012773895598823,0.05012438811625133,True
2024-05-06,-0.012208826798393283,0.04811163531295876,False
