candidate,candidate_level_J_computed,selection_role,selection_reason,active_days,evaluation_years,evaluation_protocol,baseline_oos_rank_ic,augmented_oos_rank_ic,oos_rank_ic_increment,positive_increment_day_ratio,positive_years,candidate_min_nonzero_window_ratio,candidate_min_positive_weight_ratio,candidate_max_abs_rank_correlation,oos_days,windows,baseline_a_proxy,augmented_a_proxy,delta_a_proxy,baseline_b_proxy,augmented_b_proxy,delta_b_proxy,baseline_score_proxy,augmented_score_proxy,delta_score_proxy,baseline_b_model_score,augmented_b_model_score,baseline_b_nonzero_window_ratio,augmented_b_nonzero_window_ratio,score_days,score_weight_windows,positive_score_years,score_years,positive_score_window_ratio,score_windows,individual_passed,individual_reasons,individual_cache_key,force_refreshed,evaluation_status,conditional_order,conditional_passed,conditional_reasons,conditional_delta_score_proxy,conditional_cache_key,conditional_baseline_candidates,frozen_after_validation,feature,benchmark,passed
self__FR-012,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,431,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.0588807689670955,0.00012956693228502697,0.29850746268656714,1.0,0.5294117647058824,1.0,0.1257414935165817,670.0,34.0,0.9054054054054054,0.9121621621621621,0.006756756756756688,0.5675675675675675,0.7837837837837838,0.21621621621621623,0.6689189189189189,0.8222972972972973,0.15337837837837842,1.1441729264941587,1.4502900865027946,0.8387096774193549,0.9354838709677419,670.0,31.0,0.0,0.0,0.0,0.0,True,,5b647609caa309ca23cf437932068deba5b864bd58f8a11c2f9119a2208a1bc8,False,conditional_failed,5.0,False,official A/B score proxy increment is not positive,0.0,22f4d3d6f041d2dee4f83b7acacde1ed7b8997127137b5eb86008e3fb4d96ba2,self__PV-008,False,self__FR-012,factorwise_elastic_net_J,True
self__FR-013,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,168,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.058751632877339234,4.3084252876973306e-07,0.050746268656716415,2.0,0.11764705882352941,1.0,0.018791893185801056,670.0,34.0,0.9054054054054054,0.9054054054054054,0.0,0.5675675675675675,0.5675675675675675,0.0,0.6689189189189189,0.6689189189189189,0.0,1.1441729264941587,1.14417215799516,0.8387096774193549,0.8387096774193549,670.0,31.0,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,d67d944f6e2cffbce496776e241f6afe99c42b673da2dbaa780af623bfde1cfc,False,individual_failed,,,,,,,False,self__FR-013,factorwise_elastic_net_J,False
self__FR-014,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,730,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.058827198061166965,7.599602635648837e-05,0.23134328358208955,2.0,0.4411764705882353,1.0,0.5358610625630447,670.0,34.0,0.9054054054054054,0.9121621621621621,0.006756756756756688,0.5675675675675675,0.4594594594594595,-0.10810810810810806,0.6689189189189189,0.5952702702702702,-0.07364864864864862,1.1441729264941587,1.08801161335066,0.8387096774193549,0.9032258064516129,670.0,31.0,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,0ce1e1f36ec6edffa8d6f45d7a8c137f6c920420b7e9caa769a90387d604d2ac,False,individual_failed,,,,,,,False,self__FR-014,factorwise_elastic_net_J,False
self__FR-015,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,682,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05923822772194251,0.0004870256871320306,0.5149253731343284,3.0,0.9117647058823529,1.0,0.3818941010760777,670.0,34.0,0.9054054054054054,0.9256756756756757,0.020270270270270285,0.5675675675675675,0.7027027027027027,0.1351351351351352,0.6689189189189189,0.7695945945945946,0.1006756756756757,1.1441729264941587,1.3404125498535857,0.8387096774193549,0.9354838709677419,670.0,31.0,0.0,0.0,0.0,0.0,True,,7b7cc3d97bbcfe8f8499ecdb3dfc29e8213c36b69845a6290230cd006505bb99,False,conditional_failed,8.0,False,official A/B score proxy increment is not positive,0.0,4dac0b334e0a558ce684a7b439b71fca31e6aa6f77b9834ad27f6414383ad0c8,"self__PV-008,self__PV-019,self__FR-006",False,self__FR-015,factorwise_elastic_net_J,True
self__HF-001,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,730,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05872939790951542,-2.1804125295041262e-05,0.22835820895522388,2.0,0.4411764705882353,1.0,0.1482996938304654,670.0,34.0,0.9054054054054054,0.9054054054054054,0.0,0.5675675675675675,0.5675675675675675,0.0,0.6689189189189189,0.6689189189189189,0.0,1.1441729264941587,1.1560588672918806,0.8387096774193549,0.8387096774193549,670.0,31.0,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,ee103edcf478c43d8411225a286d2fc4aea77e78c033e467588869f847501a34,False,individual_failed,,,,,,,False,self__HF-001,factorwise_elastic_net_J,False
self__HF-002,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,730,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05856046036728848,-0.00019074166752199674,0.041791044776119404,0.0,0.11764705882352941,1.0,0.37671229024407726,670.0,34.0,0.9054054054054054,0.9121621621621621,0.006756756756756688,0.5675675675675675,0.5675675675675675,0.0,0.6689189189189189,0.6709459459459459,0.002027027027027062,1.1441729264941587,1.1668399461532222,0.8387096774193549,0.8387096774193549,670.0,31.0,0.0,0.0,0.0,0.0,True,,dc338f27f747eb2dc79ee62a943378b379851ad3578aa31cf7d737dbb3e33c23,False,conditional_failed,22.0,False,official A/B score proxy increment is not positive,0.0,deebcf811ed16f85a9c51f8277c7bbb3a655b7e8fce6aa47bcd5af4bc36c802d,"self__PV-008,self__PV-019,self__FR-006,self__HF-004,self__PV-011",False,self__HF-002,factorwise_elastic_net_J,True
self__HF-003,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,728,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05944892828822298,0.0006977262534125002,0.5149253731343284,2.0,0.8823529411764706,1.0,0.6007686631955932,670.0,34.0,0.9054054054054054,0.9121621621621621,0.006756756756756688,0.5675675675675675,0.6756756756756757,0.10810810810810811,0.6689189189189189,0.7466216216216215,0.07770270270270263,1.1441729264941587,1.243529458633485,0.8387096774193549,0.9354838709677419,670.0,31.0,0.0,0.0,0.0,0.0,True,,015201b5d8ee0769c637f09ed9fd68ab050dbce191277c398aaaaab1d3cae93d,False,conditional_failed,12.0,False,official A/B score proxy increment is not positive,0.0,b09fa97b1085565610f69bd8083fc67b9be872f749db02fc1d39b5d89d5cbf00,"self__PV-008,self__PV-019,self__FR-006,self__HF-004,self__PV-011",False,self__HF-003,factorwise_elastic_net_J,True
self__HF-004,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,700,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05814324694630751,-0.0006079550885029507,0.25970149253731345,0.0,0.5588235294117647,1.0,0.17983364417536438,670.0,34.0,0.9054054054054054,0.9121621621621621,0.006756756756756688,0.5675675675675675,0.7027027027027027,0.1351351351351352,0.6689189189189189,0.7655405405405404,0.09662162162162158,1.1441729264941587,1.2704480561333409,0.8387096774193549,0.8709677419354839,670.0,31.0,0.0,0.0,0.0,0.0,True,,3aad602b6537fb61e3a934a8ac6dfbd8d217cb8d2250d8500ed67e3a271588f4,False,promoted_to_frozen_I,10.0,True,,0.018918918918918948,d5edd62381b066f0c8bfa8988819e7c00c39ce79d40e41daf52d78f7b4f5781a,"self__PV-008,self__PV-019,self__FR-006",True,self__HF-004,factorwise_elastic_net_J,True
self__INT-002,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,343,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05885395365272189,0.00010275161791141715,0.3537313432835821,2.0,0.6764705882352942,1.0,0.05087658567235764,670.0,34.0,0.9054054054054054,0.9121621621621621,0.006756756756756688,0.5675675675675675,0.5135135135135135,-0.05405405405405406,0.6689189189189189,0.633108108108108,-0.035810810810810834,1.1441729264941587,1.1095124906854823,0.8387096774193549,0.8387096774193549,670.0,31.0,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,94a8f4decb9509a6da4323dd637e7832ce6ecacee138f2834c3badefe8b3b39f,False,individual_failed,,,,,,,False,self__INT-002,factorwise_elastic_net_J,False
self__INT-003,True,factorwise_elastic_net_candidate,positive factorwise J increment against screened15+frozen_I,239,"2019,2020,2021","screened15_factorwise_v8_official_J_frozen_I|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_centered_rank_features_and_target|positive_coefficients=true|candidate_filter=factorwise_positive_J_then_conditional_forward|admission_metric=factorwise_delta_official_score_proxy|admission=factorwise_positive_J_v1",0.05875120203481047,0.05868274267030119,-6.845936450927436e-05,0.016417910447761194,0.0,0.058823529411764705,1.0,0.07149035735977406,670.0,34.0,0.9054054054054054,0.9054054054054054,0.0,0.5675675675675675,0.5675675675675675,0.0,0.6689189189189189,0.6689189189189189,0.0,1.1441729264941587,1.1524253534758715,0.8387096774193549,0.8387096774193549,670.0,31.0,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,3f9863ade0ce940f08536f6a1505c9cf96f069f1e7ce47a1481afd22ea1d8802,False,individual_failed,,,,,,,False,self__INT-003,factorwise_elastic_net_J,False
