train_start,train_end,test_start,test_end,factorlib__amount,factorlib__atr_14,factorlib__bias_20,factorlib__cci_14,factorlib__float_market_cap,factorlib__kdj_d_9_3_3,factorlib__macd_diff_12_26_9,factorlib__macd_hist_12_26_9,factorlib__momentum_5,factorlib__net_profit_rate_ttm,factorlib__netflow_amount_rate_main,factorlib__total_market_cap,factorlib__turn,factorlib__volatility_5,factorlib__volume,self__PV-008,self__PV-019,self__FR-006,self__HF-004,self__PV-011
2021-10-11,2021-12-31,2022-01-04,2022-02-07,0.007819263084813243,0.0,0.007278179799752293,0.0,0.0,0.0,0.03627417262311397,0.0,0.013817418095666867,0.0,0.015718773671468782,0.02223632607274799,0.013440836907420447,0.013670399716509345,0.00866229036825742,0.011241789303967537,0.0,0.0,0.0,0.0
2021-11-08,2022-02-07,2022-02-08,2022-03-07,0.009260722240793209,0.03664220802473385,0.0,0.0,0.0,0.022897655925775875,0.010355887789669888,0.0,0.029126694065661124,0.00014165291055878967,0.013419472765764218,0.0439128628361648,0.03328558710225071,0.00690000942963586,0.0,0.0018721535253438026,0.0,0.007578147725971852,0.00856972375380019,0.0
2021-12-06,2022-03-07,2022-03-08,2022-04-06,0.0,0.039841503835603594,0.0,0.0,0.0,0.020633527981810992,0.004747408893313928,0.0,0.01817605521623374,0.0,0.010074362106421387,0.04640357918075934,0.03854929753765335,0.018153148742033783,0.0,0.0,0.0,0.00605786176804414,0.011368396617932855,0.013996304839801674
2022-01-04,2022-04-06,2022-04-07,2022-05-09,0.0,0.03545081469298616,0.0,0.0,0.0,0.0,0.005600019175452058,0.01300335840201088,0.0034441920175608725,0.0,0.006726299764151098,0.02740401154160418,0.03254906014727394,0.015486796648791263,0.0,0.010664777138004768,0.0,0.013974738962729563,0.005270331698925525,0.0055801589756841454
2022-02-08,2022-05-09,2022-05-10,2022-06-07,0.0,0.008973081952461161,0.0,0.0,0.0,0.0,0.0,0.004295428261417469,0.0,0.0,0.0,0.009693026450507349,0.03930366036428463,0.025406213447245262,0.0,0.015182839285935964,0.0,0.012525344445553827,0.003522684681286524,0.0029491456795795027
2022-03-08,2022-06-07,2022-06-08,2022-07-05,0.005929708296585623,0.0038826855966731942,0.0,0.0,0.0,0.0,0.004701317218296001,0.0,0.0,0.004792587720909311,0.0,0.002237800228797622,0.05289596932566243,0.030253472196284183,0.0,0.0,0.0,0.010099776399057445,0.0019442432603780624,0.013894227326013284
2022-04-07,2022-07-05,2022-07-06,2022-08-02,0.0,0.0,0.0032122581721003886,0.0,0.0,0.0,0.004072929736646406,0.0,0.01251421609177486,0.0,0.008197037926793122,0.0,0.050919807158496734,0.019651446915658687,0.030316951776096276,0.0,0.0,0.012668735610816873,0.009268764070098526,0.038023767762331906
2022-05-10,2022-08-02,2022-08-03,2022-08-30,0.013715336439790666,0.0,0.0202624942945719,0.0,0.0,0.0,0.0,0.0,0.02246142463490319,0.0,0.01946276392018093,0.0016406812228888109,0.033970595541278015,0.0,0.028341903384330125,0.0,0.0,0.0,0.006494909985568338,0.05338245634372813
2022-06-08,2022-08-30,2022-08-31,2022-09-28,0.035381874638848496,0.0,0.006828470024610421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028041844713808623,0.014154115965408422,0.044813369786270624,0.0,0.0,0.0,0.0,0.0,0.0006699584925202547,0.03921128624038577
2022-07-06,2022-09-28,2022-09-29,2022-11-02,0.015271744942619993,0.010361789039349846,0.0,0.0,0.0,0.0,0.0099459809408992,0.0,0.026396734929831907,0.0,0.016289383908078874,0.012290318218443702,0.05301086381407762,0.0,0.0,0.0,0.006925269563981747,0.0,0.00041299938878224836,0.026182189452089985
