candidate,evaluation_protocol,candidate_level_J_computed,individual_baseline_candidates,baseline_a_proxy,augmented_a_proxy,delta_a_proxy,baseline_b_proxy,augmented_b_proxy,delta_b_proxy,baseline_score_proxy,augmented_score_proxy,delta_score_proxy,baseline_b_model_score,augmented_b_model_score,baseline_b_nonzero_window_ratio,augmented_b_nonzero_window_ratio,score_days,score_weight_windows,baseline_oos_rank_ic,augmented_oos_rank_ic,oos_rank_ic_increment,positive_score_years,score_years,positive_score_window_ratio,score_windows,individual_passed,individual_reasons,active_days,tree_data_eligible,conditional_passed,tree_incremental_passed,evaluation_status,marginal_reasons,reasons,frozen_after_validation,conditional_order,conditional_baseline_candidates,conditional_delta_score_proxy,conditional_positive_window_ratio,conditional_positive_years,conditional_reasons
self__FR-012,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.8405405405405405,0.8594594594594595,0.018918918918918948,1.4371268703829252,1.5070144944830504,0.8709677419354839,0.9354838709677419,670.0,31.0,0.06075212355536609,0.06035837719031062,-0.0003937463650554743,0.0,0.0,0.0,0.0,True,,431,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,13.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__FR-013,,,,,,,,,,,,,,,,,,,,,,,,,,False,,168,False,False,False,,,active days below 240,,,,,,,
self__FR-014,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7567567567567568,-0.027027027027026973,0.8405405405405405,0.8216216216216217,-0.018918918918918837,1.4371268703829252,1.3599832475721738,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.060446192113213365,-0.00030593144215272715,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,730,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__FR-015,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7297297297297297,-0.05405405405405406,0.8405405405405405,0.8027027027027027,-0.037837837837837784,1.4371268703829252,1.3398119260515455,0.8709677419354839,0.9354838709677419,670.0,31.0,0.06075212355536609,0.06098474738607474,0.00023262383070865063,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,682,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__HF-001,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.8405405405405405,0.8594594594594595,0.018918918918918948,1.4371268703829252,1.505770218159037,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.06064748768577222,-0.00010463586959386801,0.0,0.0,0.0,0.0,True,,730,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,14.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__HF-002,factorwise_T_v5_official_J,True,,0.972972972972973,0.9797297297297297,0.006756756756756688,0.7837837837837838,0.7567567567567568,-0.027027027027026973,0.8405405405405405,0.8236486486486487,-0.016891891891891775,1.4371268703829252,1.37203142981013,0.8709677419354839,0.9354838709677419,670.0,31.0,0.06075212355536609,0.061497695891724734,0.0007455723363586393,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,730,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__HF-003,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.8405405405405405,0.8594594594594595,0.018918918918918948,1.4371268703829252,1.5960083247056955,0.8709677419354839,0.8709677419354839,670.0,31.0,0.06075212355536609,0.06159443843847343,0.0008423148831073499,0.0,0.0,0.0,0.0,True,,728,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,15.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__HF-004,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7567567567567568,-0.027027027027026973,0.8405405405405405,0.8216216216216217,-0.018918918918918837,1.4371268703829252,1.3781919700736258,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.06102012626395872,0.00026800270859262656,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,700,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__INT-002,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7837837837837838,0.0,0.8405405405405405,0.8405405405405405,0.0,1.4371268703829252,1.47374310434581,0.8709677419354839,0.967741935483871,670.0,31.0,0.06075212355536609,0.06111674926615403,0.0003646257107879385,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,343,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__INT-003,,,,,,,,,,,,,,,,,,,,,,,,,,False,,239,False,False,False,,,active days below 240,,,,,,,
self__OB-001,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.8405405405405405,0.8594594594594595,0.018918918918918948,1.4371268703829252,1.5580696311644529,0.8709677419354839,0.8709677419354839,670.0,31.0,0.06075212355536609,0.060810798484043166,5.8674928677078625e-05,0.0,0.0,0.0,0.0,True,,730,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,16.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__OB-002,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.8405405405405405,0.8594594594594595,0.018918918918918948,1.4371268703829252,1.4841161209762972,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.06047451361683236,-0.00027760993853373186,0.0,0.0,0.0,0.0,True,,730,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,17.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__OB-003,factorwise_T_v5_official_J,True,,0.972972972972973,0.9797297297297297,0.006756756756756688,0.7837837837837838,0.8918918918918919,0.10810810810810811,0.8405405405405405,0.9182432432432432,0.07770270270270274,1.4371268703829252,1.7186545932298112,0.8709677419354839,1.0,670.0,31.0,0.06075212355536609,0.0613255899047893,0.0005734663494232194,0.0,0.0,0.0,0.0,True,,730,True,True,True,promoted_to_frozen_T,,,True,3.0,self__PV-008,0.004054054054053902,0.0,0.0,
self__OB-004,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7837837837837838,0.0,0.8405405405405405,0.8405405405405405,0.0,1.4371268703829252,1.4362584421018634,0.8709677419354839,0.9354838709677419,670.0,31.0,0.06075212355536609,0.060886845207360776,0.0001347216519946917,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,730,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__OB-005,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.8405405405405405,0.8594594594594595,0.018918918918918948,1.4371268703829252,1.4794560253415654,0.8709677419354839,0.8709677419354839,670.0,31.0,0.06075212355536609,0.060640499570247364,-0.00011162398511872333,0.0,0.0,0.0,0.0,True,,730,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,18.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__PV-001,factorwise_T_v5_official_J,True,,0.972972972972973,0.9932432432432432,0.020270270270270174,0.7837837837837838,0.7567567567567568,-0.027027027027026973,0.8405405405405405,0.8277027027027026,-0.012837837837837873,1.4371268703829252,1.409269012744421,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.06300130848868166,0.0022491849333155633,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,720,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__PV-002,factorwise_T_v5_official_J,True,,0.972972972972973,0.9662162162162162,-0.006756756756756799,0.7837837837837838,0.7567567567567568,-0.027027027027026973,0.8405405405405405,0.8195945945945946,-0.0209459459459459,1.4371268703829252,1.392694188911784,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.06047300661761505,-0.0002791169377510351,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,730,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__PV-003,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7567567567567568,-0.027027027027026973,0.8405405405405405,0.8216216216216217,-0.018918918918918837,1.4371268703829252,1.3822632047012262,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.06060596414755189,-0.0001461594078141981,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,721,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__PV-004,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.7567567567567568,-0.027027027027026973,0.8405405405405405,0.8216216216216217,-0.018918918918918837,1.4371268703829252,1.3650094347556911,0.8709677419354839,0.8709677419354839,670.0,31.0,0.06075212355536609,0.06037591368803355,-0.0003762098673325406,0.0,0.0,0.0,0.0,False,official A/B score proxy increment is not positive,721,True,False,False,individual_failed,official A/B score proxy increment is not positive,official A/B score proxy increment is not positive,False,,,,,,
self__PV-005,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.8405405405405405,0.8594594594594595,0.018918918918918948,1.4371268703829252,1.4729285857703933,0.8709677419354839,0.9354838709677419,670.0,31.0,0.06075212355536609,0.060462409137265215,-0.00028971441810087364,0.0,0.0,0.0,0.0,True,,721,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,19.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__PV-006,factorwise_T_v5_official_J,True,,0.972972972972973,0.972972972972973,0.0,0.7837837837837838,0.8108108108108109,0.027027027027027084,0.8405405405405405,0.8594594594594595,0.018918918918918948,1.4371268703829252,1.5403755698245905,0.8709677419354839,0.9032258064516129,670.0,31.0,0.06075212355536609,0.05918857784093963,-0.0015635457144264505,0.0,0.0,0.0,0.0,True,,720,True,False,False,conditional_failed,,official A/B score proxy increment is not positive,False,20.0,"self__PV-008,self__OB-003,self__PV-020,self__PV-013",0.0,0.0,0.0,official A/B score proxy increment is not positive
self__PV-008,factorwise_T_v5_official_J,True,,0.972972972972973,0.9797297297297297,0.006756756756756688,0.7837837837837838,0.918918918918919,0.1351351351351352,0.8405405405405405,0.9371621621621622,0.09662162162162169,1.4371268703829252,1.7840832827133861,0.8709677419354839,1.0,670.0,31.0,0.06075212355536609,0.061686714153315114,0.0009345905979490294,0.0,0.0,0.0,0.0,True,,531,True,True,True,promoted_to_frozen_T,,,True,1.0,,0.09662162162162169,0.0,0.0,
