candidate_id,period,baseline_oos_rank_ic,augmented_oos_rank_ic,oos_rank_ic_increment,positive_increment_day_ratio,candidate_min_nonzero_window_ratio,candidate_min_positive_weight_ratio,candidate_max_abs_rank_correlation,oos_days,windows
FR-003,development_and_selection_through_2022,0.010648040826957233,0.010170693954611275,-0.00047734687234595764,0.28448275862068967,0.6666666666666666,0.25,0.4480890197088077,116.0,6.0
FR-004,development_and_selection_through_2022,0.010648040826957233,0.009583638845353333,-0.0010644019816039001,0.3879310344827586,1.0,0.8333333333333334,0.36210733949600693,116.0,6.0
FR-005,development_and_selection_through_2022,0.010648040826957233,0.010754635446825226,0.00010659461986799353,0.5,1.0,0.8333333333333334,0.3178412292491854,116.0,6.0
PV-003,development_and_selection_through_2022,0.010648040826957233,0.011019870479217746,0.00037182965226051357,0.5086206896551724,1.0,0.3333333333333333,0.5819317484628799,116.0,6.0
PV-004,development_and_selection_through_2022,0.010648040826957233,0.011667606088153055,0.001019565261195822,0.43103448275862066,0.8333333333333334,0.4,0.31029964423499184,116.0,6.0
PV-005,development_and_selection_through_2022,0.010648040826957233,0.011362121009751099,0.0007140801827938657,0.5258620689655172,1.0,0.3333333333333333,0.7600303244738111,116.0,6.0
PV-006,development_and_selection_through_2022,0.010648040826957233,0.01021983510217921,-0.00042820572477802327,0.3706896551724138,0.8333333333333334,0.6,0.47196205162259863,116.0,6.0
PV-007,development_and_selection_through_2022,0.010648040826957233,0.010580120678891115,-6.792014806611749e-05,0.5172413793103449,1.0,0.3333333333333333,0.02770324523664524,116.0,6.0
FR-003,confirmation_2023,0.0831490171923437,0.08339509108900853,0.00024607389666482515,0.5,1.0,1.0,0.41340439717092275,32.0,2.0
FR-004,confirmation_2023,0.0831490171923437,0.08346874998633608,0.000319732793992375,0.375,1.0,0.5,0.3387836508332612,32.0,2.0
FR-005,confirmation_2023,0.0831490171923437,0.08491913679783936,0.0017701196054956542,0.625,1.0,1.0,0.3501950680994155,32.0,2.0
PV-003,confirmation_2023,0.0831490171923437,0.0831153604753408,-3.36567170029084e-05,0.125,0.5,1.0,0.5606864904842754,32.0,2.0
PV-004,confirmation_2023,0.0831490171923437,0.08205105143995614,-0.0010979657523875613,0.5,1.0,0.5,0.2653913143490644,32.0,2.0
PV-005,confirmation_2023,0.0831490171923437,0.0837966920490501,0.0006476748567064011,0.6875,1.0,0.5,0.7081328799115166,32.0,2.0
PV-006,confirmation_2023,0.0831490171923437,0.08270538529279936,-0.0004436318995443417,0.40625,0.5,1.0,0.4561311080771229,32.0,2.0
PV-007,confirmation_2023,0.0831490171923437,0.08357733274127421,0.0004283155489305107,0.53125,1.0,1.0,0.03132282655095805,32.0,2.0
