forward_order,candidate,baseline_candidates,baseline_oos_rank_ic,augmented_oos_rank_ic,oos_rank_ic_increment,positive_increment_day_ratio,positive_years,candidate_min_nonzero_window_ratio,candidate_min_positive_weight_ratio,candidate_max_abs_rank_correlation,oos_days,windows,forward_passed,forward_reasons,evaluation_cache_key
1,self__PV-022,"self__FR-002,self__FR-004,self__FR-005,self__FR-006,self__FR-012,self__OB-001,self__OB-003,self__PV-008,self__PV-009,self__PV-011,self__PV-013,self__PV-014,self__PV-019",0.028231082352383884,0.028255698589806075,2.4616237422191156e-05,0.24328358208955222,2.0,0.4117647058823529,1.0,0.9989642736621859,670.0,34.0,False,joint increment is positive on too few OOS days,dbd8813b91db6ca3c39acddcd08a2e2fd1606bade9a73b3924150116fe620487
2,self__HF-003,"self__FR-002,self__FR-004,self__FR-005,self__FR-006,self__FR-012,self__OB-001,self__OB-003,self__PV-008,self__PV-009,self__PV-011,self__PV-013,self__PV-014,self__PV-019",0.028231082352383884,0.02861398205874334,0.0003828997063594561,0.5044776119402985,1.0,0.9117647058823529,0.8064516129032258,0.6007686631955932,670.0,34.0,False,joint increment is positive in too few years,97d2bcdcd39163f3e7a8bd53159f4a42623996da1a022608c6b53e907ccdc322
3,self__FR-015,"self__FR-002,self__FR-004,self__FR-005,self__FR-006,self__FR-012,self__OB-001,self__OB-003,self__PV-008,self__PV-009,self__PV-011,self__PV-013,self__PV-014,self__PV-019",0.028231082352383884,0.02812637948956961,-0.00010470286281427307,0.41940298507462687,0.0,0.8235294117647058,0.35714285714285715,0.8492787092990616,670.0,34.0,False,no positive joint out-of-sample Rank IC increment; joint increment is positive on too few OOS days; joint increment is positive in too few years,943cc20e609fe37d6ea2d64fac7d373ef7413c756f064aab0c9120b45a3af322
