candidate,baseline_oos_rank_ic,augmented_oos_rank_ic,oos_rank_ic_increment,positive_increment_day_ratio,candidate_min_nonzero_window_ratio,candidate_min_positive_weight_ratio,candidate_max_abs_rank_correlation,oos_days,windows,availability_group,active_days,evaluation_years,evaluation_protocol,feature,benchmark,passed
self__PV-001,0.020434049785008325,0.020597678220642512,0.00016362843563418744,0.4984848484848485,0.9696969696969697,0.5625,0.4811948519138124,660.0,33.0,5,720,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-001,factorlib_screened15,False
self__PV-002,0.02009487949488638,0.022935162870106576,0.002840283375220194,0.564179104477612,1.0,0.029411764705882353,0.19097969195853234,670.0,34.0,1,730,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-002,factorlib_screened15,False
self__PV-003,0.021780647907057343,0.0206059755070258,-0.0011746724000315442,0.4568835098335855,0.9705882352941176,0.24242424242424243,0.5840405916836727,661.0,34.0,6,721,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-003,factorlib_screened15,False
self__PV-004,0.021780647907057343,0.021591888922458752,-0.00018875898459859083,0.4856278366111952,0.9705882352941176,0.15151515151515152,0.24462439842050115,661.0,34.0,6,721,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-004,factorlib_screened15,False
self__PV-005,0.021780647907057343,0.02367254919701223,0.0018919012899548879,0.5476550680786687,0.9411764705882353,0.125,0.7671733526380915,661.0,34.0,6,721,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-005,factorlib_screened15,False
self__PV-006,0.020434049785008325,0.02010380299575382,-0.0003302467892545048,0.46515151515151515,0.9393939393939394,0.5161290322580645,0.4836130575230946,660.0,33.0,5,720,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-006,factorlib_screened15,False
self__PV-008,0.0077290167534402755,0.009425358186082701,0.0016963414326424259,0.5498938428874734,0.9583333333333334,0.9130434782608695,0.47783447007751756,471.0,24.0,7,531,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-008,factorlib_screened15,True
self__PV-009,0.00886575465674229,0.011726072930230506,0.0028603182734882153,0.5417558886509636,0.9583333333333334,0.9130434782608695,0.09340903402819312,467.0,24.0,8,527,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-009,factorlib_screened15,True
self__PV-010,0.0077290167534402755,0.008146283280641223,0.0004172665272009473,0.45222929936305734,0.9166666666666666,0.45454545454545453,0.17480085020117012,471.0,24.0,7,531,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-010,factorlib_screened15,False
self__PV-011,0.01102955440765773,0.013570923878248039,0.0025413694705903097,0.5095693779904307,0.9523809523809523,0.8,0.38146926048733576,418.0,21.0,9,478,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-011,factorlib_screened15,True
self__PV-013,0.01102955440765773,0.014445991566574353,0.0034164371589166243,0.5956937799043063,1.0,1.0,0.5167678413765282,418.0,21.0,9,478,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-013,factorlib_screened15,True
self__PV-014,0.019052976184081322,0.021666191800538543,0.0026132156164572207,0.600609756097561,1.0,0.9090909090909091,0.6220876348812979,656.0,33.0,10,716,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-014,factorlib_screened15,True
self__PV-015,0.011747508425231356,0.011467796942653033,-0.000279711482578323,0.4594594594594595,1.0,0.7,0.4709886920299889,185.0,10.0,11,245,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-015,factorlib_screened15,False
self__PV-016,0.011747508425231356,0.012702095339369697,0.0009545869141383417,0.4756756756756757,1.0,0.2,0.31214599547141586,185.0,10.0,11,245,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-016,factorlib_screened15,False
self__PV-017,-0.016348971884999303,-0.016417463795322655,-6.84919103233518e-05,0.5223880597014925,1.0,0.25,0.32535735349836126,67.0,4.0,12,127,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-017,factorlib_screened15,False
self__PV-018,,,,0.0,0.0,0.0,,0.0,0.0,4,0,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-018,factorlib_screened15,False
self__PV-019,0.009048173437555563,0.011036086340449886,0.001987912902894323,0.5535055350553506,1.0,0.8571428571428571,0.21949415676119896,271.0,14.0,13,331,"2019,2020,2021","screened15_incremental_v2|years=2019,2020,2021|train_days=60|test_days=20|alpha=0.001|l1_ratio=0.5|preprocessing=daily_cross_section_zscore_features_and_target",self__PV-019,factorlib_screened15,True
