train_start,train_end,test_start,test_end,factorlib__amount,factorlib__atr_14,factorlib__bias_20,factorlib__cci_14,factorlib__float_market_cap,factorlib__kdj_d_9_3_3,factorlib__macd_diff_12_26_9,factorlib__macd_hist_12_26_9,factorlib__momentum_5,factorlib__net_profit_rate_ttm,factorlib__netflow_amount_rate_main,factorlib__total_market_cap,factorlib__turn,factorlib__volatility_5,factorlib__volume,self__PV-014,self__FR-002
2021-10-11,2021-12-31,2022-01-04,2022-02-07,0.0,0.0,0.010291402772664092,0.0,0.0,0.0,0.02745176170746024,0.0,0.014381068948087852,0.0,0.014584724409232107,0.019374856356736095,0.010768800347159749,0.00614482665651436,0.010455275728987924,0.02078057585321102,0.0
2021-11-08,2022-02-07,2022-02-08,2022-03-07,0.0,0.032410407911764735,0.0,0.0,0.0,0.028591996481610857,0.0,0.0,0.03285185793794498,0.0030370195681212963,0.010971851179546317,0.03803300792948219,0.022497762257605237,0.0,0.0,0.04311576879560281,0.0
2021-12-06,2022-03-07,2022-03-08,2022-04-06,0.0,0.03476405231525488,0.0,0.0,0.0,0.023002038559183095,0.0,0.0,0.02048009590258881,0.0,0.007918271045379545,0.0374845385122887,0.028874293525993577,0.00734188969089582,0.0,0.030010260309762594,0.00735620507789917
2022-01-04,2022-04-06,2022-04-07,2022-05-09,0.0,0.03265234359503018,0.0,0.0,0.0,0.0,0.0,0.01580541578254825,0.0025372487207944157,0.0,0.005299928573214083,0.021411886509685153,0.026383817117539603,0.00974350608077448,0.0,0.01718197077788355,0.021748757594586374
2022-02-08,2022-05-09,2022-05-10,2022-06-07,0.0,0.00960775909776822,0.0,0.0,0.0,0.0,0.0,0.004702556345424031,0.0,0.00030207495023466417,0.0,0.00628221881484145,0.03537900549677047,0.02262412552231127,0.0,0.008484898203488824,0.02791783376144459
2022-03-08,2022-06-07,2022-06-08,2022-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0027539181989068677,0.0,0.0,0.0077806174607647745,0.0,0.0,0.049069536061528744,0.023587577232249354,0.0,0.024262301512119392,0.022801444422576703
2022-04-07,2022-07-05,2022-07-06,2022-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.00029841332720056127,0.0,0.018827107488986833,0.010552222278755031,0.005888013343198939,0.0,0.0402995240101095,0.0026115773495483307,0.0256711443607995,0.037136819615052656,0.02293075767978199
2022-05-10,2022-08-02,2022-08-03,2022-08-30,0.0,0.0,0.008165285571940694,0.0,0.0,0.0,0.0,0.0,0.02964636070310551,0.0,0.018262100616116994,0.0,0.023745475096776367,0.0,0.02940571655567761,0.03286845943462347,0.014267787830780745
2022-06-08,2022-08-30,2022-08-31,2022-09-28,0.014348743266201114,0.0,0.0017261665088657402,0.00045158010438602677,0.0,0.0,0.0,0.0,0.005075728634217289,0.0,0.02776109064012939,0.008414985851807633,0.03773941878709412,0.0,0.0026956752081923573,0.03718510125480841,0.015011331183803864
2022-07-06,2022-09-28,2022-09-29,2022-11-02,0.0020189168324228047,0.006957829286965263,0.0,0.0,0.0,0.0,0.0032064841463636776,0.0,0.02978353125123271,0.0,0.015199795611663923,0.012480443270951427,0.048430532895151125,0.0,0.0024501054104648506,0.02911896421755599,0.01698037066124154
2022-08-03,2022-11-02,2022-11-03,2022-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.008682951524149923,0.0,0.026052424938021346,0.0,0.024576621214260568,0.01802180083578999,0.03476702039877497,0.0,0.02017826210105059,0.04063329025359117,0.01515906788502874
2022-08-31,2022-11-30,2022-12-01,2022-12-28,0.029317965219816965,0.0,0.0,0.0,0.0,0.0,0.017526556997920023,0.0,0.050591217701557584,0.0,0.023663658557590214,0.009707603205586939,0.025668262829862856,0.0,0.0,0.02262866410795184,0.004320285499562912
2022-09-29,2022-12-28,2022-12-29,2023-02-02,0.03410990355996563,0.0,0.0,0.0,0.0,0.0,0.017364985060590123,0.0,0.045586501905015564,0.0,0.038834710667014355,0.014356362371976631,0.016020704921727347,0.0,0.0,0.028072200977474603,0.0
2022-11-03,2023-02-02,2023-02-03,2023-03-02,0.003127437812089781,0.0032845182665677346,0.0,0.001891263369951726,0.0,0.0006544404567487923,0.03511937231447322,0.0,0.05390016706074923,0.0,0.029352230542473958,0.020876795868929595,0.02039808278756109,0.007119619131699076,0.0,0.04088502316273662,0.0
2022-12-01,2023-03-02,2023-03-03,2023-03-30,0.002988123338043338,0.0,0.0,0.0,0.0,0.0,0.01145382738593013,0.0,0.05719579658931102,0.0020835367277574333,0.03232204504579828,0.02408909915975592,0.015255878554743875,0.0,0.0,0.06018415656624116,0.0
2022-12-29,2023-03-30,2023-03-31,2023-04-28,0.007548443487296218,0.0,0.0013201696992755257,0.0,0.0,0.0,0.002521173600867438,0.0,0.025824393460165147,0.0,0.0307579387398133,0.03084585485827455,0.006114761461145131,0.0,0.0,0.04863078917165522,0.0
2023-02-03,2023-04-28,2023-05-04,2023-05-31,0.00456861837181216,0.016070828625359697,0.0,0.0,0.0,0.0,0.0,0.0014564264139096804,0.01957819997301197,0.0,0.03143023719484465,0.017203064263333546,0.018840492369371045,0.0,0.0,0.02050848417259545,0.0013274233542574514
2023-03-03,2023-05-31,2023-06-01,2023-06-30,0.01628762414530202,0.0,0.0,0.0,0.0,0.0,0.0,0.015117963441467354,0.0,0.00031607137623050613,0.014926301210539181,0.014487193285956393,0.0,0.005237973907209226,0.0,0.006986365525655278,0.0022964565545365674
2023-03-31,2023-06-30,2023-07-03,2023-07-28,0.0040766404306164985,0.010373170848951951,0.002229725402048668,0.0,0.0,0.0,0.0100080568454916,0.023994471617527553,0.0,0.0,0.007907205844572404,0.007432055133931094,0.006870660370249629,0.033162888600661196,0.0,0.0,0.012100076405563206
2023-05-04,2023-07-28,2023-07-31,2023-08-25,0.018277097630520416,0.01839759708686717,0.0,0.0,0.0,0.0,0.035475586449542934,0.0,0.0,0.0,0.019690506091063438,0.01458193605823237,0.025054096821726962,0.021991786091655235,0.0,0.020708297503880268,0.0075331407292330045
2023-06-01,2023-08-25,2023-08-28,2023-09-22,0.008964599284466138,0.02710179433168533,0.006065314259358299,0.008465577705803152,0.0,0.0,0.0024517901502595107,0.0,0.0,0.0,0.02823571454732661,0.008656775802565481,0.061256177508560196,0.005678816833011865,0.0,0.026964071902684725,0.015392213505298272
2023-07-03,2023-09-22,2023-09-25,2023-10-30,0.031077133645518774,0.01918942977682848,0.004526030721984883,0.009396578679318177,0.0,0.0,0.012114138452856733,0.0026380604186187246,0.0,0.0,0.021128406814586925,0.008505618260372829,0.0568543658565886,0.0,0.0,0.03026475993790793,0.008127882305636405
2023-07-31,2023-10-30,2023-10-31,2023-11-27,0.023464391942277476,0.0009753579821723744,0.0,0.020708504886564713,0.0,0.018218378390359134,0.0,0.020373983109329252,0.0,0.0038425341302996035,0.010434605588737595,0.004969818774679554,0.036535575884640376,0.0,0.0,0.009829894879977631,0.013176047742592636
2023-08-28,2023-11-27,2023-11-28,2023-12-25,0.013266782664752412,0.0,0.024716019539585715,0.0,0.0,0.015581510444671062,0.004767257068069635,0.02152229776062906,0.0,0.003968208311496632,0.01585309331358343,0.022645280572628386,0.021163862040697024,0.0,0.017567024417132905,0.010749095587290003,0.0
2023-09-25,2023-12-25,2023-12-26,2023-12-29,0.03443893485565971,0.0008309063911039302,0.015360805981913146,0.0,0.0,0.012721197107093225,0.0,0.0019572734544774117,0.010435599038462947,0.01025117584592902,0.023057144455447365,0.0,0.02182353951065158,0.0,0.0,0.013206017664244583,0.0063750315840860085
