pipeline,method,passed_cross_regime_gate,validation_years,validation_2022_rank_ic_mean,validation_2022_rank_ic_t_stat,validation_2022_tradable_rank_ic_mean,validation_2023_rank_ic_mean,validation_2023_rank_ic_t_stat,validation_2023_tradable_rank_ic_mean,cross_regime_worst_year_rank_ic,cross_regime_mean_rank_ic,rank
self_factor_composite,family_equal_rank,True,"[2022, 2023]",0.05464085331488873,8.436504190127193,0.05238944227125321,0.05178045392114061,6.73123841426472,0.04779250795574648,0.05178045392114061,0.05321065361801467,3
joint_elastic_net,elastic_net,True,"[2022, 2023]",0.0733435784418639,8.879196846608577,0.07119380233426345,0.0701961647612384,7.922608199147881,0.06667366071397876,0.0701961647612384,0.07176987160155116,1
joint_lightgbm,lightgbm,True,"[2022, 2023]",0.07377366948558696,9.900801760156682,0.07471993905251674,0.06965079366597046,8.073571087630059,0.06512272237702914,0.06965079366597046,0.07171223157577872,2
