candidate_id,period,variant,label,rank_ic_mean,rank_ic_ir,rank_ic_positive_rate,rank_ic_t_stat,group_monotonicity,long_short_mean,long_short_sharpe,long_short_max_drawdown,stress_ic_ir,up_market_ic,down_market_ic,observations
PV-005,validation_2023,raw_tradable,ret_close_to_close,0.0280383037815401,0.2231950471092974,0.5661157024793388,3.4721000894411733,0.6,0.0008314606416403,1.558664613856394,-0.0981849503007778,0.2311084390798269,-0.0062231485157535,0.0640418638227639,242.0
PV-005,validation_2023,raw_tradable,ret_next_open_to_close,0.0079890612018306,0.0627389757391804,0.4958677685950413,0.9759894141772016,-0.8999999999999998,-0.0002885382031147,-0.5636196122844633,-0.1481188127245516,0.0729468774269144,-0.0292150976308774,0.0477370941427581,242.0
PV-005,validation_2023,raw_tradable,ret_close_to_next_open,0.0719766572568493,0.8613184406248963,0.8347107438016529,13.39897042279151,1.0,0.0011298157467974,8.163332125263173,-0.0124197179331836,0.7881309359749646,0.0217449272188268,0.1044393399344829,242.0
PV-006,development,raw_full,ret_close_to_close,-0.0320943182052263,-0.2169709944912461,0.4277777777777777,-5.821942713937907,-0.3,-0.0003634679832081,-0.5332909353806051,-0.3491564562750671,-0.3606111626898998,0.0292302562059724,-0.104568815236643,720.0
PV-006,development,raw_full,ret_next_open_to_close,-0.0201839080219131,-0.1346385257412792,0.4430555555555555,-3.6127307513742686,1.0,0.0004367804500038,0.6618580616339712,-0.1938862782486724,-0.203008269536026,0.0385691563597583,-0.1010420857353026,720.0
PV-006,development,raw_full,ret_close_to_next_open,-0.0381684020452805,-0.3378736184867784,0.3180555555555555,-9.066100544883197,-0.8999999999999998,-0.0007783494566444,-3.595108590973187,-0.5615718726543645,-0.3159027025689093,0.0278676733538065,-0.0979153274063592,720.0
PV-006,development,neutral_full,ret_close_to_close,-0.0196917157846636,-0.2878515182674101,0.3833333333333333,-7.723866747269419,-0.3,-1.9420880312766095e-06,-0.0064469370851649,-0.1276157172301298,-0.4040280937852534,0.0059601467325877,-0.0500075533050516,720.0
PV-006,development,neutral_full,ret_next_open_to_close,-0.0140014383836475,-0.2023961113583959,0.4222222222222222,-5.430857560547889,0.8999999999999998,0.0002684163915152,0.9470495608917596,-0.0946634074168905,-0.2396054496328277,0.0112248557792471,-0.0487188135187204,720.0
PV-006,development,neutral_full,ret_close_to_next_open,-0.0191263004049642,-0.3521240755533641,0.3277777777777778,-9.44848043341913,-0.8999999999999998,-0.0002593447089629,-2.2308458816531456,-0.2001284922477071,-0.3669524313953153,0.001809856133143,-0.0380685372727757,720.0
PV-006,development,raw_tradable,ret_close_to_close,-0.027221775476768,-0.1986874249612056,0.4347222222222222,-5.331343061851731,0.0,-0.0005215378286143,-0.741660983037051,-0.4106685183749978,-0.2466341243352893,0.0217741922005628,-0.0871057359712835,720.0
PV-006,development,raw_tradable,ret_next_open_to_close,-0.0155492820043425,-0.1115724857296457,0.4666666666666667,-2.993803950121358,0.8999999999999998,0.0003917992725643,0.57822783472524,-0.1913281442663102,-0.1542861771519024,0.0358581009328005,-0.0839260923187949,720.0
PV-006,development,raw_tradable,ret_close_to_next_open,-0.0379102728177449,-0.3680362558453555,0.3041666666666666,-9.875449035056633,-0.7999999999999999,-0.0008935024293345,-3.929361878529483,-0.6458866009884332,-0.4155171212875356,0.015341145262362,-0.0860901272711751,720.0
PV-006,validation_2022,raw_full,ret_close_to_close,-0.0497497553575771,-0.3145940949058056,0.3636363636363636,-4.8939355922410686,-1.0,-0.001310462724357,-1.935604586801776,-0.3101732812021199,-0.279340083571215,0.0001517235022365,-0.1030633011479763,242.0
PV-006,validation_2022,raw_full,ret_next_open_to_close,-0.0251656003421492,-0.1536391809943825,0.4338842975206611,-2.3900647482156545,0.7999999999999999,0.0001875884701231,0.2718357355375093,-0.1180889162919528,-0.0456003200116525,0.0259300792245342,-0.091833296538679,242.0
PV-006,validation_2022,raw_full,ret_close_to_next_open,-0.0724460021161821,-0.7932210950513019,0.1900826446280991,-12.33962433640188,-1.0,-0.0014689409207814,-9.645326543968473,-0.3556112760174129,-0.7868827258524772,-0.0303724910624694,-0.1152207383541233,242.0
PV-006,validation_2022,neutral_full,ret_close_to_close,-0.024671259114121,-0.2807535397052277,0.3801652892561983,-4.3675000988892485,-0.6,-0.0001846886410168,-0.5263342288894299,-0.0815838666033625,-0.2069770186597211,-0.0039239522000447,-0.0468371853043734,242.0
PV-006,validation_2022,neutral_full,ret_next_open_to_close,-0.0163124742563708,-0.1830579155060214,0.4421487603305785,-2.847712854891999,0.8999999999999998,0.0002090923825347,0.6110155396500155,-0.045675773012392,-0.0089788327453525,0.0053520039185919,-0.0445794600656079,242.0
PV-006,validation_2022,neutral_full,ret_close_to_next_open,-0.0240716011862625,-0.5084016211467928,0.2851239669421487,-7.908873145340887,-0.7999999999999999,-0.000381821405281,-4.469173437886981,-0.0924999580331265,-0.6803732822090008,-0.0168117048014932,-0.0314524958441113,242.0
PV-006,validation_2022,raw_tradable,ret_close_to_close,-0.04265432922515,-0.2693865605734009,0.4008264462809917,-4.190671402323393,-1.0,-0.0011085029596693,-1.5152504563035167,-0.2797400157167481,-0.1345494148417664,0.0004293728856599,-0.0926621977466258,242.0
PV-006,validation_2022,raw_tradable,ret_next_open_to_close,-0.0198439402064405,-0.1210695579619088,0.4504132231404958,-1.883400319462717,1.0,0.0003940264261483,0.5349652956598209,-0.1137847078140431,-0.0630180465856936,0.0258404743262552,-0.0774831548037671,242.0
PV-006,validation_2022,raw_tradable,ret_close_to_next_open,-0.0675841110580555,-0.7408971613972681,0.2190082644628099,-11.52565495368919,-1.0,-0.0014724651282365,-8.65710750595563,-0.3584683047433051,-0.7073043730022969,-0.0303436594307157,-0.0971006171626878,242.0
PV-006,validation_2023,raw_full,ret_close_to_close,-0.0460011326637019,-0.300143618870582,0.4090909090909091,-4.669138941131702,-0.7,-0.000483012171097,-0.8791607606322075,-0.2268615378688726,-0.1189358330048516,0.0103357515667902,-0.1103149208560337,242.0
PV-006,validation_2023,raw_full,ret_next_open_to_close,-0.0264513097385619,-0.1689175132464377,0.4421487603305785,-2.627739819709941,0.8999999999999998,0.0004678339280042,0.8543562103172413,-0.1662788812355854,0.0082455391555019,0.0327386013725201,-0.0876307976937139,242.0
