version,years,J_mean,J_worst,J_std,J_stable,lambda_std,J_2024,A_2024,B_2024,B_model_score_2024,B_mean_abs_weight_2024,B_std_abs_weight_2024,B_nonzero_window_ratio_2024
reports/dependencies/finals_pre/e8_en_blend/baseline_en454.parquet,2024,0.9628797744106113,0.9628797744106113,0.0,0.9628797744106113,0.5,0.9628797744106113,0.8762659147020381,1.0,4.207987897373567,0.044667514709526165,0.010614934214330225,1.0
reports/dependencies/finals_pre/e8_en_blend/m_walkforward.parquet,2024,0.9952197802197802,0.9952197802197802,0.0,0.9952197802197802,0.5,0.9952197802197802,0.9994505494505495,0.9934065934065934,2.3462359663393233,0.01901471589192071,0.008104349333303366,1.0
reports/dependencies/finals_pre/e8_en_blend/blend10.parquet,2024,0.9734361233480175,0.9734361233480175,0.0,0.9734361233480175,0.5,0.9734361233480175,0.9114537444933921,1.0,3.7478541161885266,0.04061522653447742,0.010836928351958968,1.0
reports/dependencies/finals_pre/e8_en_blend/blend25.parquet,2024,0.9891088977102193,0.9891088977102193,0.0,0.9891088977102193,0.5,0.9891088977102193,0.963696325700731,1.0,3.0096633279028273,0.030625251062751695,0.01017564017071707,1.0
reports/dependencies/finals_pre/e8_en_blend/blend50.parquet,2024,0.7909871956237595,0.7909871956237595,0.0,0.7909871956237595,0.5,0.7909871956237595,0.9955983443868907,0.7032967032967034,1.2627647235610253,0.007772718524237958,0.006155318071489952,0.8
