arm,label,seed,days,ric_mean,ric_ir,ric_tstat,plain_ic_mean,stress_ric_mean
k15_baseline,k15，原统计通路+融合+DeepSets+MLP头,20260801,240,0.02024601704434884,0.18662555603431766,2.891190681990446,0.06733494190726604,-0.005202327173857309
k15_baseline,k15，原统计通路+融合+DeepSets+MLP头,20260812,240,0.01878456940721421,0.1842916272296317,2.8550336124233153,0.06254431410576511,-0.006711754245673712
k15_baseline,k15，原统计通路+融合+DeepSets+MLP头,20260823,240,0.01962675057898188,0.20427363399937196,3.164593530195347,0.06481322253126146,-0.0024470538234683866
k15_no_stats,k15，去统计通路,20260801,240,0.01983835680874561,0.1806399128936349,2.7984614971896256,0.06713362784493757,-0.006352170416140249
k15_no_stats,k15，去统计通路,20260812,240,0.01869831607999782,0.1804841618893364,2.7960486130064126,0.06367290523334977,-0.007618068131458213
k15_no_stats,k15，去统计通路,20260823,240,0.019164262502481766,0.19152643398986052,2.967114756804896,0.061527106335036635,-0.0018143197383081243
k15_no_stats_no_fusion,再去冗余单路融合,20260801,240,0.018645478061939495,0.17092944216133488,2.6480275314694954,0.06538352783730604,-0.007259318828305236
k15_no_stats_no_fusion,再去冗余单路融合,20260812,240,0.01986266015797255,0.20474988997077737,3.171971655978487,0.06404727645959564,-0.0030703392607452913
k15_no_stats_no_fusion,再去冗余单路融合,20260823,240,0.020156595713004207,0.20059124365277095,3.1075461842488648,0.06408894068942343,0.0006683836881161908
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,20260801,240,0.01892060390365571,0.17255651761465574,2.6732340760044337,0.06616913691081969,-0.007319091577973095
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,20260812,240,0.01894662226532214,0.1942287219126546,3.008978421291452,0.06347926691392314,-0.006037413610376039
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,20260823,240,0.019291550185470782,0.20372029810143907,3.156021287325136,0.06281415618041292,2.7413127855163238e-05
k15_minimal,再把MLP头改为线性96→1,20260801,240,0.019372651934779963,0.1710121077457015,2.649308181195721,0.06696362662426308,-0.0072487835854093486
k15_minimal,再把MLP头改为线性96→1,20260812,240,0.019217912615792983,0.19571391003669067,3.0319868567729586,0.06446351344640275,-0.005913966384012076
k15_minimal,再把MLP头改为线性96→1,20260823,240,0.019697652544737435,0.1854070300233552,2.872313358200933,0.06365793044774748,0.00011856006013717333
