arm,label,metric,comparison,primary_test,n,reference_mean,candidate_mean,mean_difference,sd_difference,t,p_two_sided,ci_low,ci_high
k15_no_stats,k15，去统计通路,ic,k15_no_stats_minus_k15_baseline,False,3,0.0399695189267739,0.03888065979382165,-0.0010888591329522555,0.0012529943516918357,-1.5051618852169726,0.2712180413549198,-0.0042014696546001,0.0020237513886955895
k15_no_stats,k15，去统计通路,ir,k15_no_stats_minus_k15_baseline,False,3,0.9002434387582482,0.8623014556473599,-0.03794198311088822,0.03042659765209558,-2.1598682586665245,0.163383975649498,-0.11352584177871289,0.037641875556936454
k15_no_stats,k15，去统计通路,sharpe,k15_no_stats_minus_k15_baseline,False,3,7.197376513349915,6.6797976310288645,-0.5175788823210503,0.6417490559710429,-1.3969212930875317,0.297256174292876,-2.1117719137388917,1.0766141490967909
k15_no_stats,k15，去统计通路,stress_ic,k15_no_stats_minus_k15_baseline,False,3,0.030301221243513646,0.02918256366321897,-0.0011186575802946779,0.0015012171109756495,-1.290667253374966,0.32589335666481556,-0.0048478876191941685,0.0026105724586048132
k15_no_stats,k15，去统计通路,stress_ir,k15_no_stats_minus_k15_baseline,False,3,0.6452113638585155,0.5995124585722968,-0.04569890528621875,0.07336889900648479,-1.0788334959069348,0.3934811497870486,-0.22795735417782892,0.1365595436053914
k15_no_stats_no_fusion,再去冗余单路融合,ic,k15_no_stats_no_fusion_minus_k15_baseline,False,3,0.0399695189267739,0.0389432346007251,-0.0010262843260488038,0.0014606286290224535,-1.216994217700484,0.3477233542200837,-0.004654686986265664,0.0026021183341680557
k15_no_stats_no_fusion,再去冗余单路融合,ir,k15_no_stats_no_fusion_minus_k15_baseline,False,3,0.9002434387582482,0.8520283246646111,-0.04821511409363707,0.04683556324323279,-1.7830687093311735,0.2165142198527512,-0.16456110299721924,0.06813087480994509
k15_no_stats_no_fusion,再去冗余单路融合,sharpe,k15_no_stats_no_fusion_minus_k15_baseline,False,3,7.197376513349915,6.275158996443753,-0.9222175169061613,0.6559895748299841,-2.4349892989160202,0.13526484862728477,-2.55178595825639,0.7073509244440674
k15_no_stats_no_fusion,再去冗余单路融合,stress_ic,k15_no_stats_no_fusion_minus_k15_baseline,False,3,0.030301221243513646,0.029864170930605106,-0.00043705031290854415,0.002604311197467563,-0.2906693133130849,0.7986742075152518,-0.006906517971671378,0.00603241734585429
k15_no_stats_no_fusion,再去冗余单路融合,stress_ir,k15_no_stats_no_fusion_minus_k15_baseline,False,3,0.6452113638585155,0.5936480546822819,-0.051563309176233675,0.08191342030939215,-1.09030084401663,0.3894296528337459,-0.25504752566525013,0.15192090731278277
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,ic,k15_no_stats_no_fusion_no_deepsets_minus_k15_baseline,False,3,0.0399695189267739,0.03896765197314069,-0.001001866953633218,0.0011755855751654119,-1.476102210485886,0.2779178685136574,-0.00392218341429132,0.001918449507024884
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,ir,k15_no_stats_no_fusion_no_deepsets_minus_k15_baseline,False,3,0.9002434387582482,0.8704776102334403,-0.029765828524807875,0.034744418639586216,-1.4838621382373545,0.27610855464012807,-0.1160757491402451,0.056544092090629355
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,sharpe,k15_no_stats_no_fusion_no_deepsets_minus_k15_baseline,False,3,7.197376513349915,6.601710381445663,-0.5956661319042512,0.5485590861977228,-1.880789199860802,0.2007393564303863,-1.9583624450513142,0.7670301812428119
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,stress_ic,k15_no_stats_no_fusion_no_deepsets_minus_k15_baseline,False,3,0.030301221243513646,0.02945412654243194,-0.0008470947010817085,0.0017574939157849866,-0.8348313743325583,0.49164998087047124,-0.005212951615454952,0.003518762213291535
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,stress_ir,k15_no_stats_no_fusion_no_deepsets_minus_k15_baseline,False,3,0.6452113638585155,0.6133299910152883,-0.031881372843227306,0.04630312440060066,-1.1925795136796427,0.35533849314334354,-0.1469047103386263,0.08314196465217169
k15_minimal,再把MLP头改为线性96→1,ic,k15_minimal_minus_k15_baseline,True,3,0.0399695189267739,0.03914472318237569,-0.0008247957443982152,0.0016136981553701284,-0.8852883238480441,0.4693957076705702,-0.004833444187535095,0.0031838526987386646
k15_minimal,再把MLP头改为线性96→1,ir,k15_minimal_minus_k15_baseline,False,3,0.9002434387582482,0.8425960491176226,-0.05764738964062558,0.05138266322593526,-1.943227569622844,0.19145339755510127,-0.18528900109033822,0.06999422180908707
k15_minimal,再把MLP头改为线性96→1,sharpe,k15_minimal_minus_k15_baseline,False,3,7.197376513349915,6.154804591130197,-1.0425719222197174,0.5381266595174395,-3.3556923967465626,0.0784914136342791,-2.3793526508252185,0.2942088063857837
k15_minimal,再把MLP头改为线性96→1,stress_ic,k15_minimal_minus_k15_baseline,False,3,0.030301221243513646,0.02958830223758396,-0.0007129190059296889,0.001383107593367529,-0.8927808262155902,0.4661808501106843,-0.004148748738022208,0.00272291072616283
k15_minimal,再把MLP头改为线性96→1,stress_ir,k15_minimal_minus_k15_baseline,False,3,0.6452113638585155,0.5844189455706982,-0.060792418287817306,0.06416585185124933,-1.6409905604242172,0.24249108993758167,-0.22018923067809051,0.09860439410245589
