reference_arm,candidate_arm,metric,n,reference_mean,candidate_mean,mean_difference,sd_difference,t,p_two_sided,ci_low,ci_high
k15_baseline,k15_no_stats,ic,3,0.0399695189267739,0.03888065979382165,-0.0010888591329522555,0.0012529943516918357,-1.5051618852169726,0.2712180413549198,-0.0042014696546001,0.0020237513886955895
k15_baseline,k15_no_stats,ir,3,0.9002434387582482,0.8623014556473599,-0.03794198311088822,0.03042659765209558,-2.1598682586665245,0.163383975649498,-0.11352584177871289,0.037641875556936454
k15_baseline,k15_no_stats,sharpe,3,7.197376513349915,6.6797976310288645,-0.5175788823210503,0.6417490559710429,-1.3969212930875317,0.297256174292876,-2.1117719137388917,1.0766141490967909
k15_baseline,k15_no_stats,stress_ic,3,0.030301221243513646,0.02918256366321897,-0.0011186575802946779,0.0015012171109756495,-1.290667253374966,0.32589335666481556,-0.0048478876191941685,0.0026105724586048132
k15_baseline,k15_no_stats,stress_ir,3,0.6452113638585155,0.5995124585722968,-0.04569890528621875,0.07336889900648479,-1.0788334959069348,0.3934811497870486,-0.22795735417782892,0.1365595436053914
k15_no_stats,k15_no_stats_no_fusion,ic,3,0.03888065979382165,0.0389432346007251,6.25748069034519e-05,0.001413631797887503,0.07666971342364748,0.945865820849282,-0.0034490812527583153,0.0035742308665652187
k15_no_stats,k15_no_stats_no_fusion,ir,3,0.8623014556473599,0.8520283246646111,-0.010273130982748846,0.03381144439348451,-0.5262592336445653,0.6512428674848768,-0.09426541508935299,0.0737191531238553
k15_no_stats,k15_no_stats_no_fusion,sharpe,3,6.6797976310288645,6.275158996443753,-0.40463863458511096,0.727251754813269,-0.9637029669136549,0.4368760262910753,-2.211232144653357,1.4019548754831352
k15_no_stats,k15_no_stats_no_fusion,stress_ic,3,0.02918256366321897,0.029864170930605106,0.0006816072673861336,0.0019030411358627207,0.6203641086222592,0.598286912215677,-0.004045808985222634,0.005409023519994902
k15_no_stats,k15_no_stats_no_fusion,stress_ir,3,0.5995124585722968,0.5936480546822819,-0.005864403890014931,0.03895655370924305,-0.2607377841844468,0.8186864074340905,-0.1026378480789728,0.09090904029894295
k15_no_stats_no_fusion,k15_no_stats_no_fusion_no_deepsets,ic,3,0.0389432346007251,0.03896765197314069,2.4417372415585597e-05,0.0005645749373989947,0.07490968303688,0.9471050077129519,-0.001378064520686339,0.0014268992655175102
k15_no_stats_no_fusion,k15_no_stats_no_fusion_no_deepsets,ir,3,0.8520283246646111,0.8704776102334403,0.018449285568829188,0.012445154282179105,2.5676740716921183,0.12407131328392618,-0.012466191512083037,0.04936476264974141
k15_no_stats_no_fusion,k15_no_stats_no_fusion_no_deepsets,sharpe,3,6.275158996443753,6.601710381445663,0.32655138500191,0.24283493784247578,2.329168920792584,0.145224742178392,-0.2766840418231314,0.9297868118269514
k15_no_stats_no_fusion,k15_no_stats_no_fusion_no_deepsets,stress_ic,3,0.029864170930605106,0.02945412654243194,-0.0004100443881731644,0.0009051132344341079,-0.7846727753555119,0.5148302945875872,-0.002658470307235249,0.0018383815308889203
k15_no_stats_no_fusion,k15_no_stats_no_fusion_no_deepsets,stress_ir,3,0.5936480546822819,0.6133299910152883,0.019681936333006373,0.03625039515468387,0.940406679006868,0.4462794809115063,-0.07036903733659526,0.109732910002608
k15_no_stats_no_fusion_no_deepsets,k15_minimal,ic,3,0.03896765197314069,0.03914472318237569,0.00017707120923500289,0.0007075499864668522,0.43346242218754205,0.7069520116641411,-0.0015805803950957407,0.0019347228135657463
k15_no_stats_no_fusion_no_deepsets,k15_minimal,ir,3,0.8704776102334403,0.8425960491176226,-0.027881561115817705,0.020625113035241165,-2.3414310682524895,0.14401957293519194,-0.07911718221577359,0.02335405998413818
k15_no_stats_no_fusion_no_deepsets,k15_minimal,sharpe,3,6.601710381445663,6.154804591130197,-0.44690579031546623,0.2754944112492912,-2.809725001363715,0.10676508285270658,-1.1312718466762848,0.23746026604535236
k15_no_stats_no_fusion_no_deepsets,k15_minimal,stress_ic,3,0.02945412654243194,0.02958830223758396,0.00013417569515201955,0.0006421602584749074,0.3619020611709997,0.7520854177065222,-0.0014610388199128375,0.0017293902102168766
k15_no_stats_no_fusion_no_deepsets,k15_minimal,stress_ir,3,0.6133299910152883,0.5844189455706982,-0.02891104544459,0.02893027319774851,-1.730899645076968,0.2256093801970598,-0.1007778281063569,0.042955737217176895
