arm,label,seed,parameter_count,ic,ir,sharpe,stress_ic,stress_ir,days,stress_days,rows
k15_baseline,k15，原统计通路+融合+DeepSets+MLP头,20260801,144513,0.040928963860586795,0.8717707914919676,6.7302824591081025,0.032315864482963495,0.6384828024868716,240,60,239332
k15_no_stats,k15，去统计通路,20260801,126849,0.040367187001039674,0.8530820607685863,6.591314081513809,0.030969643660428002,0.6165843640884144,240,60,239332
k15_no_stats_no_fusion,再去冗余单路融合,20260801,117345,0.03879903128705457,0.8115064249590638,5.3476685460794355,0.029454657114652186,0.5671506590307893,240,60,239332
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,20260801,70689,0.039475346594099,0.8359457745565101,5.595417200700533,0.029672217346854043,0.5897452734015862,240,60,239332
k15_minimal,再把MLP头改为线性96→1,20260801,64513,0.040228743962604264,0.8222778127203614,5.386496863552406,0.03051331164601732,0.5850767660132057,240,60,239332
k15_baseline,k15，原统计通路+融合+DeepSets+MLP头,20260812,144513,0.03787326605197155,0.8484230995611747,6.500554736720243,0.02657117039582916,0.5464156711998633,240,60,239332
k15_no_stats,k15，去统计通路,20260812,126849,0.037687756116996124,0.8263056601522318,6.345333918853815,0.0270545195682703,0.5592306551538333,240,60,239332
k15_no_stats_no_fusion,再去冗余单路融合,20260812,117345,0.03850329958042534,0.8518909255089929,6.329446822159864,0.0288873130584521,0.5848411068880599,240,60,239332
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,20260812,70689,0.03820585112880902,0.856032742773879,6.462351499413664,0.02743971619773516,0.5669041769279766,240,60,239332
k15_minimal,再把MLP头改为线性96→1,20260812,64513,0.03859627007778853,0.8375935658154483,6.0792626203626074,0.02741426077005486,0.5457762644493457,240,60,239332
k15_baseline,k15，原统计通路+融合+DeepSets+MLP头,20260823,144513,0.041106326867763374,0.9805364252216023,8.361292344221397,0.03201662885174829,0.7507356178888117,240,60,239332
k15_no_stats,k15，去统计通路,20260823,126849,0.03858703626342915,0.9075166460212618,7.102744892718968,0.029523527760958606,0.6227223564746427,240,60,239332
k15_no_stats_no_fusion,再去冗余单路融合,20260823,117345,0.039527372934695396,0.8926876235257767,7.14836162109196,0.031250542618711026,0.6289523981279964,240,60,239332
k15_no_stats_no_fusion_no_deepsets,再去DeepSets,20260823,70689,0.039221758196514044,0.9194543133699319,7.747362444222792,0.031250446082706614,0.683340522716302,240,60,239332
k15_minimal,再把MLP头改为线性96→1,20260823,64513,0.03860915550673428,0.8679167688170581,6.998654289475577,0.030837334296679696,0.6224038062495434,240,60,239332
