strategy,strategy_name,scenario,buy_cost_bps,sell_cost_bps,slippage_bps,phase,days,signal_start,signal_end,entry_start,exit_end,annualized_return,cagr,sharpe,max_drawdown,total_return,average_one_way_turnover,average_traded_nav_ratio,annualized_cost_drag,mean_gross_exposure,max_abs_net_exposure,blocked_trade_name_events,missing_price_held_events,terminal_residual_value,gross_annualized_return_0bp
baseline_daily,每日五分位,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.07638289599650999,-0.07504487421407835,-1.3437635437475344,-0.1474815288855741,-0.11646598229557126,1.4096142857753131,2.8192285715506262,0.3908228888863533,2.001041100630413,0.010947476168370288,192,145,0.0,0.31494333426458687
buffer_20_30,排名缓冲区,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.04371971217449933,0.04303672531749414,0.7771974217718821,-0.08097576298871256,0.06917054191788852,1.163193211610185,2.32638642322037,0.32252795558457514,2.0011249370892052,0.01089925097505992,180,143,0.0,0.36673162012986266
rebalance_3d,每三日调仓,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.0044577644390374725,0.002949647089221852,0.08102226315407658,-0.07555799349763381,0.004686033235296927,0.48474767816324443,0.9694953563264889,0.1344068644626799,2.0033769754760455,0.0192292749395113,100,260,0.0051445709966536106,0.13900386537328988
rank_mean_5d,五日平均排名,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.14489683966622793,0.153965321918744,2.5171853663408315,-0.063074139117834,0.25521656908586654,0.5170738356216638,1.0341476712433275,0.1434048832744011,2.002766459161453,0.015046870767935993,410,350,0.006035395199485289,0.2884604910786983
