metric,mean_paired_delta_raw40_minus_baseline17,std_paired_delta,positive_seeds,seed_count
rank_ic,0.0028944242553308303,0.0011416575721927785,3,3
rank_ic_ir,0.010316766535969394,0.026857248255267075,2,3
long_short_sharpe,-0.1339852702558669,0.9693664416523727,1,3
stress_ic_ir,-0.05258503986456901,0.030874300544977126,0,3
