group,route,family,years,J,A,B,score_proxy,a_proxy,b_proxy,a_rank_ic_mean,a_rank_ic_ir,a_long_short_sharpe,a_stress_ic_ir,a_rank_ic_mean_percentile,a_rank_ic_ir_percentile,a_long_short_sharpe_percentile,a_stress_ic_ir_percentile,b_model_score,b_mean_abs_weight,b_std_abs_weight,b_nonzero_window_ratio,score,score_days,score_weight_windows,reference_factor_count,joint_route_count,joint_common_rows
staged_preliminary_2019_2024,x_tree_frozen,X_tree,"[2019, 2020, 2021, 2022, 2023, 2024]",1.0,1.0,1.0,1.0,1.0,1.0,0.22947002865220192,2.567798545270539,30.74357938544296,2.239023825966289,1.0,1.0,1.0,1.0,3.8858212262574594,0.3778640124787286,0.09724173874019776,1.0,1.0,1394.0,67.0,454.0,7.0,1390311.0
staged_preliminary_2019_2024,x_mlp_frozen,X,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9969980453386094,0.9950549450549451,0.9978308026030369,0.9969980453386094,0.9950549450549451,0.9978308026030369,0.07449087026493077,1.1073487231985306,7.430199258299347,0.7539780554156639,1.0,0.9956043956043956,0.989010989010989,0.9956043956043956,3.3576334841425,0.12874503424024575,0.03834398091540598,0.9701492537313433,0.9969980453386094,1394.0,67.0,454.0,7.0,1390311.0
staged_preliminary_2019_2024,t_frozen,T,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9909242926271126,0.9950549450549451,0.9891540130151844,0.9909242926271126,0.9950549450549451,0.9891540130151844,0.07964654220226314,1.0286512810890518,7.342252345066126,0.7361943339732961,1.0,0.9956043956043956,0.989010989010989,0.9956043956043956,2.4230680439200634,0.03227235636695748,0.013318799051273804,1.0,0.9909242926271126,1394.0,67.0,454.0,7.0,1390311.0
staged_preliminary_2019_2024,m_raw_frozen,M_raw,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9908893709327549,1.0,0.9869848156182213,0.9908893709327549,1.0,0.9869848156182213,0.0749945806046397,1.377621020951966,13.818277680421293,1.1009157708644581,1.0,1.0,1.0,1.0,2.397600074422113,0.021995728937967186,0.009174060832839753,1.0,0.9908893709327549,1394.0,67.0,454.0,7.0,1390311.0
staged_preliminary_2019_2024,en454_existing_causal,EN454,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9834466401277681,0.9549450549450549,0.9956616052060737,0.9834466401277681,0.9549450549450549,0.9956616052060737,0.04026876413606698,0.5835718984665197,5.050956607682271,0.4094437292897033,0.9714285714285714,0.945054945054945,0.9758241758241758,0.9274725274725275,3.2910237475013067,0.033026491293748225,0.010035324514304219,1.0,0.9834466401277681,1394.0,67.0,454.0,7.0,1390311.0
staged_preliminary_2019_2024,m_multiaxis_full,M_multiaxis_full_history,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9065538366189124,0.734065934065934,0.9804772234273319,0.9065538366189124,0.734065934065934,0.9804772234273319,0.024124545349723924,0.3333741296964484,1.2483124137993504,0.12439495120468227,0.8175824175824176,0.7648351648351648,0.7164835164835165,0.6373626373626373,2.0636383202087547,0.024179560065792582,0.011716956322696592,1.0,0.9065538366189124,1394.0,67.0,454.0,7.0,1390311.0
staged_preliminary_2019_2024,t_residual_frozen,T_res,"[2019, 2020, 2021, 2022, 2023, 2024]",0.6409682725084026,0.8813186813186813,0.5379609544468547,0.6409682725084026,0.8813186813186813,0.5379609544468547,0.03687818941078786,0.4491971021256077,1.9741826126196236,0.3558268342904916,0.9538461538461539,0.8593406593406593,0.8175824175824176,0.8945054945054945,1.0353464018931218,0.005418626098937734,0.005233635900018078,0.746268656716418,0.6409682725084026,1394.0,67.0,454.0,7.0,1390311.0
