pipeline,method,score_ranking_eligible,passed_cross_regime_gate,validation_years,selected_direction,positive_score_proxy,negative_score_proxy,validation_combined_base_score_proxy,validation_2022_score_proxy,validation_2023_score_proxy,validation_joint_crowding_score_proxy,robust_score_proxy,validation_2022_rank_ic_mean,validation_2022_rank_ic_t_stat,validation_2022_tradable_rank_ic_mean,validation_2023_rank_ic_mean,validation_2023_rank_ic_t_stat,validation_2023_tradable_rank_ic_mean,cross_regime_worst_year_rank_ic,cross_regime_mean_rank_ic,rank_ic_is_diagnostic_only,tradable_rank_ic_is_diagnostic_only,tree_group_gate_diagnostic,rank
self_factor_composite,family_equal_rank,True,True,"[2022, 2023]",1.0,0.9939189189189188,0.7081081081081081,0.9939189189189188,0.9297297297297298,0.981081081081081,0.9939189189189188,0.9297297297297298,,,,,,,,True,True,,1
joint_elastic_net,elastic_net,True,True,"[2022, 2023]",1.0,0.9182432432432432,0.6324324324324324,0.9182432432432432,0.8993243243243243,0.9148648648648648,0.5810984060984061,0.5810984060984061,,,,,,,,True,True,,3
joint_lightgbm,lightgbm,True,True,"[2022, 2023]",1.0,0.9391891891891891,0.6513513513513514,0.9391891891891891,0.8824324324324324,0.8972972972972973,0.8523562023562022,0.8523562023562022,,,,,,,,True,True,True,2
