group,route,family,years,J,A,B,score_proxy,a_proxy,b_proxy,a_rank_ic_mean,a_rank_ic_ir,a_long_short_sharpe,a_stress_ic_ir,a_rank_ic_mean_percentile,a_rank_ic_ir_percentile,a_long_short_sharpe_percentile,a_stress_ic_ir_percentile,b_model_score,b_mean_abs_weight,b_std_abs_weight,b_nonzero_window_ratio,score_days,score_weight_windows,reference_factor_count,joint_route_count,joint_common_rows
current_component_combo_audit_2019_2024_in_sample_inclusive,x_tree_frozen,X_tree,"[2019, 2020, 2021, 2022, 2023, 2024]",1.0,1.0,1.0,1.0,1.0,1.0,0.22943435885395483,2.566561982162636,30.696820176195832,2.2396110838149665,1.0,1.0,1.0,1.0,3.892830658915503,0.37599150395390774,0.0965856305844965,1.0,1394.0,67.0,454.0,18.0,1391994.0
current_component_combo_audit_2019_2024_in_sample_inclusive,x_mlp_frozen,X,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9970334326690259,0.9950549450549451,0.9978813559322034,0.9970334326690259,0.9950549450549451,0.9978813559322034,0.07454817507917803,1.1076856629608935,7.4403378449534445,0.7622605143119059,1.0,0.9956043956043956,0.989010989010989,0.9956043956043956,3.1300362121234517,0.12568726873818453,0.04015521234170861,0.9701492537313433,1394.0,67.0,454.0,18.0,1391994.0
current_component_combo_audit_2019_2024_in_sample_inclusive,t_frozen,T,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9896181784317377,0.9950549450549451,0.9872881355932204,0.9896181784317377,0.9950549450549451,0.9872881355932204,0.07969642686981787,1.0287909907042763,7.332432678212561,0.7363526012939515,1.0,0.9956043956043956,0.989010989010989,0.9956043956043956,2.166977844279427,0.033797192683294446,0.0155964643433472,1.0,1394.0,67.0,454.0,18.0,1391994.0
current_component_combo_audit_2019_2024_in_sample_inclusive,m_l5_frozen,M_l5,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9810495436766622,0.9961538461538462,0.9745762711864406,0.9810495436766622,0.9961538461538462,0.9745762711864406,0.06631507409863312,1.003649930151243,8.464456866897649,0.7321634665274633,1.0,0.9956043956043956,0.9934065934065934,0.9956043956043956,1.7489613535616715,0.02798442547348064,0.016000596819788392,0.9253731343283582,1394.0,67.0,454.0,18.0,1391994.0
current_component_combo_audit_2019_2024_in_sample_inclusive,en454_existing_causal,EN454,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9312809647979139,0.9538461538461538,0.9216101694915254,0.9312809647979139,0.9538461538461538,0.9216101694915254,0.04023308797019246,0.5830822038602654,5.062684125159467,0.40538096068282353,0.9714285714285714,0.9406593406593406,0.9758241758241758,0.9274725274725275,1.4515861555851661,0.025246236665443185,0.017392172394902934,0.8059701492537313,1394.0,67.0,454.0,18.0,1391994.0
current_component_combo_audit_2019_2024_in_sample_inclusive,m_raw_frozen,M,"[2019, 2020, 2021, 2022, 2023, 2024]",0.5773305084745762,1.0,0.3961864406779661,0.5773305084745762,1.0,0.3961864406779661,0.07495695735685957,1.3773730467737393,13.814225990214029,1.1125766367001606,1.0,1.0,1.0,1.0,0.9443689008677025,0.024582629552134045,0.026030748713349976,0.7014925373134329,1394.0,67.0,454.0,18.0,1391994.0
current_component_combo_audit_2019_2024_in_sample_inclusive,t_residual_frozen,T_res,"[2019, 2020, 2021, 2022, 2023, 2024]",0.4337930713354442,0.8824175824175824,0.24152542372881355,0.4337930713354442,0.8824175824175824,0.24152542372881355,0.03686749960827583,0.4489715840419952,1.9623999151448746,0.3573823965196094,0.9538461538461539,0.8593406593406593,0.8153846153846154,0.9010989010989011,0.8269141814531538,0.00533589803438907,0.006452783315658306,0.6268656716417911,1394.0,67.0,454.0,18.0,1391994.0
current_component_combo_audit_2019_2024_in_sample_inclusive,full_boosting_current_rebuilt,X_Tres_M_orth_rebuilt,"[2019, 2020, 2021, 2022, 2023, 2024]",0.34383218476438815,0.9978021978021978,0.0635593220338983,0.34383218476438815,0.9978021978021978,0.0635593220338983,0.07513648289151346,1.0481709672899637,9.117201310818157,0.8581076117554803,1.0,0.9956043956043956,0.9956043956043956,1.0,0.6010669528901047,0.00806392099733284,0.013416011241273697,0.4626865671641791,1394.0,67.0,454.0,18.0,1391994.0
current_component_combo_audit_2019_2024_in_sample_inclusive,m75_xtree25,Xtree_M,"[2019, 2020, 2021, 2022, 2023, 2024]",0.3266949152542373,1.0,0.038135593220338986,0.3266949152542373,1.0,0.038135593220338986,0.12506025082161756,2.025197471240704,24.368217381952576,1.7463015336312464,1.0,1.0,1.0,1.0,0.5234935964001662,0.010693286804489808,0.020426776712264134,0.31343283582089554,1394.0,67.0,454.0,18.0,1391994.0
current_component_combo_audit_2019_2024_in_sample_inclusive,x_en_tres_w020,X_EN_T_res,"[2019, 2020, 2021, 2022, 2023, 2024]",0.31878468988638475,0.9934065934065934,0.029661016949152543,0.31878468988638475,0.9934065934065934,0.029661016949152543,0.06843711272521333,0.9130808116651454,6.263310548443818,0.639815346543087,1.0,0.9956043956043956,0.9846153846153847,0.9934065934065934,0.4635466662774873,0.003937319940893603,0.0084939019668693,0.26865671641791045,1394.0,67.0,454.0,18.0,1391994.0
