family,phases,turnover_min,turnover_max,net_annualized_min,net_annualized_max,net_sharpe_min,net_sharpe_max,worst_max_drawdown
every_2d,2,0.7645093023263613,0.7666810939862482,0.1502881606065144,0.2253066244304101,0.9318619640065348,1.3022116087645683,-0.1837080443514994
every_3d,3,0.5138310975186072,0.5165036862541725,0.0751872910636461,0.2576143096343183,0.4590646909747851,1.4791000666201533,-0.178454935272557
every_5d,5,0.3120430070744264,0.3143238003125085,0.1113292252720042,0.2311490120191167,0.7047656104847762,1.3497904275324926,-0.2051059647260754
buffer_10_20_every2,2,0.589791629337192,0.5923366541841086,0.1732056917221604,0.2868202488467535,1.013800550063728,1.6028963550435045,-0.1865425316402094
