strategy,scenario,start,end,days,average_one_way_turnover,annualized_return,sharpe,cagr,cumulative_return,max_drawdown,total_fees,terminal_residual_value
daily_decile,gross,2025-01-02,2026-08-28,402,1.5062892326548205,0.5534612309795758,3.2061998493090664,0.7127243543835013,1.3593216870320899,-0.09521541412279644,0.0,0.0
daily_decile,fees_slip0,2025-01-02,2026-08-28,402,1.5050487459972783,0.13517945600438033,0.7837137308739848,0.1278897509529371,0.2116515762624156,-0.14764833542492384,0.6817132159037846,0.0
daily_decile,fees_slip2,2025-01-02,2026-08-28,402,1.5046054272755895,-0.016707533437454163,-0.09688601245353089,-0.031022438325164936,-0.049029323992576423,-0.22043035153862844,0.8219766538930526,0.0
daily_decile,fees_slip5,2025-01-02,2026-08-28,402,1.5039478174139584,-0.24437448196053851,-1.4175667455789354,-0.22842095952895436,-0.33878155713349667,-0.4332561585387652,0.965623206934102,0.0
buffer_10_15,gross,2025-01-02,2026-08-28,402,1.3154631947754396,0.5720595914926058,3.2666923631925533,0.7440681298867833,1.4285732755406921,-0.09552442895959645,0.0,0.0
buffer_10_15,fees_slip0,2025-01-02,2026-08-28,402,1.3145099665631246,0.20670088412507023,1.1808490039966708,0.2109367348523159,0.3570583141362871,-0.13129605013393697,0.642314881752455,0.0
buffer_10_15,fees_slip2,2025-01-02,2026-08-28,402,1.314171236904775,0.0740208025948594,0.422912623692886,0.06053670960228619,0.09829644633072232,-0.16351607518464417,0.7848119303971517,0.0
buffer_10_15,fees_slip5,2025-01-02,2026-08-28,402,1.3136705258940482,-0.12487525408560231,-0.7135540273590344,-0.13078201434039616,-0.20035764445148363,-0.3214335560281558,0.9384338305781506,0.0
buffer_10_20,gross,2025-01-02,2026-08-28,402,1.1446513948141985,0.5752453542723253,3.2242183191526226,0.7486107494027712,1.438671756453247,-0.10184121642617316,0.0,0.0
buffer_10_20,fees_slip0,2025-01-02,2026-08-28,402,1.1439188708214207,0.2572705971312345,1.4427777920318674,0.2729649415096449,0.46962720520158174,-0.13243343317984213,0.5806796372700179,0.0
buffer_10_20,fees_slip2,2025-01-02,2026-08-28,402,1.1436597600420935,0.1417910994243901,0.7952860393643768,0.13422650738191644,0.22252906531135963,-0.14330630560052915,0.7186147064949588,0.0
buffer_10_20,fees_slip5,2025-01-02,2026-08-28,402,1.1432783496076502,-0.0313340804531746,-0.175782534436074,-0.04605749723381469,-0.07245917901236631,-0.2317316381880815,0.8744488869688395,0.0
buffer_10_25,gross,2025-01-02,2026-08-28,402,1.0011590528775491,0.5821985479110604,3.252176291799198,0.7605951524458414,1.4653886691869333,-0.10488535186793524,0.0,0.0
buffer_10_25,fees_slip0,2025-01-02,2026-08-28,402,1.0005899891519605,0.30404203918815725,1.6992270351442456,0.3337101321440632,0.5830797370349694,-0.12101898912256248,0.531078876679872,0.0
buffer_10_25,fees_slip2,2025-01-02,2026-08-28,402,1.000389637282689,0.20302035840846563,1.1347833191454118,0.20567059386126973,0.3476560542205702,-0.13333987774879452,0.6644767679896311,0.0
buffer_10_25,fees_slip5,2025-01-02,2026-08-28,402,1.000094920963396,0.05156049212273733,0.2882434288942406,0.03628127739469367,0.058499213705400566,-0.17661475043064068,0.8209546501401885,0.0
buffer_10_30,gross,2025-01-02,2026-08-28,402,0.8708546375539632,0.5966174940351617,3.3492250915921224,0.7863701906710177,1.5232162719219593,-0.10340617925487117,0.0,0.0
buffer_10_30,fees_slip0,2025-01-02,2026-08-28,402,0.8704084380065543,0.3546145491394349,1.9912856263148793,0.40300744622581197,0.7163097750463763,-0.12447426970892117,0.4899702252476991,0.0
buffer_10_30,fees_slip2,2025-01-02,2026-08-28,402,0.8702515674812894,0.26672458033622415,1.4978306944231057,0.2850879137333142,0.4920171483840967,-0.1416512986571694,0.6192692367937552,0.0
