strategy,scenario,year,days,average_one_way_turnover,annualized_return,sharpe,cumulative_return,max_drawdown
daily_decile,gross,2025,243,1.5072626622153318,0.5252370350690737,3.846413919942677,0.643809791472286,-0.0759812148629041
daily_decile,gross,2026,159,1.5048015384208315,0.5965963228427958,2.7502724297252454,0.4352765747422349,-0.09521541412279655
daily_decile,fees_slip0,2025,243,1.506014737555723,0.10668079726958259,0.781592682922065,0.09844109284036606,-0.13081796124820977
daily_decile,fees_slip0,2026,159,1.5035724192758813,0.17873400991982594,0.824779584261935,0.10306468335894814,-0.13511138081642438
daily_decile,fees_slip2,2025,243,1.5055693234786593,-0.0453079056580687,-0.33197221751683903,-0.051297757391491006,-0.16318509157997219
daily_decile,fees_slip2,2026,159,1.5031323028897654,0.027002469390277485,0.12464596340656062,0.0023910910051991863,-0.16943577948830524
daily_decile,fees_slip5,2025,243,1.5049093510195113,-0.273127487265268,-2.0013205306265185,-0.23852493609295233,-0.24801127417270996
daily_decile,fees_slip5,2026,159,1.5024783037903775,-0.20043120970236702,-0.9256565309835336,-0.13166106914405984,-0.24817071439189453
buffer_10_15,gross,2025,243,1.3127027655264878,0.5510112938656653,3.954910120056566,0.6844925879652519,-0.07310456314825031
buffer_10_15,gross,2026,159,1.3196819640049693,0.604227744469628,2.755226540358351,0.4417239309282053,-0.09552442895959656
buffer_10_15,fees_slip0,2025,243,1.311747203124015,0.18640543201630488,1.3379892068922268,0.18574035594566207,-0.12042621608893878
buffer_10_15,fees_slip0,2026,159,1.3187323031398768,0.2377184618762022,1.0846905886731073,0.14448184826601151,-0.13129605013393708
buffer_10_15,fees_slip2,2025,243,1.311408157108575,0.05399732865221371,0.3875611552770396,0.04366437415588287,-0.1397687624349505
buffer_10_15,fees_slip2,2026,159,1.3183940569706663,0.10462271560154433,0.4774819001643067,0.05234639940548669,-0.15025664321603294
buffer_10_15,fees_slip5,2025,243,1.310907518615207,-0.14449126274714666,-1.0369241136282843,-0.1381841872054581,-0.18199831311975745
buffer_10_15,fees_slip5,2026,159,1.3178932351315227,-0.09489607103682697,-0.4332151568464911,-0.07214239553625612,-0.2046358056440516
buffer_10_20,gross,2025,243,1.140645698103233,0.5414953235822361,3.8338096834499447,0.6687190265983913,-0.07242040353998191
buffer_10_20,gross,2026,159,1.1507733086554863,0.6268255898552916,2.797249755086836,0.4614034583307749,-0.10184121642617283
buffer_10_20,fees_slip0,2025,243,1.1399116596564947,0.22465605198675026,1.5899056140848922,0.2299386052002761,-0.11375654547167047
buffer_10_20,fees_slip0,2026,159,1.1500430992055533,0.30711546801242745,1.3720677625903066,0.19487850774655047,-0.13243343317984246
buffer_10_20,fees_slip2,2025,243,1.1396525074516677,0.10958745244546399,0.7753877979793824,0.1008314968078523,-0.13048941949338377
buffer_10_20,fees_slip2,2026,159,1.1497840517368954,0.19100799386388098,0.8536632342117731,0.11055058731186329,-0.14330630560052937
buffer_10_20,fees_slip5,2025,243,1.1392714972973446,-0.06292187118348996,-0.44503743689325964,-0.06787420409835798,-0.1554377313719184
buffer_10_20,fees_slip5,2026,159,1.1494020295535885,0.016941599719571498,0.07575698250410565,-0.004918837064876835,-0.1775436989424276
buffer_10_25,gross,2025,243,0.9959011927956901,0.5538788533442505,3.9422431124207367,0.6889010033909286,-0.07397254348475335
buffer_10_25,gross,2026,159,1.009194650361145,0.625479590550902,2.767257334285324,0.45975913581494066,-0.10488535186793557
buffer_10_25,fees_slip0,2025,243,0.995332140246914,0.2771989489190698,1.972479724566111,0.29394184831721115,-0.1106811172364649
buffer_10_25,fees_slip0,2026,159,1.0086255695540127,0.34506638469374384,1.5280572523079698,0.22345508733161457,-0.12101898912256248
buffer_10_25,fees_slip2,2025,243,0.9951317676999223,0.17671197523807058,1.2572388207095393,0.17453426415086293,-0.12554956200408585
buffer_10_25,fees_slip2,2026,159,1.0084252492865404,0.24322751004623924,1.0774011212786896,0.14739611721320833,-0.13333987774879386
buffer_10_25,fees_slip5,2025,243,0.9948374835611837,0.026053733090237965,0.18530881094106616,0.015758531087981753,-0.14740829896631946
buffer_10_25,fees_slip5,2026,159,1.0081298724648906,0.09054252007806653,0.4012354324415455,0.04207760142721906,-0.16244009374801371
buffer_10_30,gross,2025,243,0.8625955354209649,0.5896503309052765,4.232000016577366,0.7483166627634592,-0.06728090855782154
buffer_10_30,gross,2026,159,0.8834770389270364,0.6072654225921558,2.6942737999260324,0.4432261189650051,-0.10340617925487106
buffer_10_30,fees_slip0,2025,243,0.8621501157357602,0.349926455763383,2.510870031176731,0.3880488131455393,-0.09128802214096066
buffer_10_30,fees_slip0,2026,159,0.883029647514749,0.3617793710915142,1.606090336666047,0.23649093518328534,-0.12447426970892106
buffer_10_30,fees_slip2,2025,243,0.8619935453721284,0.26286477514309936,1.8858634837615253,0.2763943497457282,-0.10089621401173732
buffer_10_30,fees_slip2,2026,159,0.8828723182518937,0.272623527895528,1.210502887874204,0.16893117607526253,-0.1416512986571694
buffer_10_30,fees_slip5,2025,243,0.8617638418297782,0.13232857806118065,0.9490812795749304,0.12552365457310444,-0.11961723685950054
buffer_10_30,fees_slip5,2026,159,0.8826416708160387,0.1389466545567418,0.6170985676834693,0.07444705519021677,-0.16678866418500293
every_2d_phase0,gross,2025,243,0.7627564200582164,0.4642008556784693,3.3794995083065364,0.5498550515673011,-0.0811533560356219
every_2d_phase0,gross,2026,159,0.7688285427899746,0.39740841667194665,1.8316836796309934,0.26604745963245735,-0.1427580033592627
every_2d_phase0,fees_slip0,2025,243,0.7620988603551843,0.25222441861211253,1.8469381862902607,0.2638134687382885,-0.10253641719175777
