input,strategy,scenario,start,end,days,average_one_way_turnover,annualized_return,sharpe,cagr,cumulative_return,max_drawdown,total_fees,terminal_residual_value
raw,baseline_daily,gross,2025-01-02,2026-08-28,402,1.2926784788272752,0.38609200183535314,2.8008136728603255,0.4569932818968405,0.8228616556963657,-0.09957025847161094,0.0,0.006818770415584206
raw,baseline_daily,fees_slip0,2025-01-02,2026-08-28,402,1.2917652008450247,0.02735854071074378,0.19863007321137013,0.018085584570584734,0.02900572974055482,-0.15243504632513194,0.5479183584582159,0.004751044982990564
raw,buffer_20_30,gross,2025-01-02,2026-08-28,402,1.0114615551819206,0.4172807801454563,2.909409136718191,0.5019041815492569,0.9133147028341617,-0.09551805188597318,0.0,0.007091669954399684
raw,buffer_20_30,fees_slip0,2025-01-02,2026-08-28,402,1.0108856572359244,0.1364822567880692,0.9526106743478148,0.13455715953409553,0.22309764840734014,-0.13939344931443487,0.472876872621022,0.005351942177411509
raw,rank_mean_5d,gross,2025-01-02,2026-08-28,402,0.428825159743716,0.24069039880369378,1.4299172400673794,0.2542004696966329,0.43522080219179204,-0.17380361105435937,0.0,0.006090270059306997
raw,rank_mean_5d,fees_slip0,2025-01-02,2026-08-28,402,0.4287148859318656,0.12167827274151793,0.7231618050461364,0.11356787549711389,0.18720098876803393,-0.19810456670192667,0.20274005504638234,0.005412241361904336
old_processed,baseline_daily,gross,2025-01-02,2026-08-28,402,1.40368766374093,0.3131478058764103,5.959161622730621,0.36557823553271485,0.6438499529818436,-0.020698683453171052,0.0,0.0
old_processed,baseline_daily,fees_slip0,2025-01-02,2026-08-28,402,1.4025993237340624,-0.07623110704672,-1.4509002018509025,-0.07468582046025818,-0.11646598229557126,-0.1476876476048321,0.5765584404486188,0.0
old_processed,buffer_20_30,gross,2025-01-02,2026-08-28,402,1.158160700782674,0.3646330821154267,7.139172826077681,0.4377377045277213,0.7845823936878396,-0.026904622188371863,0.0,0.0
old_processed,buffer_20_30,fees_slip0,2025-01-02,2026-08-28,402,1.1574060304494111,0.0432292210475163,0.8474582818610776,0.04281809251962576,0.06917054191788852,-0.0814744508214138,0.5246461914842189,0.0
old_processed,rank_mean_5d,gross,2025-01-02,2026-08-28,402,0.5146808001382385,0.28676391096312354,5.449306404037737,0.33005858235753127,0.5761711390894155,-0.032929709946172725,0.0,0.006961777426710646
old_processed,rank_mean_5d,fees_slip0,2025-01-02,2026-08-28,402,0.5145127429730937,0.14391107060820352,2.735830166695957,0.15314346255797284,0.25521656908586654,-0.06305361248848484,0.2555878191570622,0.006035395199485289
