strategy,scenario,date,signal_date,rank_window_start,previous_close_nav,opening_nav,closing_nav,cash,position_value,long_value,short_value,daily_return,overnight_pnl,intraday_pnl,buy_notional,sell_notional,cost_amount,one_way_turnover,blocked_trade_names,missing_close_held_names,terminal_residual_value,input
baseline_daily,gross,2025-01-02,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,raw
baseline_daily,gross,2025-01-03,2025-01-02,,1.0,1.0,1.0130046986997425,1.0,0.013004698699742464,0.9782942377910577,0.9652895390913153,0.013004698699742523,0.0,0.013004698699742464,1.0,1.0,0.0,1.0,0,0,0.0,raw
baseline_daily,gross,2025-01-06,2025-01-03,,1.0130046986997425,1.0138921755585777,1.0131772018904797,1.0138921755585777,-0.0007149736680979323,1.0144345698567927,1.0151495435248907,0.00017028863830392815,0.0008874768588351905,-0.000714973668097913,1.4187103669496914,1.4326025425082691,0.0,1.4061223561011817,0,0,0.0,raw
baseline_daily,gross,2025-01-07,2025-01-06,,1.0131772018904797,1.0108981542227933,1.001444696996007,1.0108981542227933,-0.009453457226786375,1.0167602935064743,1.0262137507332607,-0.011579914029432481,-0.002279047667686506,-0.009453457226786375,1.4229813575579295,1.4199873362221451,0.0,1.4061598005220557,0,0,0.0,raw
baseline_daily,gross,2025-01-08,2025-01-07,,1.001444696996007,1.0054860458419757,0.996114930631502,1.0054860458419757,-0.009371115210473572,1.0002296695916395,1.0096007848021131,-0.00532207757501979,0.004041348845968847,-0.009371115210473584,1.2487112733505925,1.243299164969775,0.0,1.2392068734447745,0,0,0.0,raw
baseline_daily,gross,2025-01-09,2025-01-08,,0.996114930631502,0.9954985381134578,0.984497645620215,0.9954985381134578,-0.01100089249324275,0.9950306540942613,1.006031546587504,-0.011662595001886045,-0.0006163925180443235,-0.011000892493242717,1.2516050956159153,1.2416175878873972,0.0,1.2522482897002294,0,0,0.0,raw
baseline_daily,gross,2025-01-10,2025-01-09,,0.984497645620215,0.9882396835117153,0.9888230137076415,0.9882396835117153,0.0005833301959261364,0.9666070193453087,0.9660236891493825,0.004393477329954987,0.003742037891500242,0.0005833301959261238,1.2659033717319637,1.2586445171302212,0.0,1.2772953419008584,0,0,0.0,raw
baseline_daily,gross,2025-01-13,2025-01-10,,0.9888230137076415,0.9923604706397512,0.99044008261255,0.9923604706397512,-0.0019203880272011323,1.0053700186199768,1.007290406647178,0.001635347157673106,0.003537456932109739,-0.0019203880272011516,1.2881876600524351,1.2923084471804713,0.0,1.3001808231888368,0,0,0.0,raw
baseline_daily,gross,2025-01-14,2025-01-13,,0.99044008261255,0.99013322803791,0.9820560555119116,0.99013322803791,-0.008077172525998511,1.0230138775001107,1.0310910500261092,-0.008464951336100368,-0.00030685457464003365,-0.008077172525998497,1.289062674327308,1.2868354317254667,0.0,1.3007835880618224,0,0,0.0,raw
baseline_daily,gross,2025-01-15,2025-01-14,,0.9820560555119116,0.9826019042873879,0.9823203231647681,0.9826019042873879,-0.00028158112261977624,0.9777142728510788,0.9779958539736987,0.00026909630196092493,0.0005458487754763727,-0.00028158112261979,1.2617079857003017,1.25417666194978,0.0,1.280215638028239,0,0,0.0,raw
baseline_daily,gross,2025-01-16,2025-01-15,,0.9823203231647681,0.9802784271944172,0.985871570847577,0.9802928451412461,0.005578725706330889,0.9834613960568286,0.9778826703504976,0.0036151625890907813,-0.002041895970350978,0.005593143653159893,1.208434764778744,1.2061257056326022,0.0,1.231568707128383,1,1,0.0,raw
baseline_daily,gross,2025-01-17,2025-01-16,,0.985871570847577,0.9857811410027257,0.9882816960293828,0.9906969510855269,-0.0024152550561441673,0.9946346467241953,0.9970499017803396,0.0024446644502931214,-9.042984485127097e-05,0.0025005550266568996,1.2032972302523823,1.2137013361966629,0.0,1.2259306178197429,1,1,0.0,raw
baseline_daily,gross,2025-01-20,2025-01-17,,0.9882816960293828,0.9876963265734569,0.9904680172780784,0.9926089434101779,-0.0021409261320994716,0.9880941988969083,0.9902351250290078,0.002212245008158753,-0.0005853694559258316,0.0027716907046215706,1.2305240151471313,1.2324360074717822,0.0,1.246820483358221,2,2,0.0,raw
baseline_daily,gross,2025-01-21,2025-01-20,,0.9904680172780784,0.9912320859878795,0.9821501951440195,0.9912062211917333,-0.009056026047713857,0.9874559323962152,0.996511958443929,-0.008397870490475134,0.0007640687098010474,-0.009081890843860085,1.163031705961801,1.1616289837433564,0.0,1.1726117034379286,2,2,0.0,raw
