period,start,end,days,average_target_turnover,one_way_cost_bp,annualized_return,annualized_sharpe,total_return,max_drawdown
full_oos,2025-01-02,2026-08-27,401,1.4034791162796525,0,0.2175717385423161,4.454733283178463,0.41082140335610173,-0.0378351513844597
full_oos,2025-01-02,2026-08-27,401,1.4034791162796525,5,0.0407333698910799,0.8331589580533676,0.0649332413590964,-0.08383043533806267
full_oos,2025-01-02,2026-08-27,401,1.4034791162796525,10,-0.13610499876015633,-2.7807996303908373,-0.19631320564909405,-0.21852739177138902
full_oos,2025-01-02,2026-08-27,401,1.4034791162796525,20,-0.48978173606262876,-9.981937969955256,-0.5425353289421795,-0.5442200832748831
block_01,2025-01-02,2025-04-03,60,1.393043969849246,0,0.04471727802975092,1.0822158274080713,0.010500945453309818,-0.012954763364815158
block_01,2025-01-02,2025-04-03,60,1.393043969849246,5,-0.1308062621712541,-3.1642701937311783,-0.030866326975992675,-0.032348636041636514
block_01,2025-01-02,2025-04-03,60,1.393043969849246,10,-0.30632980237225904,-7.405308237466135,-0.07056729905812831,-0.07152535744287036
block_01,2025-01-02,2025-04-03,60,1.393043969849246,20,-0.6573768827742692,-15.859694972890502,-0.14523186520997555,-0.14525909959341843
block_02,2025-04-07,2025-07-03,60,1.382,0,0.30189801495638324,5.326260378069031,0.07407430111657343,-0.0033075357733342026
block_02,2025-04-07,2025-07-03,60,1.382,5,0.12776601495638326,2.26474622309695,0.030493247129844914,-0.005137784650360966
block_02,2025-04-07,2025-07-03,60,1.382,10,-0.04636598504361673,-0.8257026687381949,-0.011347843563373039,-0.009795426741777913
block_02,2025-04-07,2025-07-03,60,1.382,20,-0.3946299850436166,-7.092264122279755,-0.09008083187344074,-0.07186851583076137
block_03,2025-07-04,2025-09-25,60,1.4033333333333335,0,0.34504453861713413,7.863597204284035,0.08531748588844534,-0.007208061682852818
block_03,2025-07-04,2025-09-25,60,1.4033333333333335,5,0.1682245386171341,3.839344047471046,0.04061898148171239,-0.00996028360593526
block_03,2025-07-04,2025-09-25,60,1.4033333333333335,10,-0.00859546138286588,-0.1964206874142066,-0.002268135528778803,-0.01915776025952276
block_03,2025-07-04,2025-09-25,60,1.4033333333333335,20,-0.36223546138286594,-8.2945697496114,-0.08289420989392449,-0.0833021355909207
block_04,2025-09-26,2025-12-26,60,1.3961666666666668,0,0.43241952198743827,10.07478787183818,0.10810753353035141,-0.008722513809837351
