period,start,end,days,stress_days,rank_ic,rank_ic_ir,long_short_sharpe,stress_ic_ir
full_oos,2025-01-02,2026-08-27,401,101,0.02516923999851031,0.5721530207876692,4.454733394615023,0.27166318817597934
block_01,2025-01-02,2025-04-03,60,15,0.008675609784257765,0.20842671237166432,1.0822159979630641,0.023510369036198873
block_02,2025-04-07,2025-07-03,60,15,0.03693934991112074,0.7591105715446316,5.3262602850045475,0.27354242233961434
block_03,2025-07-04,2025-09-25,60,15,0.03318914755806692,0.9506098721527763,7.863597429942044,0.7538497491004363
block_04,2025-09-26,2025-12-26,60,15,0.04441598318390515,1.0749718681533713,10.074788460844008,0.6858201028598152
block_05,2025-12-29,2026-04-01,60,15,0.019715292064910708,0.4969365972253202,4.3688511134904,0.5049641737008318
block_06,2026-04-02,2026-07-01,60,15,0.007453393554199829,0.17482146129983955,-0.3979772013050836,0.34163745107664895
block_07,2026-07-02,2026-08-27,41,11,0.02608630917109677,0.5561319015099572,4.986728831856024,0.24291254601555287
platform_2025_03_to_2025_12,2025-03-03,2025-12-31,207,52,0.035463195725594004,0.8051431420178232,6.770696058593127,0.41568630989910893
platform_2025_03_to_2026_08,2025-03-03,2026-08-27,365,92,0.02727603699187007,0.6142392272661613,4.726142635571223,0.3036053471089952
