strategy,year,days,start,end,start_nav,end_nav,cumulative_net_return,annualized_net_return,average_one_way_turnover,max_drawdown,cost_amount
baseline_daily,2025,243,2025-01-02,2025-12-31,1.0,0.9726439676733463,-0.027356032326653734,-0.02748290046555957,1.396816859619835,-0.08504626044093666,0.3545461164579091
baseline_daily,2026,159,2026-01-05,2026-08-28,0.9726439676733463,0.8835340177044291,-0.09161620585801444,-0.15073308314245432,1.4114366745501457,-0.12290031518393585,0.22201232399070972
buffer_20_30,2025,243,2025-01-02,2025-12-31,1.0,1.0837010756800316,0.0837010756800316,0.08457812716892187,1.1514417603542448,-0.0579929416667313,0.3104914250505926
buffer_20_30,2026,159,2026-01-05,2026-08-28,1.0837010756800316,1.0691705419178883,-0.013408248905746656,-0.01996439019463113,1.1665212356891943,-0.08147445082141336,0.2141547664336263
rank_mean_5d,2025,243,2025-01-02,2025-12-31,1.0,1.188025965440698,0.18802596544069794,0.17985122211272023,0.5065939921066784,-0.01892351938009873,0.14470823360401805
rank_mean_5d,2026,159,2026-01-05,2026-08-28,1.188025965440698,1.255216569085868,0.05655651105255588,0.08898366925224896,0.526614984863276,-0.06305361248848351,0.11087958555304418
rebalance_2d,2025,243,2025-01-02,2025-12-31,1.0,1.14828692932538,0.1482869293253799,0.14473291271834726,0.7080492293104802,-0.04345770676640137,0.19841273468191814
rebalance_2d,2026,159,2026-01-05,2026-08-28,1.14828692932538,1.1421046317711783,-0.0053839309638695765,-0.006978784743929687,0.7206403264551863,-0.07176683640196801,0.14403921576223486
rebalance_5d,2025,243,2025-01-02,2025-12-31,1.0,1.1239045747193326,0.12390457471933258,0.1224987974089752,0.2902246408121269,-0.04587772032339976,0.07988546748671738
rebalance_5d,2026,159,2026-01-05,2026-08-28,1.1239045747193326,1.12105457516199,-0.002535802079152716,-0.0027139384512162076,0.2934730986128896,-0.06098291841342951,0.05740241661919196
rank_mean_3d,2025,243,2025-01-02,2025-12-31,1.0,1.161398885961284,0.16139888596128404,0.15625502776543543,0.7128762384537675,-0.042313392544321204,0.19720625609695247
rank_mean_3d,2026,159,2026-01-05,2026-08-28,1.161398885961284,1.1501318246141905,-0.00970128478965071,-0.013931142428746005,0.7385498249780679,-0.09104151243468539,0.14698650341646283
