block,start,end,mid_date,days,stress_days,rank_ic,rank_ic_ir,long_short_sharpe,stress_ic_ir
0,2025-01-02,2025-02-06,2025-01-16,20,1,0.01057451753441297,0.3273875682160086,7.350945044868491,
1,2025-04-07,2025-05-07,2025-04-21,20,3,0.027079446543177003,0.4685834335329974,2.5110733903625855,-0.11614997169954529
2,2025-07-04,2025-07-31,2025-07-18,20,0,0.04730906453581492,1.2941598612201888,13.503286030020003,
3,2025-09-26,2025-10-31,2025-10-20,20,3,0.035653297844176694,1.0725440977670868,9.464645408620475,5.327609919970485
4,2025-12-29,2026-01-27,2026-01-14,20,8,0.026222175395749208,0.6311267020558411,8.316711005344285,0.6191020634240194
5,2026-04-02,2026-04-30,2026-04-17,20,2,0.0070900573663549935,0.135658277433631,-0.07992135987976719,0.5019749898040059
6,2026-07-02,2026-07-29,2026-07-16,20,18,0.010977215224643266,0.27049913800262915,-0.6353491388680558,0.28174000574077185
