date,rank_ic,block
2025-01-02,0.05243008123872773,0
2025-01-03,0.020584975866012958,0
2025-01-06,-0.008967492306287496,0
2025-01-07,0.0009137007396860628,0
2025-01-08,-0.03991999456085132,0
2025-01-09,0.023354662042984375,0
2025-01-10,-0.007383255191336006,0
2025-01-13,0.014369776051550475,0
2025-01-14,-0.019830800158911872,0
2025-01-15,0.061184398199778556,0
2025-01-16,0.04774260548029953,0
2025-01-17,0.05654081818382875,0
2025-01-20,0.0028557909138477926,0
2025-01-21,-0.0019729303090283727,0
2025-01-22,0.039095567091657846,0
2025-01-23,-0.0311721904737857,0
2025-01-24,0.007372080416232871,0
2025-01-27,-0.01858753984135189,0
2025-02-05,-0.03712923140496862,0
2025-02-06,0.05000932871017374,0
2025-04-07,-0.14445538902652577,1
2025-04-08,0.013884304455624349,1
2025-04-09,-0.020801854855547114,1
2025-04-10,0.08903891791166658,1
2025-04-11,0.08172223086110296,1
2025-04-14,0.07214549322066094,1
2025-04-15,0.002357576996581154,1
2025-04-16,0.030899400632594155,1
2025-04-17,0.0597905614608728,1
2025-04-18,0.02432886746155297,1
2025-04-21,0.06934044806986085,1
2025-04-22,0.038281746633964546,1
2025-04-23,0.03922992031345374,1
2025-04-24,0.07291481002251209,1
2025-04-25,0.0858169256300874,1
2025-04-28,0.024227322995442807,1
2025-04-29,0.03318635071385813,1
2025-04-30,-0.07188129106902412,1
2025-05-06,0.062470201178456586,1
2025-05-07,-0.02090761274365504,1
2025-07-04,0.06387599622777172,2
2025-07-07,0.05568546755251772,2
2025-07-08,0.06379851869449574,2
2025-07-09,0.021772684079124402,2
2025-07-10,0.04407989765170991,2
2025-07-11,0.04250512385882561,2
2025-07-14,-0.012731176427705394,2
2025-07-15,0.09029157329464219,2
2025-07-16,0.023880873917590546,2
2025-07-17,0.048564342863772356,2
2025-07-18,0.04357106488057085,2
2025-07-21,0.02546991423308234,2
2025-07-22,0.11945605838543051,2
2025-07-23,0.03770945048700057,2
2025-07-24,-0.0008261717255231217,2
2025-07-25,0.021269519361800757,2
2025-07-28,0.0005279116704303801,2
2025-07-29,0.08089621416982601,2
2025-07-30,0.05184252190615424,2
2025-07-31,0.124541505634781,2
2025-09-26,0.09464124985006128,3
2025-09-29,0.010215103874107446,3
2025-09-30,0.05061369030172108,3
2025-10-09,0.031922428699680115,3
2025-10-10,0.041285736097883115,3
2025-10-13,0.04676724208407419,3
2025-10-14,0.037374591166277275,3
2025-10-15,0.0023993405310084827,3
2025-10-16,0.021098854681268844,3
2025-10-17,0.09018807874311613,3
2025-10-20,0.08206680835263226,3
2025-10-21,0.06823669544470494,3
2025-10-22,0.05338268966515855,3
2025-10-23,-0.0018431396584427003,3
2025-10-24,-0.026338187398041155,3
2025-10-27,0.0301574165016476,3
2025-10-28,0.03913961402059435,3
2025-10-29,0.04640737438664469,3
2025-10-30,-0.01572586933749221,3
2025-10-31,0.01107623887692977,3
2025-12-29,0.010379761823110954,4
2025-12-30,0.09994424648443666,4
2025-12-31,0.06604577131095118,4
2026-01-05,-0.017471599904824543,4
2026-01-06,0.010155286299956665,4
2026-01-07,0.003523561676113549,4
2026-01-08,0.04487975931161275,4
2026-01-09,0.012027114884468355,4
2026-01-12,0.0810233237306314,4
2026-01-13,-0.00012757421919949903,4
2026-01-14,0.03595787120317348,4
2026-01-15,0.056296215241926066,4
2026-01-16,-0.0038299951474297343,4
2026-01-19,0.03764878015194662,4
2026-01-20,0.06465026917690386,4
2026-01-21,0.01678733407699048,4
2026-01-22,-0.05534982444277329,4
2026-01-23,0.03948498323136144,4
2026-01-26,0.07333000589970248,4
2026-01-27,-0.05091178287407475,4
2026-04-02,0.014376216324038224,5
2026-04-03,0.12271984351561828,5
2026-04-07,0.05142702563830061,5
2026-04-08,-0.07011709840778095,5
2026-04-09,-0.004005157894527355,5
2026-04-10,0.020990910639693227,5
2026-04-13,-0.10114823253681691,5
2026-04-14,0.0761654627957129,5
2026-04-15,0.0171904908154081,5
2026-04-16,-0.010419414100242122,5
2026-04-17,-0.06418448678877532,5
2026-04-20,0.012392581147059857,5
2026-04-21,-0.03280738591098292,5
2026-04-22,0.002411282571229912,5
2026-04-23,0.009629737440655647,5
2026-04-24,0.03698882850631558,5
2026-04-27,-0.007449838519598124,5
2026-04-28,0.07828517760324213,5
2026-04-29,-0.013281797067618645,5
2026-04-30,0.0026370015561677737,5
2026-07-02,0.0014496072599882936,6
2026-07-03,0.004457849655690855,6
2026-07-06,0.032154051099203426,6
2026-07-07,0.1079778487810905,6
2026-07-08,0.013281601683776139,6
2026-07-09,0.06970001909899616,6
2026-07-10,0.0005059146045679621,6
2026-07-13,0.0236945040603152,6
2026-07-14,0.0541154971059724,6
2026-07-15,-0.046392291921632196,6
2026-07-16,0.01892903443738426,6
2026-07-17,0.005518752313452703,6
2026-07-20,0.0034646473623778378,6
2026-07-21,-0.046625674743427666,6
2026-07-22,-0.02858779645393597,6
2026-07-23,0.028529979383026358,6
2026-07-24,-0.021678585194952135,6
2026-07-27,0.059216216668805124,6
2026-07-28,-0.042644386861203434,6
2026-07-29,-0.017522483846630507,6
