arm,seed,epochs,days,neutral_rank_ic,neutral_rank_ic_ir,long_short_sharpe,stress_ic_ir
clock240,20260801,3,241,0.026237176514240016,0.5990467385207795,6.363302123615729,0.3086112595125472
clock242,20260801,3,241,0.02707870522573527,0.6292324688859754,6.298222399524195,0.34195897589102453
clock240,20260812,3,241,0.029926011231754274,0.7319008358043658,8.012346759548283,0.4275746757021537
clock242,20260812,3,241,0.029028183973626723,0.7137624920089455,7.731820462428142,0.39410392433427965
clock240,20260823,3,241,0.029521718221733093,0.7220958730378708,8.543856325963672,0.44640784550133095
clock242,20260823,3,241,0.0291124381405493,0.7199254595406599,8.13425539254277,0.4427952728196703
